ID	Name
AT5G16070	TCP-1/cpn60_chaperonin_family_protein_1
AT3G02530	TCP-1/cpn60_chaperonin_family_protein_2
AT5G26360	TCP-1/cpn60_chaperonin_family_protein_3
AT1G24510	TCP-1/cpn60_chaperonin_family_protein_4
AT3G18190	TCP-1/cpn60_chaperonin_family_protein_5
AT3G11830	TCP-1/cpn60_chaperonin_family_protein_6
AT3G20050	T-complex_protein_1_alpha_subunit
AT3G03960	TCP-1/cpn60_chaperonin_family_protein_7
AT5G20890	TCP-1/cpn60_chaperonin_family_protein_8
AT1G26230	TCP-1/cpn60_chaperonin_family_protein_9
AT5G56500	TCP-1/cpn60_chaperonin_family_protein_10
AT1G55490	chaperonin_60_beta
AT3G13470	TCP-1/cpn60_chaperonin_family_protein_11
AT2G28000	chaperonin-60alpha
AT2G33210	heat_shock_protein_60-2
AT5G18820	TCP-1/cpn60_chaperonin_family_protein_12
AT3G23990	heat_shock_protein_60
AT3G13860	heat_shock_protein_60-3A
AT4G33240	1-phosphatidylinositol-3-phosphate_5-kinase_FA
AT3G14270	phosphatidylinositol-4-phosphate_5-kinase_fami
AT1G71010	FORMS_APLOID_AND_BINUCLEATE_CELLS_1C
AT1G34260	FORMS_APLOID_AND_BINUCLEATE_CELLS_1A
AT4G08640	ATP_binding_protein
AT1G67760	TCP-1/cpn60_chaperonin_family_protein_13
