GeneID	Name
AT5G11500	DNAJD1
AT3G59280	DNAJD2
AT5G61880	DNAJD3
AT5G64360	DNAJD4
AT5G09540	DNAJD5	
AT1G62970	DNAJD6	
AT4G11940	DNAJD7
AT4G11930	DNAJD8	
AT5G42480	DNAJD9
AT3G19180	DNAJD10
AT5G23040	DNAJD11
AT3G51140	DNAJD12	
AT2G20920	DNAJD13	
AT1G08640	DNAJD14
AT5G21430	DNAJD15
AT3G47650	DNAJE1.1
AT4G13670	DNAJE1.2
AT2G24860	DNAJE1.3
AT5G61670	DNAJE1.4
AT3G19220	DNAJE1.5
AT1G75690	DNAJE1.6
AT2G34860	DNAJE1.7
AT5G06130	DNAJE1.8
AT5G02160	DNAJE1.9	
AT1G22630	DNAJE1.10
AT5G53860	DNAJE1.11
AT2G24395	DNAJE1.12	
AT5G20220	DNAJE1.13	
AT5G15802	DNAJE1.14
AT5G17840	DNAJE1.15	
AT3G44020	DNAJE1.16
AT3G17668	DNAJE1.17	
AT3G45050	DNAJE1.18	
AT5G43260	DNAJE1.19	
AT2G38000	DNAJE1.20	
AT1G64500	DNAJE2.1
AT5G58530	DNAJE2.2
AT5G01420	DNAJE2.3
AT5G06470	DNAJE2.4
AT3G11773	DNAJE2.5	
AT5G13810	DNAJE2.6
AT1G32760	DNAJE2.7	
AT4G10630	DNAJE2.8
AT5G03870	DNAJE2.9
AT5G39865	DNAJE2.10	
AT3G28850	DNAJE2.11
AT2G41330	DNAJE2.12	
AT3G57070	DNAJE2.13
AT1G11040	DNAJF1	
AT1G44160	DNAJF2	
AT2G20550	DNAJF3	
