ID	Name
AT3G12400	VPS23A/ELC
AT5G13860	VPS23B
AT4G21560	VPS28-1
AT4G05000	VPS28-2
AT3G53120	VPS37-1
AT2G36680	VPS37-2
AT4G27040	VPS22
AT4G19003	VPS25
AT5G04920	VPS36
AT5G63880	VPS20-1
AT5G09260	VPS20-2
AT2G19830	SNF7-1
AT4G29160	SNF7-2
AT5G22950	VPS24-1
AT3G45000	VPS24-2
AT2G06530	VPS2-1
AT5G44560	VPS2-2
AT1G03950	VPS2-3
AT1G73030	CHMP1A
AT1G17730	CHMP1B
AT3G10640	VPS60-1
AT5G04850	VPS60-2
AT1G34220	ISTL1
AT3G62080	CHMP7
AT2G27600	VPS4/SKD1
AT4G26750	LIP5
AT1G15130	BRO1/ALIX
AT1G17940	BRO1L1
AT5G14020	BRO1L2
AT1G48790	AMSH1
AT1G10600	AMSH2
AT4G16144	AMSH3
AT5G16880	TOL1
AT1G06210	TOL2
AT1G21380	TOL3
AT1G76970	TOL4
AT5G63640	TOL5
AT2G38410	TOL6
AT5G01760	TOL7
AT3G08790	TOL8
AT4G32760	TOL9
AT1G20110	FREE1/FYVE1
AT4G24370	PROS
