Annotated	Significant	Expected	DEG	Term	pval
GO:0009753	211	99	41.33	99	response to jasmonic acid	9.54595691874335e-09
GO:0062211	2	2	0.39	2	root regeneration	0.0383570642455083
GO:0009788	57	22	11.16	22	negative regulation of abscisic acid-activated signaling pathway	0.000689164503677703
GO:0009789	53	28	10.38	28	positive regulation of abscisic acid-activated signaling pathway	7.04942358749655e-08
GO:0051865	18	9	3.53	9	protein autoubiquitination	0.00365406513793648
GO:0048838	4	3	0.78	3	release of seed from dormancy	0.0256306522089519
GO:0070676	5	4	0.98	4	intralumenal vesicle formation	0.00620038853395783
GO:0009723	182	62	35.65	62	response to ethylene	0.00823914403714825
GO:0033356	12	9	2.35	9	UDP-L-arabinose metabolic process	0.0156671329447085
GO:0033358	6	5	1.18	5	UDP-L-arabinose biosynthetic process	0.00144516941547487
GO:0031204	10	8	1.96	8	posttranslational protein targeting to membrane, translocation	6.62582008071829e-05
GO:0043328	15	9	2.94	9	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	0.000665383357285136
GO:0009718	37	17	7.25	17	anthocyanin-containing compound biosynthetic process	0.000252397808494114
GO:0061817	11	6	2.15	6	endoplasmic reticulum-plasma membrane tethering	0.0104822243263132
GO:0098542	933	366	182.74	366	defense response to other organism	0.0341222936807325
GO:0009744	76	28	14.89	28	response to sucrose	0.00137840546069085
GO:0009749	67	20	13.12	20	response to glucose	0.0211552872376183
GO:0006995	36	18	7.05	18	cellular response to nitrogen starvation	4.10325837180284e-05
GO:0009733	374	84	73.25	84	response to auxin	0.0328877922945098
GO:0060623	2	2	0.39	2	regulation of chromosome condensation	0.0383570642455083
GO:0033320	6	4	1.18	4	UDP-D-xylose biosynthetic process	0.0157108267709238
GO:0009737	566	236	110.86	236	response to abscisic acid	9.36319403014922e-19
GO:0009738	219	98	42.89	98	abscisic acid-activated signaling pathway	1.47604357572435e-07
GO:0050684	32	11	6.27	11	regulation of mRNA processing	0.0309631185819031
GO:0071805	45	19	8.81	19	potassium ion transmembrane transport	0.00497350043285187
GO:0042128	15	8	2.94	8	nitrate assimilation	0.00619076658481554
GO:2000070	38	16	7.44	16	regulation of response to water deprivation	0.00955031202149923
GO:2000022	42	26	8.23	26	regulation of jasmonic acid mediated signaling pathway	2.22670709384239e-09
GO:2000028	75	29	14.69	29	regulation of photoperiodism, flowering	0.00230047590386125
GO:0006970	574	246	112.43	246	response to osmotic stress	6.49791182806933e-07
GO:0006972	70	28	13.71	28	hyperosmotic response	0.000745598959021733
GO:0045087	232	88	45.44	88	innate immune response	2.64774248985845e-07
GO:0006979	460	176	90.1	176	response to oxidative stress	8.31163042026297e-08
GO:2000031	31	12	6.07	12	regulation of salicylic acid mediated signaling pathway	0.0149648056770969
GO:0048571	51	18	9.99	18	long-day photoperiodism	0.00617672540612689
GO:0006914	73	51	14.3	51	autophagy	0.00102778225264666
GO:0048573	140	49	27.42	49	photoperiodism, flowering	0.00445176627405039
GO:0002221	24	12	4.7	12	pattern recognition receptor signaling pathway	0.00220309999574729
GO:0048578	10	5	1.96	5	positive regulation of long-day photoperiodism, flowering	0.0301117887844616
GO:0002229	86	29	16.84	29	defense response to oomycetes	0.00147007638260339
GO:0009860	171	60	33.49	60	pollen tube growth	0.000541274604383167
GO:0009863	81	29	15.87	29	salicylic acid mediated signaling pathway	0.000177846481090278
GO:0002213	35	15	6.86	15	defense response to insect	0.00521801247491802
GO:0030574	5	4	0.98	4	collagen catabolic process	0.00620038853395783
GO:0009867	112	54	21.94	54	jasmonic acid mediated signaling pathway	2.14514581656818e-05
GO:0002215	4	3	0.78	3	defense response to nematode	0.0256306522089519
GO:0019760	129	32	25.27	32	glucosinolate metabolic process	0.000664064774050248
GO:0009850	68	20	13.32	20	auxin metabolic process	0.0102861462018396
GO:0003400	7	4	1.37	4	regulation of COPII vesicle coating	0.0310082804743759
GO:0032107	5	4	0.98	4	regulation of response to nutrient levels	0.0383353612135087
GO:0002237	44	25	8.62	25	response to molecule of bacterial origin	1.58773476516283e-06
GO:0002238	20	12	3.92	12	response to molecule of fungal origin	0.00125265789403594
GO:0002239	109	41	21.35	41	response to oomycetes	0.00563308765714743
GO:0009871	4	3	0.78	3	jasmonic acid and ethylene-dependent systemic resistance, ethylene mediated signaling pathway	0.0256306522089519
GO:0009873	86	32	16.84	32	ethylene-activated signaling pathway	0.00380501099810105
GO:0010555	19	11	3.72	11	response to mannitol	0.000761672966437534
GO:0006900	55	25	10.77	25	vesicle budding from membrane	0.00756287762901436
GO:0006904	11	5	2.15	5	vesicle docking involved in exocytosis	0.0464697591662518
GO:0090630	25	10	4.9	10	activation of GTPase activity	0.0149818375618085
GO:0009846	73	26	14.3	26	pollen germination	0.000987333866389813
GO:0048507	328	70	64.24	70	meristem development	0.0156767663607226
GO:0009830	3	3	0.59	3	cell wall modification involved in abscission	0.00751040045701578
GO:0016998	33	14	6.46	14	cell wall macromolecule catabolic process	0.00125368745527329
GO:0032258	2	2	0.39	2	cytoplasm to vacuole transport by the Cvt pathway	0.0383570642455083
GO:0015031	627	203	122.81	203	protein transport	0.000276852625891492
GO:1904294	2	2	0.39	2	positive regulation of ERAD pathway	0.0383570642455083
GO:0009809	56	16	10.97	16	lignin biosynthetic process	0.0448350349428736
GO:0006099	47	21	9.21	21	tricarboxylic acid cycle	8.00673361954805e-05
GO:0001561	2	2	0.39	2	fatty acid alpha-oxidation	0.0383570642455083
GO:0044375	7	5	1.37	5	regulation of peroxisome size	0.00423773649333465
GO:0043161	298	104	58.37	104	proteasome-mediated ubiquitin-dependent protein catabolic process	8.19449622414256e-10
GO:0043162	18	12	3.53	12	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	0.0074830547721816
GO:0009555	375	120	73.45	120	pollen development	1.5224004615551e-05
GO:0006012	26	11	5.09	11	galactose metabolic process	0.00864554550086735
GO:1903830	7	5	1.37	5	magnesium ion transmembrane transport	0.00423773649333465
GO:0072593	133	45	26.05	45	reactive oxygen species metabolic process	0.0235082078373932
GO:0051645	4	3	0.78	3	Golgi localization	0.0256306522089519
GO:0051646	6	4	1.18	4	mitochondrion localization	0.0157108267709238
GO:0042742	431	173	84.42	173	defense response to bacterium	9.66978253702518e-18
GO:0034497	9	7	1.76	7	protein localization to phagophore assembly site	0.000272733536569365
GO:0051603	620	234	121.44	234	proteolysis involved in cellular protein catabolic process	7.04669048831235e-05
GO:0009693	32	13	6.27	13	ethylene biosynthetic process	0.0383156866278463
GO:0051607	61	19	11.95	19	defense response to virus	0.0194621394439299
GO:0009697	20	11	3.92	11	salicylic acid biosynthetic process	0.000327207311629686
GO:1902609	2	2	0.39	2	(R)-2-hydroxy-alpha-linolenic acid biosynthetic process	0.0383570642455083
