baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PHT67836	2518.60800917881	-5.68288901285652	0.145946619146155	-38.9381339979209	0	0
PHT88262	36558.0844939462	-1.85470123707781	0.0519512737934022	-35.7007846324137	3.84387964433244e-279	4.26190155565359e-275
PHT63291	8188.11013085019	-1.72523518368877	0.0577528674310753	-29.8727190601876	4.45110203718324e-196	3.29010625581795e-192
PHT69969	2314.12577694069	-5.49319547651473	0.195817899067244	-28.0525707950138	3.71626313673282e-173	2.06020337642626e-169
PHT75186	27083.9931755636	12.3700945090938	0.446640223462186	27.6958810677765	7.82710057814792e-169	3.4713191064086e-165
PHT61938	611.808185607337	-2.88107935457949	0.104760832425551	-27.5014935245666	1.68489441810286e-166	6.22708895357181e-163
PHT92182	588.256715647756	-3.54283207446814	0.130931545926582	-27.0586591596096	3.02080279397836e-161	9.56947170806717e-158
PHT62950	3314.96359134268	6.7922817087538	0.258256656345349	26.300509752093	1.89213791367518e-152	5.24476977946839e-149
PHT80895	10310.244180012	-2.18441591646477	0.0863102858821164	-25.3088712908247	2.55107192895087e-141	6.28555778049839e-138
PHT80004	8946.59515131197	-12.3050490531329	0.501923551146154	-24.5157833798275	1.00265297906595e-132	2.22338298107875e-129
PHT78619	4291.77145957205	-1.24354890761844	0.0515695811516755	-24.1140005376608	1.78262068315248e-128	3.59360124080965e-125
PHT95194	2959.29424611934	5.64751311080355	0.246963938286768	22.8677642168381	9.7291625692274e-116	1.79786816643848e-112
PHT84314	754.276829740466	-8.87292401768857	0.393248153798782	-22.5631676384899	9.97202505050186e-113	1.70099734996061e-109
PHT87732	16976.4729705783	4.44869628811656	0.197941182948258	22.474839353059	7.31678209939268e-112	1.15892602181452e-108
PHT69561	29795.079006245	-1.38460639501005	0.0622731904724669	-22.2343898635197	1.59725198496014e-109	2.36127085109941e-106
PHT94301	8755.0388968993	7.15147107431847	0.324716600984038	22.0237310092748	1.70621610259389e-107	2.36470887968872e-104
PHT91872	3691.54733119749	-1.96336106801854	0.0906371538584184	-21.6617687608047	4.70806310390743e-104	6.14125290171455e-101
PHT70941	6376.98928136479	-7.17120287672174	0.338172855293823	-21.2057318157337	8.45454319981256e-100	1.04155275253246e-96
PHT70916	14303.4742243144	-2.16517481917399	0.102451936189691	-21.1335666235252	3.9087769382446e-99	4.56195413713547e-96
PHT95114	4142.99821682393	-1.2783569438353	0.0605358987416117	-21.1173364963453	5.51161760181974e-99	6.11100601601764e-96
PHT63093	600.04013719746	-6.23910491384537	0.296335705082138	-21.0541787805017	2.09380567640127e-98	2.21095908924754e-95
PHT79107	1654.45603146742	9.57975031396282	0.468862249450138	20.4319079328684	8.70338795284823e-93	8.7726194479277e-90
PHT64011	2050.87858227582	-1.56833692325914	0.0772305157226481	-20.3072180547309	1.11016955376363e-91	1.07034825455254e-88
PHT85040	57252.8661995181	-5.16125610592754	0.255913071233771	-20.1680050223493	1.87032590372758e-90	1.7281032047983e-87
PHT88209	5957.16810931992	-1.09037017697774	0.0542450628767683	-20.1008187501745	7.25861762239374e-90	6.43839383106325e-87
PHT84176	8598.50758673623	-7.96145399965971	0.397675736049856	-20.019964201843	3.68986168887607e-89	3.14702626733949e-86
PHT94536	23231.9864615841	-1.30132222486316	0.0652425320460824	-19.9459184684004	1.62635700898836e-88	1.33572098793767e-85
PHT67647	725.311406853266	-1.98245084089474	0.100400687362903	-19.745391121966	8.78818063041641e-87	6.95992519569585e-84
PHT90926	9414.48878497816	10.5482169500704	0.535071261983754	19.7136675047045	1.64594456131543e-86	1.25858002231619e-83
PHT81064	34905.684754159	-1.99522975950393	0.103639116066339	-19.2517056805733	1.36590968641044e-82	1.00963490987172e-79
PHT78097	13708.4874098331	3.1222173284907	0.162225615776845	19.2461425622546	1.52073254449758e-82	1.08781432820109e-79
PHT71685	93005.3143693584	-1.43222472204969	0.0744847401324977	-19.2284314814278	2.14003258559199e-82	1.48297570579695e-79
PHT78096	3172.22683588799	5.12919513872735	0.26772855185096	19.1581925172579	8.26954396257784e-82	5.55688295061102e-79
PHT73759	328.547900218705	-8.03049225706096	0.4234454537028	-18.9646439389978	3.34283238012153e-80	2.18021494203515e-77
PHT86888	3754.46199638176	7.6392095764031	0.403135284127031	18.9494938230113	4.45851188037857e-80	2.82478574135414e-77
PHT63392	1358.90353992096	-3.60243237935082	0.190274868610223	-18.9327808010756	6.1242494448825e-80	3.77236754000748e-77
PHT79315	10654.7860300494	13.4521996471201	0.714564567138408	18.8257300540267	4.64758826571569e-79	2.78541269708771e-76
PHT65820	1500.87186859419	3.20466130089727	0.171554456741781	18.6801401826642	7.18302662096478e-78	4.19167408736563e-75
PHT95618	949.560611114206	-4.65571666840815	0.249794620445548	-18.6381782766336	1.57514250933881e-77	8.95609875502258e-75
PHT89879	744.13204424923	4.00450342828748	0.21496431501376	18.628689268873	1.88073922111974e-77	1.04263480570826e-74
PHT76356	4155.52785465932	-6.73314146171442	0.361526557793304	-18.6241959728003	2.04541128142585e-77	1.10626817477117e-74
PHT89890	783.266921658721	2.15918761779523	0.116146581852676	18.5901951082298	3.85772067885798e-77	2.03678466794466e-74
PHT80746	1776.20281764015	-6.47098752128149	0.350400613903731	-18.4673977856081	3.77865209174294e-76	1.94864209614883e-73
PHT85880	5629.00098115076	2.06942954582648	0.112186369994646	18.4463544539791	5.57836129858488e-76	2.81136731354818e-73
PHT94757	2700.59333504289	-10.4784808654564	0.573142636604754	-18.282501067326	1.14073043920388e-74	5.62126610874357e-72
PHT67616	790.37223843829	-2.96969055681009	0.162569460122061	-18.2672105485272	1.50973264608622e-74	7.27789596238301e-72
PHT88639	3179.92737702389	5.99418261667454	0.329266110731811	18.2046752499131	4.73855212461943e-74	2.23568922049863e-71
PHT76571	200332.997997895	3.65883522264024	0.203212859112258	18.0049394444032	1.78194545344697e-72	8.23221675628886e-70
PHT79903	3027.3228626549	11.827841484563	0.658408387587644	17.9642934499958	3.70971338196554e-72	1.67883457643032e-69
PHT79460	286.017558368933	-4.16097488440791	0.2333988212041	-17.8277459283707	4.3042797796726e-71	1.9089480822848e-68
PHT88022	20344.8753242468	-0.950852068261957	0.0534283141173362	-17.7967821738442	7.48478241031938e-71	3.25441274409475e-68
PHT78915	28380.4175056188	-11.8242142052891	0.666241008184143	-17.7476529664788	1.79709049847203e-70	7.66355419300332e-68
PHT79461	147.020283235271	-5.56050238358939	0.314279000458725	-17.6928855426968	4.75755438722937e-70	1.99054280258134e-67
PHT90136	6372.84006483886	7.02675886654637	0.399425577150663	17.5921605137867	2.82883630109523e-69	1.16165638845901e-66
PHT71163	2329.35418858752	4.81978244170101	0.275115370027166	17.519131850849	1.0237567801307e-68	4.12760119989059e-66
PHT61367	570.44437982842	-8.23412935926358	0.471276236292236	-17.4719808154249	2.34219910844468e-68	9.27469021960015e-66
PHT86675	1729.25970018885	-5.35336883424882	0.307015608231044	-17.4367969924843	4.3370966272203e-68	1.66127471458368e-65
PHT78094	4315.41252117329	-1.13780350965595	0.0652534085810956	-17.4366908089087	4.34516047106442e-68	1.66127471458368e-65
PHT82246	2757.95191090246	6.96046353900641	0.406928852882923	17.1048660956194	1.36515154131864e-65	5.13088736080353e-63
PHT84464	120.198297764777	-5.06638825980852	0.296235843432836	-17.1025497829644	1.42051217609368e-65	5.24997625081289e-63
PHT62600	20205.8505800671	8.79956611554479	0.515204804618841	17.0797438934112	2.10038715292948e-65	7.63542378954282e-63
PHT64236	1631.38846154387	5.44790817602113	0.320539611465455	16.9960528469919	8.78389575852915e-65	3.14165949105458e-62
PHT78789	1069.37471994591	-1.94184591598138	0.114350519124956	-16.9815225225121	1.12528572879632e-64	3.96082714858069e-62
PHT92447	7544.65715986422	4.6864002440406	0.278262108407706	16.8416758963608	1.20767190496931e-63	4.18439445198352e-61
PHT84593	40152.9862776927	6.85116695455938	0.407512287533652	16.8121726979671	1.98751220497091e-63	6.73650900781296e-61
PHT63959	37882.6948229578	8.28292980941429	0.492689781722498	16.8116533297205	2.00500380841333e-63	6.73650900781296e-61
PHT95707	382.966196638782	-6.60564743453548	0.394548577402745	-16.7422918567328	6.44578838985501e-63	2.13336354544828e-60
PHT94377	5526.41244077195	-1.04659561830961	0.0625179489943892	-16.7407222268847	6.61803185756333e-63	2.15815965355098e-60
PHT62448	2168.18230442286	6.5211172966679	0.390197724971267	16.7123406399873	1.06569089666056e-62	3.42488342513739e-60
PHT74617	6723.81010729639	7.13725548590539	0.42736030649813	16.7007917613814	1.29337080037486e-62	4.09721392833035e-60
PHT87797	19967.513375701	-2.53408867968774	0.151913934255118	-16.6810812458592	1.79932461170533e-62	5.61972158655856e-60
PHT62523	777.245323071533	-1.92115992225227	0.115910219171441	-16.574551717573	1.06453803076912e-61	3.27862928226462e-59
PHT61755	749.064380442814	2.41420922325403	0.145712377998414	16.5683194277448	1.18080016703802e-61	3.58688269918741e-59
PHT71859	295.036597600308	3.1227661098694	0.188919869879791	16.5295800375916	2.24703741405403e-61	6.73352089954706e-59
PHT61158	13377.9844701243	-1.16563000916956	0.0706308767834241	-16.5031224622022	3.48401588854221e-61	1.03010736437898e-58
PHT77768	9463.14226051221	-1.09182903268443	0.0662572384001962	-16.47863779184	5.22488819667154e-61	1.52449862843673e-58
PHT94599	647.671992825448	-6.50942840114652	0.395598299045787	-16.4546420367523	7.76797519300214e-61	2.2370759727899e-58
PHT80179	926.927157225209	-6.66855304515121	0.405318980378717	-16.452604906191	8.03374366332852e-61	2.28395212479885e-58
PHT94839	2959.59790891465	-5.28225836160148	0.321889453064158	-16.4101629031897	1.61770839606901e-60	4.54084603580129e-58
PHT76914	14933.2729939503	-4.27315600453659	0.260829070742393	-16.3829744605308	2.53059337774633e-60	7.0144885189406e-58
PHT66762	72815.3281780923	-2.0872747095549	0.127474960633706	-16.3739976790626	2.93299467280104e-60	8.02952553942754e-58
PHT75509	4191.25115306315	-3.6972507008035	0.226156193720845	-16.3482177515208	4.47889457939347e-60	1.21121325973232e-57
PHT78928	955.810778267276	4.51443870692843	0.276271508519578	16.3405873125296	5.07615790993941e-60	1.35619038136032e-57
PHT70132	2550.26852009513	-1.75444153057302	0.107378159137164	-16.3389049008738	5.21817145694287e-60	1.37753514354415e-57
PHT91361	1549.7920039574	-6.78385106278696	0.417064968738116	-16.2656937678376	1.72897618831737e-59	4.51059376187503e-57
PHT90785	7602.40993383456	-2.08309892754488	0.128383044207258	-16.2256545668288	3.32157651374512e-59	8.56464641770908e-57
PHT71162	14587.1920988349	4.50909292905429	0.27948810793572	16.1333981698117	1.48613463512908e-58	3.78793511884911e-56
PHT67370	1307.92841661177	-2.30169695754932	0.143273334234997	-16.0650756809643	4.48316910921271e-58	1.12970767041809e-55
PHT95731	3044.66873301575	8.7565458396756	0.545726368890904	16.045671125388	6.12927807625292e-58	1.52715439708886e-55
PHT75765	1550.7752946605	-5.80908217624284	0.362580573804488	-16.0214931409294	9.04518998600927e-58	2.22863431044173e-55
PHT77432	792.058377896991	3.40498931364023	0.212701745688798	16.0082809974773	1.11857739572852e-57	2.71824004634528e-55
PHT63393	33803.461752277	-1.64655735631105	0.102859864705939	-16.007772915299	1.12774784335407e-57	2.71824004634528e-55
PHT92197	3588.74892107943	-3.58728893828785	0.224141784890704	-16.0045523865043	1.18764286530388e-57	2.83182586431327e-55
PHT88354	96954.8106434131	3.64208492471517	0.228647190612121	15.9288417888048	3.99691988982681e-57	9.42890410179888e-55
PHT74203	3458.5203859332	12.6238294631168	0.795001267136353	15.8790054619519	8.85716256010485e-57	2.06744820810868e-54
PHT71743	80367.3816197242	4.19149627863518	0.265470620197636	15.7889271344404	3.70833508538315e-56	8.56586776233035e-54
PHT69247	596.344905647652	3.67210040541362	0.233292657884028	15.7403170709258	8.00416040286951e-56	1.82981708179001e-53
PHT94617	558.867003980679	-6.85585933129838	0.435956622237838	-15.7260125929642	1.0033386250893e-55	2.27030959299543e-53
PHT62657	80972.0639322968	2.49383335371765	0.159050533952254	15.6795031852347	2.08881589296026e-55	4.67873660872664e-53
PHT78420	7141.46442417276	-2.04950023640179	0.131235678071051	-15.6169440088707	5.58175459932958e-55	1.23775408240133e-52
PHT86194	9357.46334685422	11.7464823563889	0.752232554847681	15.6154932150835	5.71018396104277e-55	1.25369633006063e-52
PHT92445	79709.3855337617	6.40111420956832	0.41112435846089	15.5697760977528	1.16815407506404e-54	2.53958986417109e-52
PHT80355	15390.4976825055	-1.90996976572223	0.123125708878965	-15.5123554870232	2.86184656455929e-54	6.16130558923322e-52
PHT89887	587.01740419198	2.4819501437605	0.160547321982013	15.4593057867298	6.52984656885479e-54	1.39230141984957e-51
PHT81277	9039.67186883141	-1.44042242689065	0.0932322838355112	-15.4498245418076	7.56490979263246e-54	1.59763690144405e-51
PHT93874	1532.00636112897	11.1492312161902	0.721823043045278	15.4459341851336	8.03548978123307e-54	1.68100930093248e-51
PHT93438	2803.66939853233	4.67687597014623	0.304024563246056	15.3832174618111	2.12138604246262e-53	4.39642387772044e-51
PHT94495	861.615763983541	-8.92980028690635	0.581300367208325	-15.3617661206571	2.95415928312462e-53	6.06560019474893e-51
PHT63949	489.827203318186	2.10571594240725	0.137213757084873	15.3462450642232	3.75289285849716e-53	7.6348990034105e-51
PHT86215	363.337708330536	-6.22719683260471	0.40594155024935	-15.3401316735861	4.12357705376282e-53	8.31275646974459e-51
PHT93565	976.972217059987	-10.2431132859435	0.668166876998809	-15.3301722048125	4.80710491720397e-53	9.60338302153136e-51
PHT90028	31574.4183472782	-1.41230858249716	0.0922430307639834	-15.3107348143271	6.48273692576803e-53	1.28352402972237e-50
PHT91484	1488.53144392858	-4.64592846740555	0.303536837190022	-15.3059790383764	6.9744534823362e-53	1.36865934487438e-50
PHT81264	268.048023272879	-6.49395692569363	0.424342807894999	-15.303563074175	7.23829938200978e-53	1.40797621750936e-50
PHT91433	6498.73214877919	-4.45683374774347	0.291626706335234	-15.2826666794371	9.9772969025833e-53	1.92388312012856e-50
PHT86700	5672.38006956285	5.35271226627513	0.350668024567889	15.2643294833369	1.32179511549605e-52	2.52679367983836e-50
PHT84512	869.854776047378	-8.62378623451269	0.567101258616294	-15.206783803574	3.18826351792395e-52	6.0427131205097e-50
PHT80482	14214.9129612024	-1.17523414839874	0.0773919507005616	-15.1854829573408	4.41300895753946e-52	8.29309098588454e-50
PHT93089	482.980941176129	4.72185213445125	0.310988576263027	15.1833620102419	4.55807602385873e-52	8.49372569992163e-50
PHT90064	2076.75954245294	-1.80217829912703	0.118865756930022	-15.161458990986	6.36397727623585e-52	1.17600996750442e-49
PHT67985	3376.14751185562	-8.42876984205105	0.558131551798885	-15.1017619679173	1.57663370248352e-51	2.88940928533654e-49
PHT73836	253.396711608418	-5.1794305344129	0.343560765914251	-15.0757334605129	2.33903811867756e-51	4.2514893673504e-49
PHT93757	14556.8664554307	-1.22293164716712	0.0813888673501964	-15.0257853067932	4.97680143927003e-51	8.9724042207978e-49
PHT65465	1073.69239197088	-8.95682776378992	0.596558455486007	-15.0141661415107	5.93029437822124e-51	1.06051836965368e-48
PHT64932	8194.52658097592	-1.18796309674713	0.0791516780226731	-15.0086912422353	6.44059844491205e-51	1.1425621641274e-48
PHT95799	2410.06109194472	-5.20534063149009	0.347022228771849	-15.0000207476978	7.3396377658947e-51	1.29171799570409e-48
PHT91168	1852.71277913665	6.57825813534668	0.439125938419478	14.9803451807548	9.87030714497854e-51	1.72341780267637e-48
PHT79457	2704.96052820826	5.04359346661881	0.337165394816354	14.9588111477631	1.36441699502692e-50	2.36374584880641e-48
PHT88935	1579.62135658574	-1.86021130490607	0.124393124914824	-14.9542935445976	1.46023064918111e-50	2.51012516632489e-48
PHT92616	2151.77640951315	2.02468231298144	0.135779158793207	14.9115838614455	2.7710061587019e-50	4.72669704378574e-48
PHT82347	3137.29688474157	-7.24115178124759	0.485886229396898	-14.9029779877392	3.1521125421241e-50	5.33573249019861e-48
PHT63922	1361.79456552915	-2.93417957255359	0.197227630151873	-14.8771222890736	4.64033538887801e-50	7.7954119127553e-48
PHT86047	12664.1818169498	-1.14489319718916	0.0769685388736114	-14.8748204648808	4.8027174014858e-50	8.00753822390584e-48
PHT92032	872.762761402745	5.11289371152056	0.344427013745588	14.8446361855264	7.53625489382424e-50	1.24713770351159e-47
PHT68778	805.388344747635	-4.34051539105784	0.292822103421045	-14.8230455978136	1.03961886235538e-49	1.70767024242448e-47
PHT76939	33440.1387818144	5.0568876182236	0.341687071667878	14.7997628167182	1.4700005638292e-49	2.39685753697887e-47
PHT73414	579.605238210129	-3.95745459217043	0.268093281320715	-14.761483662234	2.5950847682883e-49	4.2004383019557e-47
PHT90822	13337.1386868066	-1.14769427179947	0.0777732201383998	-14.7569339389203	2.77617753580182e-49	4.46099542437719e-47
PHT89981	1417.28254072457	-7.45033869774779	0.50534233196916	-14.7431517734051	3.40514835820502e-49	5.43231401749614e-47
PHT66882	1909.38578041874	-1.4483973223521	0.0983581437478115	-14.7257488517246	4.40562203422365e-49	6.9781906149221e-47
PHT81383	2013.15070499851	-2.01809698519519	0.137395213600597	-14.6882626571092	7.66540207377556e-49	1.20553397862392e-46
PHT89545	139.617159557582	-3.29796018756341	0.225250347197481	-14.6413101182571	1.53089639461574e-48	2.39067799652141e-46
PHT84211	12486.3693391038	-2.45485569850054	0.167767729084756	-14.6324666364194	1.74349754235096e-48	2.70364041969458e-46
PHT90279	123.25910099296	-6.15274601742391	0.421005471284148	-14.6144086884592	2.27319431446142e-48	3.50056138355431e-46
PHT65724	3460.43608689859	-0.976789724021548	0.0669520841319582	-14.5893848815275	3.28142933949719e-48	5.01832383471381e-46
PHT88302	1441.11863828155	5.0747431519493	0.347994324738426	14.5828330843148	3.61210022843271e-48	5.48618647708872e-46
PHT74632	437.509426205417	-2.83489770469017	0.194462857289881	-14.5780934426169	3.87179271991914e-48	5.84061248736102e-46
PHT77470	2296.86825539792	1.39321985865976	0.0957262778382198	14.5542048654011	5.49208032373379e-48	8.22884332289168e-46
PHT70834	402.809604845459	-2.32963154066646	0.160232972945446	-14.5390271293264	6.85600946231171e-48	1.02034905924001e-45
PHT75539	21568.8667623826	1.31910283988133	0.0907376347538035	14.5375493141344	7.0056094255474e-48	1.03566259341009e-45
PHT69068	887.774836928502	-2.56005968952365	0.176195222914529	-14.5296770660207	7.8590051747291e-48	1.15412874006369e-45
PHT78290	191.868666895479	5.56331478038539	0.383305700463177	14.5140413347958	9.87283102441846e-48	1.44032913135842e-45
PHT83316	2060.44781726778	-0.981802510597353	0.0677362444365633	-14.4944928489036	1.31268317458736e-47	1.90253264029247e-45
PHT85959	121553.103263826	5.12256179479327	0.354117213708035	14.4657237674324	1.99495395332904e-47	2.87260415032931e-45
PHT71633	552.625719457238	8.39719677011102	0.580820389093104	14.4574758872058	2.24895016482028e-47	3.2174496712832e-45
PHT92723	1701.80852963872	-3.14912760591559	0.217909629768805	-14.4515302479138	2.45177502833974e-47	3.48513533675857e-45
PHT78583	6620.59265782007	-2.59302615067649	0.1798823710567	-14.4151210340626	4.15709797090955e-47	5.87156990477193e-45
PHT87610	1522.98476062047	-5.82064180397423	0.404361811328247	-14.3946377746568	5.59170745991134e-47	7.84785524832493e-45
PHT78401	431.123972544768	-4.14882754181178	0.288641826645407	-14.3736186471289	7.57667153519797e-47	1.05668359303783e-44
PHT90635	313.118396016897	-9.20431545819346	0.642175240952011	-14.3330276087073	1.36057359193106e-46	1.88566996256695e-44
PHT93915	185.641505756961	-4.41904097843821	0.308506793160606	-14.3239665265254	1.55016972582421e-46	2.13509401677962e-44
PHT78182	2859.57199866747	-1.64856014603751	0.115121553531971	-14.3201693814849	1.63723688717311e-46	2.24109431932492e-44
PHT65467	1287.10638913233	-4.74311682828903	0.331321982848382	-14.3157323504838	1.74515980223751e-46	2.37416678617281e-44
PHT78855	1120.27156736005	-10.7728997200517	0.753427628515508	-14.2985196086819	2.23513718198942e-46	3.02220530552533e-44
