Annotated	Significant	Expected	DEG	Term	pval
GO:0098655	579	66	63,36	66	cation transmembrane transport	0,0233144866713849
GO:0009960	8	3	0,88	3	endosperm development	0,0480569368858423
GO:0034620	28	9	3,06	9	cellular response to unfolded protein	0,0242102384200628
GO:0034605	25	8	2,74	8	cellular response to heat	0,033426553520609
GO:0032981	23	6	2,52	6	mitochondrial respiratory chain complex I assembly	0,0335225515307177
GO:0016226	27	7	2,95	7	iron-sulfur cluster assembly	0,0334922145211824
GO:0006357	484	73	52,96	73	regulation of transcription by RNA polymerase II	0,00841466213167107
GO:0009451	289	38	31,63	38	RNA modification	0,0107853370062128
GO:0006378	20	6	2,19	6	mRNA polyadenylation	0,0396328258527679
GO:0009423	18	6	1,97	6	chorismate biosynthetic process	0,00990408745722685
GO:0009415	108	18	11,82	18	response to water	0,0109953030834501
GO:0010193	12	4	1,31	4	response to ozone	0,0344540388908562
GO:0015996	8	3	0,88	3	chlorophyll catabolic process	0,0480569368858423
GO:0045292	101	20	11,05	20	mRNA cis splicing, via spliceosome	0,00832846554524344
GO:0051085	42	9	4,6	9	chaperone cofactor-dependent protein refolding	0,0352204338517229
GO:0015918	15	6	1,64	6	sterol transport	0,0479544003449103
GO:0006486	174	41	19,04	41	protein glycosylation	1,012867420084e-05
GO:0006487	44	10	4,81	10	protein N-linked glycosylation	0,00219791854143708
GO:0006470	328	50	35,89	50	protein dephosphorylation	0,00651621118451068
GO:0043547	73	15	7,99	15	positive regulation of GTPase activity	0,0230624874914288
GO:0010106	2	2	0,22	2	cellular response to iron ion starvation	0,0119713166859795
GO:0070536	8	3	0,88	3	protein K63-linked deubiquitination	0,0480569368858423
GO:0000390	3	2	0,33	2	spliceosomal complex disassembly	0,0332956056024791
GO:0009294	11	6	1,2	6	DNA mediated transformation	0,000484034847545735
GO:0010218	3	2	0,33	2	response to far red light	0,0332956056024791
GO:0033512	5	3	0,55	3	L-lysine catabolic process to acetyl-CoA via saccharopine	0,0110387348534535
GO:2000762	15	6	1,64	6	regulation of phenylpropanoid metabolic process	0,00408951105978056
GO:0034975	3	2	0,33	2	protein folding in endoplasmic reticulum	0,0332956056024791
GO:0009249	6	3	0,66	3	protein lipoylation	0,0202889382475861
GO:0009234	5	3	0,55	3	menaquinone biosynthetic process	0,0110387348534535
GO:0050832	64	11	7	11	defense response to fungus	0,0371549694132461
GO:0048511	61	17	6,68	17	rhythmic process	8,8624800632018e-05
GO:0006101	3	2	0,33	2	citrate metabolic process	0,0332956056024791
GO:0042752	28	7	3,06	7	regulation of circadian rhythm	0,0325923021667568
GO:0034497	2	2	0,22	2	protein localization to phagophore assembly site	0,0119713166859795
GO:0071456	33	8	3,61	8	cellular response to hypoxia	0,0334364702997115
GO:0019674	8	3	0,88	3	NAD metabolic process	0,0480569368858423
GO:0019676	3	2	0,33	2	ammonia assimilation cycle	0,0332956056024791
GO:0044154	3	2	0,33	2	histone H3-K14 acetylation	0,0332956056024791
GO:0009737	180	28	19,7	28	response to abscisic acid	0,017127045642513
GO:0030026	11	4	1,2	4	cellular manganese ion homeostasis	0,025099230074001
GO:0016024	13	5	1,42	5	CDP-diacylglycerol biosynthetic process	0,00945767552839294
GO:0005986	10	4	1,09	4	sucrose biosynthetic process	0,0174607071341335
GO:0005975	1245	176	136,24	176	carbohydrate metabolic process	0,00068771539680619
GO:0052746	11	4	1,2	4	inositol phosphorylation	0,025099230074001
GO:0006741	4	3	0,44	3	NADP biosynthetic process	0,00480732181528681
GO:0035556	333	50	36,44	50	intracellular signal transduction	0,00600120509675442
GO:0051453	13	5	1,42	5	regulation of intracellular pH	0,0174456878979571
GO:0010587	2	2	0,22	2	miRNA catabolic process	0,0119713166859795
GO:0046467	82	19	8,97	19	membrane lipid biosynthetic process	0,0118976642998627
GO:0006897	82	10	8,97	10	endocytosis	0,0307643621784914
