Names	total	elements
22h_Down 25h_Down 28h_Down 34h_Down 37h_Down 40h_Down 46h_Down 56h_Down 96h_Down	4	Niben261Chr07g0946002.1
		Niben261Chr02g0878007.1
		Niben261Chr17g1207004.1
		eGFP:mRNA
22h_Down 25h_Down 28h_Down 34h_Down 37h_Down 40h_Down 46h_Down 56h_Down	142	Niben261Chr11g1394002.1
		Niben261Chr07g0159002.1
		Niben261Chr08g0017019.1
		Niben261Chr16g0434017.1
		Niben261Chr18g1377001.1
		Niben261Chr18g0298010.1
		Niben261Chr03g0016006.1
		Niben261Chr06g0506008.1
		Niben261Chr13g1034008.1
		Niben261Chr07g0378025.1
		Niben261Chr18g0858015.1
		Niben261Chr14g0976002.1
		Niben261Chr06g0699001.1
		Niben261Chr04g1093007.1
		Niben261Chr04g0107026.1
		Niben261Chr05g1347001.1
		Niben261Chr07g1356022.1
		Niben261Chr17g0102008.1
		Niben261Chr01g0495008.1
		Niben261Chr16g0271007.1
		Niben261Chr06g1031019.1
		Niben261Chr07g1305014.1
		Niben261Chr14g0807016.1
		Niben261Chr10g0858018.1
		Niben261Chr11g0029011.1
		Niben261Chr07g1035001.1
		Niben261Chr04g1664002.1
		Niben261Chr01g1080014.1
		Niben261Chr03g1081001.1
		Niben261Chr05g0829006.1
		Niben261Chr03g0273006.1
		Niben261Chr13g0662011.1
		Niben261Chr16g1185001.1
		Niben261Chr01g0547003.1
		Niben261Chr16g1183012.1
		Niben261Chr12g1569022.1
		Niben261Chr11g1310006.1
		Niben261Chr19g0546002.1
		Niben261Chr07g0378026.1
		Niben261Chr08g0455001.1
		Niben261Chr10g1008010.1
		Niben261Chr14g0807008.1
		Niben261Chr17g1291020.1
		Niben261Chr01g1152002.1
		Niben261Chr11g1362020.1
		Niben261Chr13g0287001.1
		Niben261Chr05g0814003.1
		Niben261Chr06g1114007.1
		Niben261Chr11g1389005.1
		Niben261Chr10g0232005.1
		Niben261Chr12g0605007.1
		Niben261Chr13g1166005.1
		Niben261Chr01g0894018.1
		Niben261Chr05g1238006.1
		Niben261Chr13g1261011.1
		Niben261Chr17g1283002.1
		Niben261Chr13g0482004.1
		Niben261Chr08g0455007.1
