Name	pcrtBAA_vs_GFPAA_filtered
Niben261Chr09g0018013.1	-3,05022335957228
Niben261Chr11g1361010.1	-5,73854592881374
Niben261Chr07g0378025.1	-5,96740595745146
Niben261Chr13g1031030.1	-4,68728258084586
Niben261Chr13g0649001.1	-2,18620521266088
Niben261Chr07g0378013.1	-5,83098050202508
Niben261Chr08g0455007.1	-5,70082886693755
Niben261Chr16g0933001.1	-1,73715552557444
Niben261Chr02g0561009.1	-2,23771956467236
Niben261Chr11g0029011.1	-1,64346059256615
Niben261Chr08g0455001.1	-5,55580457448881
Niben261Chr05g1347001.1	-2,6426960642234
Niben261Chr14g0950012.1	-4,46912549163458
Niben261Chr13g0686007.1	-3,05933868179806
Niben261Chr03g1491010.1	-4,45735301627785
Niben261Chr12g0293002.1	-1,62218284345285
Niben261Chr17g1283002.1	-2,07322308524874
Niben261Chr18g1227005.1	-1,6263234155114
eGFP:mRNA	-3,52514857401011
Niben261Chr07g0946002.1	-2,21292672457965
Niben261Chr10g1008010.1	-2,52010804833497
Niben261Chr10g0232005.1	-1,67814085700851
Niben261Chr04g1635011.1	-1,33154144229417
Niben261Chr16g0915012.1	-2,61601981625165
Niben261Chr13g1166005.1	-2,05239362299877
Niben261Chr11g1339003.1	-1,27191811603484
Niben261Chr18g0944002.1	-4,69844259236623
Niben261Chr01g1134008.1	-3,92100155254645
Niben261Chr10g1067024.1	-7,69866745984015
Niben261Chr07g1035001.1	-4,50386875222197
Niben261Chr08g1252001.1	-7,63091807541682
Niben261Chr07g0378012.1	-5,12977698035739
Niben261Chr11g0949004.1	-1,61277074710376
Niben261Chr08g0933002.1	-1,68580533416554
Niben261Chr10g0614006.1	-2,59336648314485
Niben261Chr16g0434017.1	-2,66252717386175
Niben261Chr03g1491011.1	-3,42646343256899
Niben261Chr16g0519016.1	-1,14780362551041
Niben261Chr15g1477001.1	-0,958076016686363
Niben261Chr05g0671008.1	-1,11900816817586
Niben261Chr11g1177014.1	-1,48791244044202
Niben261Chr01g0894018.1	-1,38393538916429
Niben261Chr07g0283015.1	-1,56094784255084
Niben261Chr15g1003001.1	-2,23256815068456
Niben261Chr12g0266006.1	-1,45750612197782
PaancrtB:mRNA	6,74029245760375
Niben261Chr07g0798002.1	-2,84749998166315
Niben261Chr02g0044006.1	-2,36426543670057
Niben261Chr09g0018012.1	-2,2673726607678
Niben261Chr15g1246003.1	-3,28460382456451
Niben261Chr19g0546001.1	-2,14551498083815
Niben261Chr01g1152002.1	-1,13550124518965
Niben261Chr10g1108005.1	-4,14105224138851
Niben261Chr01g1688002.1	-1,29950892568085
Niben261Chr17g1291020.1	-2,45738394349049
Niben261Chr14g0208010.1	-4,96888035205083
Niben261Chr04g0107026.1	-1,20234578378861
Niben261Chr05g0814003.1	-1,46770248860359
Niben261Chr14g1384002.1	-0,713833693328762
Niben261Chr06g1031019.1	-1,71556150323805
Niben261Chr04g0042005.1	-1,80735481002935
Niben261Chr10g0625001.1	-0,78282475017818
Niben261Chr01g1080014.1	-1,68621218005833
Niben261Chr15g1457008.1	-6,01348943736025
Niben261Chr16g0344005.1	-1,1245195601975
Niben261Chr15g1115005.1	-1,61198720446113
Niben261Chr09g1282007.1	-1,22098229248415
Niben261Chr10g0540006.1	-4,88428886532991
Niben261Chr14g0544012.1	-1,1581328024711
Niben261Chr18g1437007.1	-1,27528971860332
