Names	total	elements
22h_Down 25h_Down 28h_Down 34h_Down 37h_Down 40h_Down 46h_Down 56h_Down	13	GO:0032781
		GO:0042542
		GO:0050821
		GO:0042026
		GO:0051085
		GO:0009408
		GO:0051259
		GO:0006457
		GO:0080186
		GO:0009651
		GO:0034605
		GO:1902584
		GO:0051131
22h_Down 25h_Down 28h_Down 34h_Down 37h_Down 40h_Down 56h_Down	2	GO:0045927
		GO:0034220
25h_Down 28h_Down 34h_Down 37h_Down 40h_Down 46h_Down 56h_Down	3	GO:0010157
		GO:0006884
		GO:0009704
22h_Down 25h_Down 28h_Down 34h_Down 37h_Down 40h_Down	2	GO:0098869
		GO:0034389
22h_Down 25h_Down 28h_Down 34h_Down 40h_Down 46h_Down	1	GO:0006122
22h_Down 25h_Down 28h_Down 37h_Down 40h_Down 46h_Down	2	GO:0034204
		GO:0015914
22h_Down 25h_Down 28h_Down 40h_Down 46h_Down 56h_Down	1	GO:0055114
22h_Down 28h_Down 34h_Down 37h_Down 40h_Down 46h_Down	1	GO:0065003
25h_Down 28h_Down 34h_Down 37h_Down 40h_Down 46h_Down	2	GO:0071712
		GO:0030433
25h_Down 34h_Down 37h_Down 40h_Down 46h_Down 56h_Down	1	GO:0000413
28h_Down 34h_Down 37h_Down 40h_Down 46h_Down 56h_Down	1	GO:1901671
22h_Down 25h_Down 37h_Down 40h_Down 46h_Down	3	GO:0030970
		GO:0097352
		GO:0051228
25h_Down 28h_Down 40h_Down 46h_Down 56h_Down	1	GO:0032922
28h_Down 34h_Down 37h_Down 40h_Down 46h_Down	3	GO:0050982
		GO:0000387
		GO:0006820
28h_Down 34h_Down 40h_Down 46h_Down 56h_Down	1	GO:0010923
34h_Down 37h_Down 40h_Down 46h_Down 56h_Down	2	GO:0010583
		GO:0061077
22h_Down 25h_Down 28h_Down 34h_Down	3	GO:0051762
		GO:0016114
		GO:0008299
22h_Down 25h_Down 28h_Down 40h_Down	3	GO:0042744
		GO:0046294
		GO:0006979
22h_Down 25h_Down 28h_Down 46h_Down	2	GO:0006099
		GO:0000023
22h_Down 25h_Down 28h_Down 56h_Down	3	GO:0006468
		GO:0016126
		GO:0006012
25h_Down 28h_Down 34h_Down 40h_Down	1	GO:0006896
25h_Down 28h_Down 34h_Down 46h_Down	1	GO:0046856
25h_Down 28h_Down 40h_Down 46h_Down	5	GO:0010104
		GO:1905499
		GO:1902066
		GO:1901672
		GO:2001011
25h_Down 28h_Down 46h_Down 56h_Down	1	GO:0055085
25h_Down 34h_Down 40h_Down 56h_Down	1	GO:0048280
28h_Down 34h_Down 40h_Down 46h_Down	1	GO:0006379
28h_Down 37h_Down 40h_Down 56h_Down	1	GO:0009789
34h_Down 37h_Down 40h_Down 46h_Down	1	GO:0070544
34h_Down 37h_Down 40h_Down 56h_Down	2	GO:0009686
		GO:0009718
37h_Down 40h_Down 46h_Down 56h_Down	1	GO:0000395
22h_Down 25h_Down 28h_Down	24	GO:0007205
		GO:0009607
		GO:0009643
		GO:0006084
		GO:0042256
		GO:1901352
		GO:0045337
		GO:0001676
		GO:2001246
		GO:0006952
		GO:0009809
		GO:0030437
		GO:0019432
		GO:0019722
		GO:0030187
		GO:0016042
		GO:0033512
		GO:0006032
		GO:0006749
		GO:0048544
		GO:0051555
		GO:0019287
		GO:0043001
		GO:0071277
22h_Down 25h_Down 40h_Down	2	GO:1903335
		GO:1904580
22h_Down 28h_Down 34h_Down	1	GO:0015936
22h_Down 28h_Down 40h_Down	1	GO:0030212
22h_Down 34h_Down 37h_Down	1	GO:0000209
25h_Down 28h_Down 40h_Down	1	GO:0006644
25h_Down 28h_Down 46h_Down	4	GO:0016567
		GO:1901141
		GO:0009631
		GO:0071497
25h_Down 28h_Down 56h_Down	2	GO:0090630
		GO:0009753
25h_Down 46h_Down 56h_Down	1	GO:0048573
28h_Down 34h_Down 56h_Down	1	GO:0071629
28h_Down 40h_Down 46h_Down	1	GO:0010091
28h_Down 40h_Down 56h_Down	1	GO:0043547
34h_Down 37h_Down 40h_Down	4	GO:0006986
		GO:0042149
		GO:0019628
		GO:0045037
34h_Down 37h_Down 46h_Down	1	GO:0009649
34h_Down 40h_Down 46h_Down	4	GO:0000122
		GO:0034063
		GO:0042795
		GO:0042796
34h_Down 46h_Down 56h_Down	1	GO:0006267
40h_Down 46h_Down 56h_Down	2	GO:0023014
		GO:0045893
22h_Down 25h_Down	25	GO:0010124
		GO:0006098
		GO:0016559
		GO:0034587
		GO:0015940
		GO:0006635
		GO:0090378
		GO:0050992
		GO:0009693
		GO:0010266
		GO:0006101
		GO:0035264
		GO:0006886
		GO:0009696
		GO:0019752
		GO:0006002
		GO:0015031
		GO:0046256
		GO:0050860
		GO:0006865
		GO:0071456
		GO:0033387
		GO:0061615
		GO:0046686
		GO:0000266
22h_Down 28h_Down	9	GO:1902977
		GO:0016998
		GO:0042939
		GO:0120009
		GO:0009816
		GO:0043434
		GO:0006680
		GO:0010305
		GO:0031938
25h_Down 28h_Down	16	GO:0046777
		GO:0006515
		GO:0010142
		GO:0042908
		GO:0042742
		GO:0010952
		GO:0006075
		GO:0005992
		GO:2000072
		GO:0010777
		GO:0006435
		GO:0010155
		GO:0009626
		GO:0035494
		GO:0015867
		GO:0019419
25h_Down 40h_Down	3	GO:0042147
		GO:0033962
		GO:0006891
25h_Down 46h_Down	3	GO:0035436
		GO:0006623
		GO:0015713
