Names	total	elements
22h_Up 25h_Up 28h_Up 34h_Up 37h_Up 40h_Up 46h_Up 56h_Up	1	GO:0055114
22h_Up 25h_Up 28h_Up 34h_Up 40h_Up 46h_Up 56h_Up	2	GO:0042546
		GO:0010411
25h_Up 28h_Up 34h_Up 37h_Up 40h_Up 46h_Up 56h_Up	3	GO:0009611
		GO:0010951
		GO:0008299
22h_Up 25h_Up 28h_Up 34h_Up 37h_Up 46h_Up	1	GO:0016126
25h_Up 28h_Up 37h_Up 40h_Up 46h_Up 56h_Up	1	GO:2000022
28h_Up 34h_Up 37h_Up 40h_Up 46h_Up 56h_Up	2	GO:0031640
		GO:0006629
22h_Up 25h_Up 28h_Up 34h_Up 56h_Up	1	GO:0071555
22h_Up 25h_Up 34h_Up 40h_Up 46h_Up	1	GO:0015979
25h_Up 28h_Up 34h_Up 37h_Up 40h_Up	1	GO:0009695
25h_Up 28h_Up 34h_Up 37h_Up 46h_Up	1	GO:0010043
25h_Up 28h_Up 34h_Up 40h_Up 56h_Up	1	GO:0015996
25h_Up 34h_Up 40h_Up 46h_Up 56h_Up	1	GO:0045454
28h_Up 34h_Up 37h_Up 46h_Up 56h_Up	1	GO:0031408
22h_Up 25h_Up 28h_Up 34h_Up	2	GO:0045490
		GO:0010143
22h_Up 25h_Up 40h_Up 46h_Up	1	GO:0043448
25h_Up 28h_Up 34h_Up 40h_Up	2	GO:0005975
		GO:0030245
25h_Up 28h_Up 46h_Up 56h_Up	1	GO:0006468
25h_Up 34h_Up 40h_Up 46h_Up	4	GO:0018298
		GO:0010207
		GO:0009765
		GO:0042549
25h_Up 37h_Up 40h_Up 46h_Up	1	GO:0016121
25h_Up 37h_Up 46h_Up 56h_Up	1	GO:0010115
28h_Up 34h_Up 37h_Up 40h_Up	2	GO:0010731
		GO:0033355
28h_Up 34h_Up 46h_Up 56h_Up	1	GO:0034440
34h_Up 37h_Up 40h_Up 46h_Up	1	GO:0045792
34h_Up 37h_Up 40h_Up 56h_Up	1	GO:0098869
34h_Up 37h_Up 46h_Up 56h_Up	3	GO:0030968
		GO:0015786
		GO:0072334
34h_Up 40h_Up 46h_Up 56h_Up	3	GO:0016998
		GO:0006032
		GO:0006749
22h_Up 25h_Up 28h_Up	3	GO:0044209
		GO:0042372
		GO:0006168
22h_Up 25h_Up 46h_Up	1	GO:0009234
25h_Up 28h_Up 34h_Up	1	GO:0006833
25h_Up 28h_Up 56h_Up	1	GO:0016042
25h_Up 34h_Up 46h_Up	1	GO:0016114
25h_Up 40h_Up 46h_Up	3	GO:0009773
		GO:0015995
		GO:0009768
25h_Up 46h_Up 56h_Up	1	GO:0016554
28h_Up 34h_Up 40h_Up	5	GO:0015810
		GO:0051484
		GO:0019509
		GO:0009690
		GO:0015827
28h_Up 34h_Up 56h_Up	2	GO:0050992
		GO:0009698
28h_Up 40h_Up 56h_Up	1	GO:0042594
28h_Up 46h_Up 56h_Up	2	GO:0031347
		GO:0051555
34h_Up 37h_Up 46h_Up	1	GO:0015671
34h_Up 37h_Up 56h_Up	1	GO:0030433
34h_Up 40h_Up 46h_Up	3	GO:0015977
		GO:0009853
		GO:0015976
34h_Up 40h_Up 56h_Up	3	GO:0098542
		GO:0042744
		GO:0006979
34h_Up 46h_Up 56h_Up	2	GO:0009607
		GO:0009693
37h_Up 46h_Up 56h_Up	3	GO:0090378
		GO:0010200
		GO:1903298
40h_Up 46h_Up 56h_Up	2	GO:0006621
		GO:0042742
22h_Up 25h_Up	5	GO:0007267
		GO:0009063
		GO:0042550
		GO:2000601
		GO:0071365
22h_Up 28h_Up	1	GO:0006166
22h_Up 46h_Up	2	GO:0043086
		GO:0009809
25h_Up 28h_Up	10	GO:0009734
		GO:0000160
		GO:0009435
		GO:0015689
		GO:0043622
		GO:0007010
		GO:0006811
		GO:1902476
		GO:0006270
		GO:0052865
25h_Up 34h_Up	1	GO:0009228
25h_Up 46h_Up	7	GO:0042793
		GO:0031564
		GO:0090228
		GO:0043335
		GO:0009831
		GO:0051083
		GO:0010027
28h_Up 34h_Up	6	GO:0034220
		GO:0019288
		GO:0051174
		GO:0043953
		GO:0055085
		GO:0046686
28h_Up 40h_Up	2	GO:0090351
		GO:0009298
28h_Up 46h_Up	1	GO:0008295
28h_Up 56h_Up	3	GO:0009873
		GO:0009423
		GO:0015867
34h_Up 37h_Up	4	GO:0042026
		GO:0051085
		GO:0009638
		GO:0019419
34h_Up 40h_Up	4	GO:0009664
		GO:0052837
		GO:0010258
		GO:0099402
34h_Up 46h_Up	1	GO:0010155
34h_Up 56h_Up	1	GO:0006662
37h_Up 46h_Up	3	GO:0006527
		GO:0006013
		GO:0033387
37h_Up 56h_Up	4	GO:0009741
		GO:0070588
		GO:0050832
		GO:0048281
40h_Up 46h_Up	7	GO:0009416
		GO:0009409
		GO:0010205
		GO:2000068
		GO:0009645
		GO:0006636
		GO:0009644
40h_Up 56h_Up	5	GO:0009450
		GO:0042183
		GO:0009058
		GO:0010492
		GO:0006540
46h_Up 56h_Up	18	GO:0080142
		GO:0051762
		GO:0042256
		GO:0034204
		GO:0019441
		GO:0030001
		GO:0046513
		GO:0046777
		GO:0006952
		GO:0007178
		GO:0002229
		GO:0006598
		GO:0019722
		GO:0030187
		GO:0071456
		GO:0015914
		GO:0048544
		GO:0080156
22h_Up	27	GO:0048255
		GO:0070899
		GO:0006562
		GO:0006048
		GO:0070143
		GO:1903826
		GO:0046294
		GO:0015813
		GO:0052746
		GO:0071158
		GO:0010019
		GO:1901962
		GO:0006567
		GO:0032774
		GO:0010044
		GO:0032515
		GO:1901703
		GO:0010847
		GO:1905786
		GO:0009663
		GO:0015808
		GO:0015812
		GO:0006633
		GO:0015949
		GO:1903401
		GO:0042545
		GO:0009432
25h_Up	19	GO:0010071
		GO:0080167
		GO:2000012
		GO:0009642
		GO:0009820
		GO:0035556
		GO:0010052
		GO:0006225
		GO:0051179
		GO:0000162
		GO:0045736
		GO:0016104
		GO:0032502
		GO:0009251
		GO:0010305
		GO:0050896
		GO:0010090
		GO:0048511
		GO:0009662
28h_Up	68	GO:0048443
		GO:2000082
		GO:0010208
		GO:0006253
		GO:0002238
		GO:0010253
		GO:0006817
		GO:0006557
		GO:0006878
		GO:0051211
		GO:0010215
		GO:0097503
		GO:0042814
		GO:0046168
		GO:0048446
		GO:0051176
		GO:0023014
		GO:0045489
		GO:0090158
		GO:0019264
		GO:2000067
		GO:0030259
		GO:0048229
		GO:0032259
		GO:0018401
		GO:0009901
		GO:0018106
		GO:0010315
		GO:1905392
		GO:0006493
		GO:0071805
		GO:0033353
		GO:0006597
		GO:0072593
