Names	total	elements
22h_Down 25h_Down 28h_Down 34h_Down 37h_Down 40h_Down 46h_Down 56h_Down	9	raffinose alpha-galactosidase activity
		heat shock protein binding
		unfolded protein binding
		protein self-association
		chaperone binding
		L-ascorbate peroxidase activity
		Hsp90 protein binding
		ATP binding
		ATPase activator activity
22h_Down 25h_Down 28h_Down 34h_Down 37h_Down 40h_Down 46h_Down	1	glutathione transferase activity
22h_Down 25h_Down 28h_Down 34h_Down 40h_Down 46h_Down 56h_Down	1	catalase activity
25h_Down 28h_Down 34h_Down 37h_Down 40h_Down 46h_Down 56h_Down	2	S100 protein binding
		ATPase activity
25h_Down 34h_Down 37h_Down 40h_Down 46h_Down 56h_Down	1	peptidyl-prolyl cis-trans isomerase activity
22h_Down 25h_Down 28h_Down 40h_Down 46h_Down	1	sequence-specific DNA binding
22h_Down 25h_Down 28h_Down 46h_Down 56h_Down	3	heme binding
		iron ion binding
		monooxygenase activity
25h_Down 28h_Down 34h_Down 37h_Down 40h_Down	1	pre-mRNA 3'-splice site binding
25h_Down 28h_Down 34h_Down 37h_Down 46h_Down	1	phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity
25h_Down 34h_Down 37h_Down 40h_Down 46h_Down	1	polyubiquitin modification-dependent protein binding
28h_Down 34h_Down 37h_Down 40h_Down 46h_Down	2	protein homodimerization activity
		mechanosensitive ion channel activity
28h_Down 34h_Down 40h_Down 46h_Down 56h_Down	1	phosphatase inhibitor activity
34h_Down 37h_Down 40h_Down 46h_Down 56h_Down	1	misfolded protein binding
22h_Down 25h_Down 28h_Down 34h_Down	5	diacylglycerol O-acyltransferase activity
		long-chain-alcohol O-fatty-acyltransferase activity
		terpene synthase activity
		hydroxymethylglutaryl-CoA reductase (NADPH) activity
		5-epi-aristolochene synthase activity
22h_Down 25h_Down 28h_Down 40h_Down	3	DNA-binding transcription factor activity
		alcohol dehydrogenase activity, zinc-dependent
		S-(hydroxymethyl)glutathione dehydrogenase activity
22h_Down 25h_Down 28h_Down 46h_Down	3	alpha-1,4-glucosidase activity
		maltose alpha-glucosidase activity
		oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
22h_Down 25h_Down 28h_Down 56h_Down	2	protein kinase activity
		ligand-gated ion channel activity
22h_Down 25h_Down 40h_Down 56h_Down	1	NADP binding
22h_Down 34h_Down 37h_Down 46h_Down	1	glutathione peroxidase activity
25h_Down 28h_Down 40h_Down 56h_Down	1	GTPase activator activity
25h_Down 28h_Down 46h_Down 56h_Down	1	inositol 3-alpha-galactosyltransferase activity
25h_Down 40h_Down 46h_Down 56h_Down	2	ethylene binding
		ethylene receptor activity
34h_Down 40h_Down 46h_Down 56h_Down	1	sucrose-phosphate synthase activity
22h_Down 25h_Down 28h_Down	27	diacylglycerol kinase activity
		thiamine pyrophosphate binding
		ubiquitin-protein transferase activity
		syntaxin binding
		5-epi-aristolochene-1,3-dihydroxylase activity
		oxygen binding
		phosphatidylcholine transporter activity
		luteolin O-methyltransferase activity
		acetylserotonin O-methyltransferase activity
		chitin binding
		ATPase-coupled transmembrane transporter activity
		thioredoxin-disulfide reductase activity
		diphosphomevalonate decarboxylase activity
		carbohydrate binding
		calmodulin binding
		geranyltranstransferase activity
		dimethylallyltranstransferase activity
		ribosome binding
		calcium ion binding
		oxoglutarate dehydrogenase (succinyl-transferring) activity
		NAD(P)H dehydrogenase (quinone) activity
		phosphatidylinositol transfer activity
		dihydrolipoyllysine-residue succinyltransferase activity
		hydroxymethylglutaryl-CoA synthase activity
		ATP citrate synthase activity
		protein serine/threonine kinase activity
		long-chain fatty acid-CoA ligase activity
22h_Down 25h_Down 40h_Down	2	1-aminocyclopropane-1-carboxylate oxidase activity
		FMN binding
22h_Down 25h_Down 56h_Down	2	4-coumarate-CoA ligase activity
		flavin adenine dinucleotide binding
22h_Down 28h_Down 40h_Down	1	polysaccharide binding
22h_Down 28h_Down 46h_Down	2	guanyl nucleotide binding
		G-protein beta/gamma-subunit complex binding
25h_Down 28h_Down 46h_Down	1	antiporter activity
25h_Down 34h_Down 37h_Down	2	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity
		preprotein binding
25h_Down 46h_Down 56h_Down	2	NADPH-hemoprotein reductase activity
		long-chain-alcohol oxidase activity
34h_Down 37h_Down 40h_Down	4	protein C-terminus binding
		urate oxidase activity
		UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity
		UDP-3-O-acyl-N-acetylglucosamine deacetylase activity
34h_Down 37h_Down 56h_Down	2	dGTPase activity
		inositol-3-phosphate synthase activity
34h_Down 40h_Down 46h_Down	2	glutaminase activity
		spermine synthase activity
34h_Down 46h_Down 56h_Down	1	transition metal ion binding
40h_Down 46h_Down 56h_Down	4	inorganic anion exchanger activity
		metal ion binding
		phosphorelay sensor kinase activity
		U1 snRNA binding
22h_Down 25h_Down	40	G-protein gamma-subunit binding
		citrate dehydratase activity
		sphingomyelin synthase activity
		hydrolase activity
		glucose-6-phosphate dehydrogenase activity
		6-phosphofructokinase activity
		acetyl-CoA C-acyltransferase activity
		N-acylphosphatidylethanolamine-specific phospholipase D activity
		mevalonate kinase activity
		enoyl-CoA hydratase activity
		protein domain specific binding
		magnesium ion binding
		3-methyl-2-oxobutanoate hydroxymethyltransferase activity
		methyl jasmonate esterase activity
		pyruvate kinase activity
		ornithine decarboxylase activity
		UDP-glucose 4-epimerase activity
		potassium ion binding
		aconitate hydratase activity
		methyl salicylate esterase activity
		succinate-CoA ligase (ADP-forming) activity
		ATPase binding
		phospholipase D activity
		peroxidase activity
		inositol phosphoceramide synthase activity
		transferase activity, transferring phosphorus-containing groups
		3-hydroxybutyryl-CoA epimerase activity
		3-dehydroquinate dehydratase activity
		methyl indole-3-acetate esterase activity
		shikimate 3-dehydrogenase (NADP+) activity
		isopentenyl-diphosphate delta-isomerase activity
		citrate (Si)-synthase activity
		dodecenoyl-CoA delta-isomerase activity
		L-ascorbate oxidase activity
		GTP cyclohydrolase II activity
		3-hydroxyacyl-CoA dehydrogenase activity
		3,4-dihydroxy-2-butanone-4-phosphate synthase activity
		ubiquitin-ubiquitin ligase activity
		ceramide cholinephosphotransferase activity
		colneleate synthase activity
22h_Down 28h_Down	4	glucosylceramidase activity
		tripeptide transmembrane transporter activity
		chitinase activity
		pantothenate kinase activity
22h_Down 34h_Down	1	superoxide dismutase copper chaperone activity
22h_Down 40h_Down	1	L-ascorbic acid binding
22h_Down 46h_Down	1	procollagen-proline 4-dioxygenase activity
