Names	total	elements
22h_Up 25h_Up 28h_Up 34h_Up 40h_Up 46h_Up 56h_Up	1	xyloglucan:xyloglucosyl transferase activity
25h_Up 28h_Up 34h_Up 37h_Up 40h_Up 46h_Up 56h_Up	2	serine-type endopeptidase inhibitor activity
		hydroperoxide dehydratase activity
22h_Up 25h_Up 28h_Up 34h_Up 37h_Up 40h_Up	1	channel activity
22h_Up 25h_Up 34h_Up 37h_Up 46h_Up 56h_Up	1	calcium ion binding
25h_Up 28h_Up 34h_Up 37h_Up 40h_Up 46h_Up	1	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity
25h_Up 28h_Up 34h_Up 40h_Up 46h_Up 56h_Up	1	calcium-dependent phospholipid binding
28h_Up 34h_Up 37h_Up 40h_Up 46h_Up 56h_Up	2	acireductone dioxygenase [iron(II)-requiring] activity
		endopeptidase inhibitor activity
22h_Up 28h_Up 34h_Up 37h_Up 46h_Up	1	squalene monooxygenase activity
25h_Up 28h_Up 34h_Up 37h_Up 40h_Up	1	allene-oxide cyclase activity
25h_Up 28h_Up 34h_Up 40h_Up 46h_Up	2	phosphoprotein binding
		serine-type carboxypeptidase activity
28h_Up 34h_Up 37h_Up 46h_Up 56h_Up	1	aspartic-type endopeptidase activity
28h_Up 34h_Up 40h_Up 46h_Up 56h_Up	4	terpene synthase activity
		iron ion binding
		monooxygenase activity
		oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
34h_Up 37h_Up 40h_Up 46h_Up 56h_Up	1	heme binding
22h_Up 25h_Up 28h_Up 34h_Up	2	pectate lyase activity
		hydrolase activity, acting on ester bonds
22h_Up 25h_Up 28h_Up 37h_Up	1	adenine phosphoribosyltransferase activity
22h_Up 25h_Up 34h_Up 37h_Up	1	flavin adenine dinucleotide binding
22h_Up 25h_Up 40h_Up 46h_Up	1	galacturonate binding
25h_Up 28h_Up 34h_Up 40h_Up	2	nicotinate-nucleotide diphosphorylase (carboxylating) activity
		cellulase activity
25h_Up 28h_Up 34h_Up 46h_Up	2	anthranilate synthase activity
		hydrolase activity, hydrolyzing O-glycosyl compounds
25h_Up 28h_Up 40h_Up 46h_Up	1	UDPsulfoquinovose synthase activity
25h_Up 28h_Up 46h_Up 56h_Up	1	protein kinase activity
25h_Up 34h_Up 40h_Up 46h_Up	1	chlorophyll binding
25h_Up 37h_Up 40h_Up 46h_Up	1	carotenoid dioxygenase activity
28h_Up 34h_Up 37h_Up 40h_Up	2	glutathione dehydrogenase (ascorbate) activity
		oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water
28h_Up 34h_Up 40h_Up 46h_Up	1	phospholipase A1 activity
28h_Up 34h_Up 46h_Up 56h_Up	1	1-aminocyclopropane-1-carboxylate oxidase activity
28h_Up 37h_Up 46h_Up 56h_Up	1	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
34h_Up 37h_Up 46h_Up 56h_Up	5	UDP-galactose transmembrane transporter activity
		UDP-glucose transmembrane transporter activity
		protein disulfide isomerase activity
		polysaccharide binding
		protein folding chaperone
34h_Up 40h_Up 46h_Up 56h_Up	4	glutathione transferase activity
		catalase activity
		protein disulfide oxidoreductase activity
		chitinase activity
22h_Up 25h_Up 28h_Up	3	octadecanal decarbonylase activity
		microtubule binding
		aldehyde oxygenase (deformylating) activity
22h_Up 25h_Up 34h_Up	1	mandelonitrile lyase activity
22h_Up 25h_Up 40h_Up	1	tetrapyrrole binding
22h_Up 25h_Up 46h_Up	1	protochlorophyllide reductase activity
25h_Up 28h_Up 34h_Up	1	water channel activity
25h_Up 28h_Up 40h_Up	1	voltage-gated chloride channel activity
25h_Up 28h_Up 46h_Up	1	gibberellin 20-oxidase activity
25h_Up 28h_Up 56h_Up	1	pheophytinase activity
25h_Up 40h_Up 46h_Up	1	oxygen evolving activity
25h_Up 40h_Up 56h_Up	1	UDP-glycosyltransferase activity
28h_Up 34h_Up 46h_Up	1	glycine hydroxymethyltransferase activity
28h_Up 34h_Up 56h_Up	2	4-coumarate-CoA ligase activity
		transferase activity
28h_Up 46h_Up 56h_Up	2	catalytic activity
		lipase activity
34h_Up 37h_Up 40h_Up	2	glutamate N-acetyltransferase activity
		glyceraldehyde-3-phosphate dehydrogenase (NADP+) (non-phosphorylating) activity
34h_Up 37h_Up 46h_Up	2	oxygen binding
		oxygen carrier activity
34h_Up 37h_Up 56h_Up	2	inorganic diphosphatase activity
		misfolded protein binding
34h_Up 40h_Up 46h_Up	1	ribulose-bisphosphate carboxylase activity
34h_Up 40h_Up 56h_Up	1	formate dehydrogenase (NAD+) activity
37h_Up 46h_Up 56h_Up	1	ornithine decarboxylase activity
40h_Up 46h_Up 56h_Up	5	transmembrane receptor protein serine/threonine kinase activity
		chitin binding
		protein domain specific binding
		carbohydrate binding
		ER retention sequence binding
22h_Up 25h_Up	6	Arp2/3 complex binding
		cinnamyl-alcohol dehydrogenase activity
		2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity
		protein kinase A regulatory subunit binding
		protein dimerization activity
		oxidoreductase activity, acting on CH-OH group of donors
22h_Up 37h_Up	2	N-acetyl-beta-D-galactosaminidase activity
		beta-N-acetylhexosaminidase activity
22h_Up 40h_Up	2	UDP-N-acetylglucosamine diphosphorylase activity
		carbonate dehydratase activity
22h_Up 46h_Up	2	glucose-6-phosphate dehydrogenase activity
		methyl indole-3-acetate esterase activity
22h_Up 56h_Up	1	thiamine pyrophosphate binding
25h_Up 28h_Up	7	alpha-amylase activity (releasing maltohexaose)
		alpha-amylase activity
		molybdate ion transmembrane transporter activity
		galactinol-sucrose galactosyltransferase activity
		1-deoxy-D-xylulose-5-phosphate synthase activity
		FAD binding
		receptor serine/threonine kinase binding
25h_Up 40h_Up	2	geranylgeranyl reductase activity
		geranylgeranyl diphosphate reductase activity
25h_Up 46h_Up	1	dihydrolipoyl dehydrogenase activity
25h_Up 56h_Up	1	ion channel activity
28h_Up 34h_Up	5	transmembrane transporter activity
		protein heterodimerization activity
		4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity
		N-carbamoylputrescine amidase activity
		12-oxophytodienoate reductase activity
28h_Up 37h_Up	3	acetyl-CoA:L-glutamate N-acetyltransferase activity
		acyl-CoA oxidase activity
		methione N-acyltransferase activity
28h_Up 40h_Up	3	beta-galactosidase activity
		cytokinin dehydrogenase activity
		kinase binding
28h_Up 56h_Up	5	RNA polymerase II cis-regulatory region sequence-specific DNA binding
		beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity
		hydroxymethylglutaryl-CoA reductase (NADPH) activity
		transferase activity, transferring glycosyl groups
		ATP transmembrane transporter activity
34h_Up 37h_Up	4	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor
		phosphoadenylyl-sulfate reductase (thioredoxin) activity
		gibberellin 3-beta-dioxygenase activity
		adenyl-nucleotide exchange factor activity
34h_Up 40h_Up	6	sulfiredoxin activity
		fructose-bisphosphate aldolase activity
		1-deoxy-D-xylulose-5-phosphate reductoisomerase activity
		2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity
		4-hydroxyphenylpyruvate dioxygenase activity
