Annotated	Significant	Expected	DEG	Term	pval
GO:0000243	6	2	0,14	2	commitment complex	0,00788314913980363
GO:0012507	34	3	0,81	3	ER to Golgi transport vesicle membrane	0,0459643308871107
GO:0010494	26	3	0,62	3	cytoplasmic stress granule	0,022926371557192
GO:0089701	11	3	0,26	3	U2AF	0,00189203404537817
GO:0031902	21	3	0,5	3	late endosome membrane	0,0127937451261611
GO:0048471	29	9	0,69	9	perinuclear region of cytoplasm	1,45369497111831e-08
GO:0005685	13	2	0,31	2	U1 snRNP	0,0367410964319956
GO:1990124	8	2	0,19	2	messenger ribonucleoprotein complex	0,0142597107665145
GO:0005886	1961	60	46,43	60	plasma membrane	0,00357884873121609
GO:0009986	9	5	0,21	5	cell surface	8,53935177915147e-07
GO:0005750	7	2	0,17	2	mitochondrial respiratory chain complex III	0,0108640796804076
GO:0005759	129	10	3,05	10	mitochondrial matrix	0,0023668096085103
GO:0005788	53	9	1,25	9	endoplasmic reticulum lumen	3,87489120838882e-06
GO:0005789	506	23	11,98	23	endoplasmic reticulum membrane	0,00936334625386951
GO:0019005	78	6	1,85	6	SCF ubiquitin ligase complex	0,0104898470680704
GO:0034715	3	2	0,07	2	pICln-Sm protein complex	0,00165316823749438
GO:0005829	1367	48	32,37	48	cytosol	9,17413145932677e-05
GO:0019185	1	1	0,02	1	snRNA-activating protein complex	0,0236790256134694
GO:0000812	2	1	0,05	1	Swr1 complex	0,0467981831713074
GO:0046930	12	2	0,28	2	pore complex	0,0315756562828092
GO:0030018	2	2	0,05	2	Z disc	0,000559868055631218
GO:0031201	46	5	1,09	5	SNARE complex	0,00451016899385154
GO:0005737	10788	290	255,45	290	cytoplasm	8,44198977464757e-06
GO:0034098	10	3	0,24	3	VCP-NPL4-UFD1 AAA ATPase complex	0,00140058223145023
GO:0071004	10	2	0,24	2	U2-type prespliceosome	0,0222108445495974
GO:0034709	3	2	0,07	2	methylosome	0,00165316823749438
GO:0062023	2	2	0,05	2	collagen-containing extracellular matrix	0,000559868055631218
