Annotated	Significant	Expected	DEG	Term	pval
GO:0009570	309	70	22,32	70	chloroplast stroma	1,34819375301161e-12
GO:0035861	5	2	0,36	2	site of double-strand break	0,0450083092955303
GO:0030692	4	3	0,29	3	Noc4p-Nop14p complex	0,00142320937688313
GO:0009707	33	13	2,38	13	chloroplast outer membrane	2,03246741915644e-07
GO:0030956	10	6	0,72	6	glutamyl-tRNA(Gln) amidotransferase complex	2,294438073754e-05
GO:0001405	8	4	0,58	4	PAM complex, Tim23 associated import motor	0,00149874914520762
GO:0031969	199	34	14,37	34	chloroplast membrane	0,000536613066476162
GO:0009543	16	5	1,16	5	chloroplast thylakoid lumen	0,00435085267400968
GO:0000502	154	23	11,12	23	proteasome complex	0,00793354960024272
GO:0009534	635	84	45,86	84	chloroplast thylakoid	0,00206711256327009
GO:0009535	602	76	43,48	76	chloroplast thylakoid membrane	1,43052619707671e-06
GO:0032040	53	13	3,83	13	small-subunit processome	7,63065870110432e-05
GO:0000312	2	2	0,14	2	plastid small ribosomal subunit	0,00521321782952222
GO:0031977	23	9	1,66	9	thylakoid lumen	0,000789082837889859
GO:0046930	12	5	0,87	5	pore complex	0,0010064902884085
GO:0030687	23	8	1,66	8	preribosome, large subunit precursor	0,000133724853297786
GO:0019898	95	24	6,86	24	extrinsic component of membrane	7,88443797280936e-09
GO:0005854	8	4	0,58	4	nascent polypeptide-associated complex	0,00149874914520762
GO:0042644	39	16	2,82	16	chloroplast nucleoid	3,93500364821521e-09
GO:0042645	6	3	0,43	3	mitochondrial nucleoid	0,0063712084021611
GO:0009507	2246	423	162,2	423	chloroplast	1,79807827188089e-53
GO:0009508	24	13	1,73	13	plastid chromosome	1,64119137807378e-09
GO:0009509	8	4	0,58	4	chromoplast	0,00149874914520762
GO:0042721	13	4	0,94	4	TIM22 mitochondrial import inner membrane insertion complex	0,0114296775081886
GO:0000172	10	3	0,72	3	ribonuclease MRP complex	0,0307258242693045
GO:0005694	677	44	48,89	44	chromosome	0,0148146265863478
GO:0000176	14	4	1,01	4	nuclear exosome (RNase complex)	0,0151008032010878
GO:0000177	12	4	0,87	4	cytoplasmic exosome (RNase complex)	0,00838627645986964
GO:0000123	61	6	4,41	6	histone acetyltransferase complex	0,0283546032036692
GO:0009331	10	3	0,72	3	glycerol-3-phosphate dehydrogenase complex	0,0307258242693045
GO:0048471	29	8	2,09	8	perinuclear region of cytoplasm	0,000792503813421145
GO:0048476	4	2	0,29	2	Holliday junction resolvase complex	0,0283515053731649
GO:0005840	1147	185	82,84	185	ribosome	3,46696212345353e-22
GO:0009986	9	5	0,65	5	cell surface	0,00019247122499479
GO:0005666	36	7	2,6	7	RNA polymerase III complex	0,0132502419432892
GO:0034457	7	4	0,51	4	Mpp10 complex	0,000794862334638409
GO:0034715	3	2	0,22	2	pICln-Sm protein complex	0,014887357375024
GO:0005655	6	3	0,43	3	nucleolar ribonuclease P complex	0,0063712084021611
GO:0022625	153	33	11,05	33	cytosolic large ribosomal subunit	1,1212885489708e-08
GO:0022627	85	11	6,14	11	cytosolic small ribosomal subunit	0,0419502429152352
GO:0061927	2	2	0,14	2	TOC-TIC supercomplex I	0,00521321782952222
GO:0009654	45	26	3,25	26	photosystem II oxygen evolving complex	1,14763664866401e-18
GO:0015030	10	3	0,72	3	Cajal body	0,0307258242693045
GO:0034426	8	7	0,58	7	etioplast membrane	7,60682242878062e-08
GO:0009941	348	81	25,13	81	chloroplast envelope	9,4782301218817e-19
GO:0031428	3	2	0,22	2	box C/D snoRNP complex	0,014887357375024
GO:0005758	22	5	1,59	5	mitochondrial intermembrane space	0,0182737272337394
GO:0005759	129	41	9,32	41	mitochondrial matrix	8,42692178126473e-13
GO:0005788	53	8	3,83	8	endoplasmic reticulum lumen	0,0353242412020722
GO:0034709	3	2	0,22	2	methylosome	0,014887357375024
GO:0005777	163	18	11,77	18	peroxisome	0,0237579372272055
GO:0010598	9	6	0,65	6	NAD(P)H dehydrogenase complex (plastoquinone)	9,77896332872259e-06
GO:0000427	11	7	0,79	7	plastid-encoded plastid RNA polymerase complex	2,58252899046198e-06
GO:0031515	7	3	0,51	3	tRNA (m1A) methyltransferase complex	0,0105534679528031
GO:0044233	3	2	0,22	2	Mitochondria-associated ER Membrane	0,014887357375024
GO:0043231	13599	1113	982,11	1113	intracellular membrane-bounded organelle	2,47068516150633e-05
GO:0005743	387	46	27,95	46	mitochondrial inner membrane	0,00340725415682157
GO:0005744	17	8	1,23	8	TIM23 mitochondrial import inner membrane translocase complex	0,00252782462823595
GO:0005730	373	86	26,94	86	nucleolus	5,6099855332092e-16
GO:0005732	25	11	1,81	11	small nucleolar ribonucleoprotein complex	0,0006170642001735
GO:0005736	17	5	1,23	5	RNA polymerase I complex	0,00580140617523701
GO:0005737	10788	1132	779,1	1132	cytoplasm	2,10451540077227e-09
GO:0005739	1517	238	109,56	238	mitochondrion	8,86712750405076e-20
