Annotated	Significant	Expected	DEG	Term	pval
GO:0034721	3	2	0,08	2	histone H3-K4 demethylation, trimethyl-H3-K4-specific	0,00190443575257604
GO:0015914	54	6	1,37	6	phospholipid transport	0,00242798941076562
GO:0015940	5	2	0,13	2	pantothenate biosynthetic process	0,00613588469229695
GO:0015936	22	5	0,56	5	coenzyme A metabolic process	0,0205274459862577
GO:0015937	13	3	0,33	3	coenzyme A biosynthetic process	0,00387142218416834
GO:0009860	31	3	0,79	3	pollen tube growth	0,043444735417513
GO:0016310	3629	116	92,27	116	phosphorylation	0,0445742013209278
GO:0016559	12	2	0,31	2	peroxisome fission	0,0359948884564013
GO:0009873	196	12	4,98	12	ethylene-activated signaling pathway	0,0253197062154638
GO:0009816	15	3	0,38	3	defense response to bacterium, incompatible interaction	0,0206083583986154
GO:2001011	2	2	0,05	2	positive regulation of plant-type cell wall cellulose biosynthetic process	0,000645732874212539
GO:0019511	16	3	0,41	3	peptidyl-proline hydroxylation	0,0359271221291536
GO:0009809	29	4	0,74	4	lignin biosynthetic process	0,00594385619277957
GO:0042744	224	20	5,7	20	hydrogen peroxide catabolic process	1,37159351495654e-06
GO:1902584	6	5	0,15	5	positive regulation of response to water deprivation	6,17156614471733e-08
GO:0035264	1	1	0,03	1	multicellular organism growth	0,0254254545454544
GO:0045927	34	6	0,86	6	positive regulation of growth	0,000194329979349644
GO:0030970	4	2	0,1	2	retrograde protein transport, ER to cytosol	0,00374459110105054
GO:0061615	24	3	0,61	3	glycolytic process through fructose-6-phosphate	0,0222774993389634
GO:0008299	153	27	3,89	27	isoprenoid biosynthetic process	0,000500083721593359
GO:0071277	1	1	0,03	1	cellular response to calcium ion	0,0254254545454544
GO:0006527	5	2	0,13	2	arginine catabolic process	0,00613588469229695
GO:0042908	135	10	3,43	10	xenobiotic transport	0,00243535952083008
GO:0019441	7	2	0,18	2	tryptophan catabolic process to kynurenine	0,01245640330931
GO:0051555	4	2	0,1	2	flavonol biosynthetic process	0,00374459110105054
GO:0019430	35	5	0,89	5	removal of superoxide radicals	0,00181109409478469
GO:0034389	13	5	0,33	5	lipid droplet organization	1,14088233360914e-05
GO:0000460	39	3	0,99	3	maturation of 5.8S rRNA	0,0304829594364511
GO:1905499	2	2	0,05	2	trichome papilla formation	0,000645732874212539
GO:0046513	8	2	0,2	2	ceramide biosynthetic process	0,0163306565061373
GO:0007186	40	8	1,02	8	G protein-coupled receptor signaling pathway	0,0152714342579863
GO:0006468	2458	76	62,5	76	protein phosphorylation	0,00874584510408442
GO:0006457	365	53	9,28	53	protein folding	6,75015970442645e-18
GO:0006694	66	9	1,68	9	steroid biosynthetic process	0,0195684393434456
GO:0098869	378	30	9,61	30	cellular oxidant detoxification	2,74519513961877e-06
GO:0080186	6	5	0,15	5	developmental vegetative growth	6,17156614471733e-08
GO:0009693	20	4	0,51	4	ethylene biosynthetic process	0,0030272015957504
GO:0032781	24	4	0,61	4	positive regulation of ATPase activity	0,00293975737439964
GO:0009415	109	8	2,77	8	response to water	0,0204920668901204
GO:0006435	5	2	0,13	2	threonyl-tRNA aminoacylation	0,00613588469229695
GO:0009651	117	8	2,97	8	response to salt stress	0,020423957467755
