Annotated	Significant	Expected	DEG	Term	pval
GO:0034715	3	2	0,09	2	pICln-Sm protein complex	0,00288942962044817
GO:0005829	1367	56	42,9	56	cytosol	0,00854569813628739
GO:0030687	23	4	0,72	4	preribosome, large subunit precursor	0,00529848620174679
GO:0005750	7	2	0,22	2	mitochondrial respiratory chain complex III	0,0185998364252147
GO:0005758	22	5	0,69	5	mitochondrial intermembrane space	0,000507787394021283
GO:0005782	3	2	0,09	2	peroxisomal matrix	0,00288942962044817
GO:0005783	852	42	26,74	42	endoplasmic reticulum	0,0167049809217274
GO:0005788	53	9	1,66	9	endoplasmic reticulum lumen	3,63543481442404e-05
GO:0001405	8	2	0,25	2	PAM complex, Tim23 associated import motor	0,0242889893697364
GO:0045171	1	1	0,03	1	intercellular bridge	0,031380977968834
GO:0031597	11	3	0,35	3	cytosolic proteasome complex	0,00420760001548796
GO:0034709	3	2	0,09	2	methylosome	0,00288942962044817
GO:0046861	1	1	0,03	1	glyoxysomal membrane	0,031380977968834
GO:0043073	8	2	0,25	2	germ cell nucleus	0,0242889893697364
GO:0048471	29	9	0,91	9	perinuclear region of cytoplasm	1,612881339906e-07
GO:0005730	373	26	11,71	26	nucleolus	0,00101080410492525
GO:0005737	10788	352	338,54	352	cytoplasm	0,000159122465037816
GO:0034098	10	3	0,31	3	VCP-NPL4-UFD1 AAA ATPase complex	0,00313273687612231
GO:0031201	46	5	1,44	5	SNARE complex	0,0142489527850028
GO:0034456	4	2	0,13	2	UTP-C complex	0,00565854738053442
GO:0032545	4	2	0,13	2	CURI complex	0,00565854738053442
GO:0089701	11	2	0,35	2	U2AF	0,044838273893205
GO:0030018	2	2	0,06	2	Z disc	0,00098367685472271
GO:0090730	2	2	0,06	2	Las1 complex	0,00098367685472271
GO:0009986	9	6	0,28	6	cell surface	7,27432673964582e-08
GO:0008540	26	3	0,82	3	proteasome regulatory particle, base subcomplex	0,0468528424605786
GO:0031902	21	3	0,66	3	late endosome membrane	0,0268801879634349
GO:0009925	10	2	0,31	2	basal plasma membrane	0,037450878642711
GO:0032040	53	7	1,66	7	small-subunit processome	0,00128306586285292
GO:0045252	7	4	0,22	4	oxoglutarate dehydrogenase complex	3,12540048418327e-05
GO:0005886	1961	99	61,54	99	plasma membrane	6,59373276326702e-07
