Annotated	Significant	Expected	DEG	Term	pval
GO:0046283	21	7	0,62	7	anthocyanin-containing compound metabolic process	0,00810589938652195
GO:1902066	5	2	0,15	2	regulation of cell wall pectin metabolic process	0,00817674726664795
GO:0009651	117	10	3,45	10	response to salt stress	0,00299845817690435
GO:0032957	12	2	0,35	2	inositol trisphosphate metabolic process	0,0470799268916528
GO:0120188	1	1	0,03	1	regulation of bile acid secretion	0,0294690909090908
GO:0055114	3639	133	107,24	133	oxidation-reduction process	0,00253002077381671
GO:0051382	6	2	0,18	2	kinetochore assembly	0,0120264167565791
GO:0032922	4	3	0,12	3	circadian regulation of gene expression	9,98234877860093e-05
GO:0009640	39	6	1,15	6	photomorphogenesis	0,0226989149326856
GO:0009641	7	2	0,21	2	shade avoidance	0,0165101296901573
GO:0048586	10	2	0,29	2	regulation of long-day photoperiodism, flowering	0,0333682812040605
GO:0006267	1	1	0,03	1	pre-replicative complex assembly involved in nuclear cell cycle DNA replication	0,0294690909090908
GO:0048573	42	5	1,24	5	photoperiodism, flowering	0,000476107580896283
GO:0050821	29	6	0,85	6	protein stabilization	0,000171434368687539
GO:0043547	88	8	2,59	8	positive regulation of GTPase activity	0,0054464121892708
GO:0000413	117	11	3,45	11	protein peptidyl-prolyl isomerization	0,000698254893619693
GO:0050801	154	3	4,54	3	ion homeostasis	0,0166139415960204
GO:1901671	5	3	0,15	3	positive regulation of superoxide dismutase activity	0,000244067008310809
GO:0032781	24	5	0,71	5	positive regulation of ATPase activity	0,000586471933004286
GO:1901672	2	2	0,06	2	positive regulation of systemic acquired resistance	0,000867595275498925
GO:0048364	119	6	3,51	6	root development	0,0430708848759408
GO:0042149	16	3	0,47	3	cellular response to glucose starvation	0,0107244078466752
GO:0043666	103	10	3,04	10	regulation of phosphoprotein phosphatase activity	0,0240566152321338
GO:0030001	534	20	15,74	20	metal ion transport	0,00812911403580991
GO:0045663	1	1	0,03	1	positive regulation of myoblast differentiation	0,0294690909090908
GO:0038183	1	1	0,03	1	bile acid signaling pathway	0,0294690909090908
