Annotated	Significant	Expected	DEG	Term	pval
GO:0003958	6	2	0,18	2	NADPH-hemoprotein reductase activity	0,0128968614370057
GO:0022857	2366	95	72,31	95	transmembrane transporter activity	0,000534585770832518
GO:0003983	8	2	0,24	2	UTP:glucose-1-phosphate uridylyltransferase activity	0,0231160063962686
GO:0043813	10	2	0,31	2	phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity	0,0356799346472231
GO:0005452	9	3	0,28	3	inorganic anion exchanger activity	0,00208269062330216
GO:0000155	40	7	1,22	7	phosphorelay sensor kinase activity	0,000188583381139825
GO:0008017	262	20	8,01	20	microtubule binding	0,000182264617430933
GO:0046872	7522	222	229,88	222	metal ion binding	0,0116208534770445
GO:0005506	627	34	19,16	34	iron ion binding	0,00151416925329345
GO:0047325	11	2	0,34	2	inositol tetrakisphosphate 1-kinase activity	0,0427403791502784
GO:0016688	14	3	0,43	3	L-ascorbate peroxidase activity	0,00805124902975301
GO:0005471	23	3	0,7	3	ATP:ADP antiporter activity	0,0319722903924904
GO:0102752	7	2	0,21	2	1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis)	0,0176921767810061
GO:0035529	8	2	0,24	2	NADH pyrophosphatase activity	0,0231160063962686
GO:0051787	22	4	0,67	4	misfolded protein binding	0,00408839696624847
GO:0047274	8	2	0,24	2	galactinol-sucrose galactosyltransferase activity	0,0231160063962686
GO:0030619	6	2	0,18	2	U1 snRNA binding	0,0128968614370057
GO:0008289	385	20	11,77	20	lipid binding	0,0329573620794485
GO:0004020	11	2	0,34	2	adenylylsulfate kinase activity	0,0427403791502784
GO:0016705	591	26	18,06	26	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	0,0318404322824542
GO:0047216	5	2	0,15	2	inositol 3-alpha-galactosyltransferase activity	0,00877499907545649
GO:0000827	6	2	0,18	2	inositol-1,3,4,5,6-pentakisphosphate kinase activity	0,0128968614370057
GO:0051740	13	4	0,4	4	ethylene binding	0,000497420440459121
GO:0000829	6	2	0,18	2	inositol heptakisphosphate kinase activity	0,0128968614370057
GO:0044548	3	2	0,09	2	S100 protein binding	0,00274250281737669
GO:0016161	22	3	0,67	3	beta-amylase activity	0,028432101219735
GO:0004373	15	3	0,46	3	glycogen (starch) synthase activity	0,00983797239306491
GO:0004032	9	2	0,28	2	alditol:NADP+ 1-oxidoreductase activity	0,0291255251885449
GO:0000832	6	2	0,18	2	inositol hexakisphosphate 5-kinase activity	0,0128968614370057
GO:0003844	7	2	0,21	2	1,4-alpha-glucan branching enzyme activity	0,0176921767810061
GO:0051920	16	3	0,49	3	peroxiredoxin activity	0,0118367124537441
GO:0004565	44	5	1,34	5	beta-galactosidase activity	0,0106989869625502
