term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0006952,"defense response",0.568%,-6.418, 3.167,4.863,-7.3810,0.805,0.000,6952,0
GO:0006979,"response to oxidative stress",0.575%,null,null,4.868,-1.8677,0.805,0.570,6952,1
GO:0010951,"negative regulation of endopeptidase activity",0.157%,-2.733,-6.272,4.304,-6.9072,0.823,0.000,10951,0
GO:0010469,"regulation of receptor activity",0.025%,null,null,3.502,-1.3942,0.750,0.540,10951,1
GO:0080186,"developmental vegetative growth",0.001%,-0.944, 5.307,2.182,-1.6596,0.918,0.000,80186,0
GO:0035264,"multicellular organism growth",0.041%,null,null,3.720,-1.3942,0.893,0.661,80186,1
GO:0009058,"biosynthetic process",31.611%,-2.377, 2.236,6.608,-1.6519,0.973,0.018,9058,0
GO:0034727,"piecemeal microautophagy of nucleus",0.007%,-1.754, 6.138,2.980,-1.8240,0.949,0.020,34727,0
GO:0010508,"positive regulation of autophagy",0.037%,null,null,3.676,-1.3944,0.882,0.696,34727,1
GO:0043335,"protein unfolding",0.019%,-1.038, 1.485,3.394,-1.3942,0.959,0.022,43335,0
GO:0042256,"mature ribosome assembly",0.051%,-4.159,-5.730,3.819,-2.0341,0.899,0.023,42256,0
GO:0048268,"clathrin coat assembly",0.018%,null,null,3.356,-1.3490,0.908,0.538,42256,1
GO:0006364,"rRNA processing",0.952%,null,null,5.087,-1.5667,0.811,0.686,42256,1
GO:0042026,"protein refolding",0.069%, 0.101, 3.650,3.949,-1.5373,0.948,0.024,42026,0
GO:0051083,"'de novo' cotranslational protein folding",0.004%,null,null,2.701,-1.3942,0.952,0.535,42026,1
GO:0009693,"ethylene biosynthetic process",0.001%,-0.403,-1.559,2.286,-2.1181,0.931,0.034,9693,0
GO:0006749,"glutathione metabolic process",0.151%, 2.408,-0.353,4.288,-5.3844,0.884,0.046,6749,0
GO:0008299,"isoprenoid biosynthetic process",0.442%,null,null,4.754,-1.6322,0.763,0.749,6749,1
GO:0019287,"isopentenyl diphosphate biosynthetic process, mevalonate pathway",0.014%,null,null,3.258,-2.6924,0.775,0.512,6749,1
GO:0015979,"photosynthesis",0.183%, 0.379, 0.356,4.370,-2.0925,0.938,0.047,15979,0
GO:0006629,"lipid metabolic process",3.522%, 4.333, 2.762,5.655,-4.8815,0.864,0.059,6629,0
GO:0016554,"cytidine to uridine editing",0.003%, 1.168,-7.100,2.534,-2.0641,0.892,0.083,16554,0
GO:0005992,"trehalose biosynthetic process",0.060%, 5.419,-1.169,3.887,-2.9003,0.822,0.146,5992,0
GO:0034587,"piRNA metabolic process",0.004%, 0.594,-5.953,2.731,-1.3942,0.900,0.150,34587,0
GO:0006621,"protein retention in ER lumen",0.017%,-5.626,-3.512,3.334,-4.8067,0.793,0.166,6621,0
