Annotated	Significant	Expected	DEG	Term	pval
GO:0003950	26	6	1,01	6	NAD+ ADP-ribosyltransferase activity	0,000396154437873698
GO:0004096	15	3	0,58	3	catalase activity	0,018645586227361
GO:0042973	66	6	2,56	6	glucan endo-1,3-beta-D-glucosidase activity	0,0424753100254968
GO:0005460	6	2	0,23	2	UDP-glucose transmembrane transporter activity	0,0202941558537769
GO:0070181	35	4	1,36	4	small ribosomal subunit rRNA binding	0,0453801808854759
GO:0047372	9	2	0,35	2	acylglycerol lipase activity	0,0450913395093319
GO:0003700	1205	83	46,71	83	DNA-binding transcription factor activity	3,97624383486564e-08
GO:0003988	1	1	0,04	1	acetyl-CoA C-acyltransferase activity	0,0387594835618261
GO:0005459	8	2	0,31	2	UDP-galactose transmembrane transporter activity	0,0359809763462459
GO:0030744	2	2	0,08	2	luteolin O-methyltransferase activity	0,00150130573374659
GO:0005506	627	45	24,3	45	iron ion binding	6,52651414310177e-05
GO:0005509	479	64	18,57	64	calcium ion binding	7,25026774022165e-18
GO:0003922	4	2	0,16	2	GMP synthase (glutamine-hydrolyzing) activity	0,00854967432491477
GO:0035529	8	2	0,31	2	NADH pyrophosphatase activity	0,0359809763462459
GO:0051787	22	5	0,85	5	misfolded protein binding	0,00131774719170962
GO:0009678	15	3	0,58	3	hydrogen-translocating pyrophosphatase activity	0,018645586227361
GO:0017096	3	2	0,12	2	acetylserotonin O-methyltransferase activity	0,00438769120561284
GO:0004364	59	14	2,29	14	glutathione transferase activity	4,20756891561711e-08
GO:0004021	3	2	0,12	2	L-alanine:2-oxoglutarate aminotransferase activity	0,00438769120561284
GO:0016705	591	40	22,91	40	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	0,000144755350555907
GO:0035539	1	1	0,04	1	8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity	0,0387594835618261
GO:0004351	8	2	0,31	2	glutamate decarboxylase activity	0,0359809763462459
GO:0004805	17	5	0,66	5	trehalose-phosphatase activity	0,000363865071990263
GO:0004385	2	2	0,08	2	guanylate kinase activity	0,00150130573374659
GO:0004325	5	2	0,19	2	ferrochelatase activity	0,0138841693060081
GO:0004591	5	2	0,19	2	oxoglutarate dehydrogenase (succinyl-transferring) activity	0,0138841693060081
GO:0030170	223	17	8,64	17	pyridoxal phosphate binding	0,00642512328329817
GO:0043565	969	69	37,56	69	sequence-specific DNA binding	2,6708322881642e-10
GO:0046592	4	2	0,16	2	polyamine oxidase activity	0,00854967432491477
GO:0009931	29	6	1,12	6	calcium-dependent protein serine/threonine kinase activity	0,000740051448250186
