Annotated	Significant	Expected	DEG	Term	pval
GO:1902066	5	2	0,21	2	regulation of cell wall pectin metabolic process	0,0161793467291845
GO:0009651	117	17	4,91	17	response to salt stress	1,13444693183915e-05
GO:0030970	4	2	0,17	2	retrograde protein transport, ER to cytosol	0,00998466282269601
GO:0055122	1	1	0,04	1	response to very low light intensity stimulus	0,0419781818181817
GO:0035494	6	2	0,25	2	SNARE complex disassembly	0,023598052953972
GO:0055114	3639	185	152,76	185	oxidation-reduction process	0,00323566218955056
GO:0071277	1	1	0,04	1	cellular response to calcium ion	0,0419781818181817
GO:0009626	111	12	4,66	12	plant-type hypersensitive response	0,00245082236230476
GO:0019354	3	2	0,13	2	siroheme biosynthetic process	0,00513534273728953
GO:0006295	1	1	0,04	1	nucleotide-excision repair, DNA incision, 3'-to lesion	0,0419781818181817
GO:0032922	4	2	0,17	2	circadian regulation of gene expression	0,00998466282269601
GO:0009643	1	1	0,04	1	photosynthetic acclimation	0,0419781818181817
GO:0009631	7	2	0,29	2	cold acclimation	0,0321272446756911
GO:0006267	1	1	0,04	1	pre-replicative complex assembly involved in nuclear cell cycle DNA replication	0,0419781818181817
GO:0015867	87	14	3,65	14	ATP transport	3,65777752364741e-05
GO:0050821	29	7	1,22	7	protein stabilization	0,000156632806007632
GO:0009607	307	41	12,89	41	response to biotic stimulus	1,2633395715352e-06
GO:0006952	893	78	37,49	78	defense response	9,0927095715616e-05
GO:0048544	199	19	8,35	19	recognition of pollen	0,000767318116865577
GO:0060236	15	3	0,63	3	regulation of mitotic spindle organization	0,0230077911495572
GO:0016998	19	4	0,8	4	cell wall macromolecule catabolic process	0,00722998361184143
GO:0050832	80	12	3,36	12	defense response to fungus	0,0247725761109458
GO:0006979	398	36	16,71	36	response to oxidative stress	0,000564856317888335
GO:0046777	96	8	4,03	8	protein autophosphorylation	0,0488364729683714
GO:0046040	48	4	2,01	4	IMP metabolic process	0,0321156708414554
GO:0032781	24	4	1,01	4	positive regulation of ATPase activity	0,0167909914642895
GO:1901672	2	2	0,08	2	positive regulation of systemic acquired resistance	0,001760997794316
GO:0006203	4	2	0,17	2	dGTP catabolic process	0,00998466282269601
GO:0006099	84	10	3,53	10	tricarboxylic acid cycle	0,0027073551571733
GO:0048364	119	10	5	10	root development	0,0108420216307887
GO:0071712	17	5	0,71	5	ER-associated misfolded protein catabolic process	0,000524691906822219
GO:0031397	12	3	0,5	3	negative regulation of protein ubiquitination	0,0122165104591072
GO:0019427	4	2	0,17	2	acetyl-CoA biosynthetic process from acetate	0,00998466282269601
GO:0009408	109	33	4,58	33	response to heat	3,41589850260262e-13
GO:0006075	22	5	0,92	5	(1->3)-beta-D-glucan biosynthetic process	0,00187487058688715
