term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0006457,"protein folding",0.903%,-1.119,-0.048,5.064,-18.0582,0.955,0.000,6457,0
GO:0009058,"biosynthetic process",31.611%, 2.472,-1.794,6.608,-1.4464,0.977,0.000,9058,0
GO:0009408,"response to heat",0.166%, 7.152,-0.629,4.328,-12.4665,0.773,0.000,9408,0
GO:0050982,"detection of mechanical stimulus",0.013%,null,null,3.212,-1.3770,0.810,0.668,9408,1
GO:0055122,"response to very low light intensity stimulus",0.000%,null,null,1.415,-1.3770,0.851,0.729,9408,1
GO:0009631,"cold acclimation",0.003%,null,null,2.590,-1.4931,0.810,0.731,9408,1
GO:0009643,"photosynthetic acclimation",0.001%,null,null,1.973,-1.3770,0.844,0.563,9408,1
GO:0009651,"response to salt stress",0.043%,null,null,3.741,-4.9452,0.793,0.726,9408,1
GO:0034605,"cellular response to heat",0.041%,null,null,3.726,-7.5196,0.762,0.865,9408,1
GO:0006979,"response to oxidative stress",0.575%,null,null,4.868,-3.2481,0.801,0.570,9408,1
GO:0006952,"defense response",0.568%,null,null,4.863,-4.0413,0.801,0.509,9408,1
GO:0009704,"de-etiolation",0.001%,null,null,1.978,-1.4931,0.771,0.564,9408,1
GO:0071497,"cellular response to freezing",0.000%,null,null,1.748,-2.7542,0.804,0.654,9408,1
GO:0015867,"ATP transport",0.019%,-5.123, 4.588,3.381,-4.4368,0.852,0.000,15867,0
GO:0006869,"lipid transport",0.270%,null,null,4.539,-1.5302,0.833,0.886,15867,1
GO:0015914,"phospholipid transport",0.076%,null,null,3.987,-4.3621,0.824,0.828,15867,1
GO:0050821,"protein stabilization",0.045%, 4.506, 6.138,3.763,-3.8051,0.895,0.000,50821,0
GO:0042026,"protein refolding",0.069%, 1.264,-2.354,3.949,-7.0516,0.952,0.027,42026,0
GO:0051085,"chaperone mediated protein folding requiring cofactor",0.010%,null,null,3.117,-5.1312,0.955,0.567,42026,1
GO:0006749,"glutathione metabolic process",0.151%,-2.617,-2.643,4.288,-8.8038,0.886,0.029,6749,0
GO:0019287,"isopentenyl diphosphate biosynthetic process, mevalonate pathway",0.014%,null,null,3.258,-1.4931,0.783,0.751,6749,1
GO:0019419,"sulfate reduction",0.041%,null,null,3.722,-1.4931,0.855,0.550,6749,1
GO:0019427,"acetyl-CoA biosynthetic process from acetate",0.031%,null,null,3.604,-2.0007,0.789,0.750,6749,1
GO:0033512,"L-lysine catabolic process to acetyl-CoA via saccharopine",0.014%,null,null,3.256,-3.5436,0.762,0.512,6749,1
GO:0051259,"protein oligomerization",0.188%,-0.804, 7.675,4.382,-4.5636,0.836,0.030,51259,0
GO:0035494,"SNARE complex disassembly",0.004%,null,null,2.680,-1.6271,0.787,0.522,51259,1
GO:0042256,"mature ribosome assembly",0.051%,null,null,3.819,-3.5436,0.836,0.598,51259,1
GO:0006364,"rRNA processing",0.952%,null,null,5.087,-1.8478,0.789,0.686,51259,1
GO:0001731,"formation of translation preinitiation complex",0.070%,null,null,3.954,-1.3636,0.761,0.754,51259,1
GO:0051131,"chaperone-mediated protein complex assembly",0.016%,null,null,3.324,-2.0244,0.854,0.614,51259,1
GO:0065003,"macromolecular complex assembly",1.497%,null,null,5.283,-1.3125,0.820,0.697,51259,1
GO:0080186,"developmental vegetative growth",0.001%,-2.812, 2.443,2.182,-4.3631,0.898,0.041,80186,0
GO:0045927,"positive regulation of growth",0.060%,null,null,3.889,-2.5764,0.864,0.612,80186,1
GO:0046256,"2,4,6-trinitrotoluene catabolic process",0.000%, 3.705,-6.171,0.903,-1.3770,0.908,0.056,46256,0
GO:0006468,"protein phosphorylation",4.137%,-0.729,-5.467,5.725,-5.2900,0.818,0.061,6468,0
GO:0016567,"protein ubiquitination",0.523%,null,null,4.827,-2.1918,0.879,0.560,6468,1
GO:0031397,"negative regulation of protein ubiquitination",0.017%,null,null,3.342,-1.9131,0.817,0.729,6468,1
GO:0006099,"tricarboxylic acid cycle",0.469%,-4.513,-2.291,4.780,-2.5675,0.834,0.070,6099,0
