Annotated	Significant	Expected	DEG	Term	pval
GO:0006116	1	1	0,04	1	NADH oxidation	0,03712
GO:0009690	56	7	2,08	7	cytokinin metabolic process	0,00303927852716495
GO:0009695	12	4	0,45	4	jasmonic acid biosynthetic process	0,000736412795593123
GO:0007389	71	4	2,64	4	pattern specification process	0,0371082932517129
GO:0032957	12	3	0,45	3	inositol trisphosphate metabolic process	0,00872989258522387
GO:0010315	8	3	0,3	3	auxin efflux	0,00248366249552519
GO:0044209	10	4	0,37	4	AMP salvage	0,000331604729283872
GO:0030244	79	10	2,93	10	cellulose biosynthetic process	0,000675410001780099
GO:0030245	46	9	1,71	9	cellulose catabolic process	4,14845158102172e-05
GO:0055114	3639	150	135,08	150	oxidation-reduction process	0,00935915532705848
GO:0009620	126	10	4,68	10	response to fungus	0,0126281979565312
GO:0009611	80	15	2,97	15	response to wounding	5,88848402358273e-07
GO:0006253	8	2	0,3	2	dCTP catabolic process	0,0332179694541436
GO:0015867	87	7	3,23	7	ATP transport	0,0429732324274484
GO:0006270	28	4	1,04	4	DNA replication initiation	0,0190207019663231
GO:0015827	1	1	0,04	1	tryptophan transport	0,03712
GO:0035434	10	3	0,37	3	copper ion transmembrane transport	0,00503359361054851
GO:0015810	1	1	0,04	1	aspartate transmembrane transport	0,03712
GO:0050801	154	8	5,72	8	ion homeostasis	0,025513852385479
GO:0010411	79	9	2,93	9	xyloglucan metabolic process	0,0026027501279196
GO:0009414	100	8	3,71	8	response to water deprivation	0,0451691125281573
GO:0009435	24	5	0,89	5	NAD biosynthetic process	0,00164842017175094
GO:0023014	108	11	4,01	11	signal transduction by protein phosphorylation	0,0155001951572685
GO:0000160	314	30	11,66	30	phosphorelay signal transduction system	1,65944992157228e-06
GO:0000162	30	4	1,11	4	tryptophan biosynthetic process	0,0240216715269338
GO:0043622	33	5	1,22	5	cortical microtubule organization	0,00698833427470208
GO:0043335	1	1	0,04	1	protein unfolding	0,03712
GO:2000022	29	9	1,08	9	regulation of jasmonic acid mediated signaling pathway	6,65486390228245e-07
GO:0010193	14	3	0,52	3	response to ozone	0,0136670591390084
GO:0042262	8	2	0,3	2	DNA protection	0,0332179694541436
GO:0055085	2538	134	94,21	134	transmembrane transport	2,10104504839284e-05
GO:0031347	107	11	3,97	11	regulation of defense response	0,000132217464090329
GO:0006004	93	13	3,45	13	fucose metabolic process	3,94020484805216e-05
GO:0016042	186	18	6,9	18	lipid catabolic process	0,000442147296725386
