term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0008299,"isoprenoid biosynthetic process",0.442%,-6.360,-1.232,4.754,-5.7529,0.773,0.000,8299,0
GO:0016042,"lipid catabolic process",0.401%,null,null,4.712,-3.3544,0.793,0.590,8299,1
GO:0010115,"regulation of abscisic acid biosynthetic process",0.000%,null,null,1.771,-2.1047,0.765,0.603,8299,1
GO:0034440,"lipid oxidation",0.087%,null,null,4.045,-1.3813,0.835,0.563,8299,1
GO:0031408,"oxylipin biosynthetic process",0.007%,null,null,2.941,-3.4075,0.795,0.502,8299,1
GO:0009611,"response to wounding",0.127%, 2.669, 6.390,4.212,-6.2300,0.873,0.000,9611,0
GO:0015689,"molybdate ion transport",0.068%, 4.331,-4.972,3.938,-3.9305,0.880,0.000,15689,0
GO:0006817,"phosphate ion transport",0.242%,null,null,4.492,-2.5533,0.872,0.706,15689,1
GO:1902476,"chloride transmembrane transport",0.047%,null,null,3.780,-2.0214,0.876,0.628,15689,1
GO:0034220,"ion transmembrane transport",3.528%,null,null,5.656,-1.7083,0.866,0.521,15689,1
GO:0032502,"developmental process",2.812%, 4.334, 0.221,5.557,-1.6157,0.980,0.000,32502,0
GO:0051083,"'de novo' cotranslational protein folding",0.004%, 0.728,-7.291,2.701,-1.4304,0.958,0.021,51083,0
GO:0043335,"protein unfolding",0.019%, 1.247,-1.874,3.394,-1.4304,0.956,0.023,43335,0
GO:0071555,"cell wall organization",0.709%, 6.397, 1.947,4.959,-4.0043,0.873,0.031,71555,0
GO:0042546,"cell wall biogenesis",0.640%,null,null,4.915,-3.3579,0.874,0.923,71555,1
GO:0000032,"cell wall mannoprotein biosynthetic process",0.007%,null,null,2.945,-2.3949,0.830,0.635,71555,1
GO:0009831,"plant-type cell wall modification involved in multidimensional cell growth",0.000%,null,null,1.380,-1.4304,0.860,0.528,71555,1
GO:0010951,"negative regulation of endopeptidase activity",0.157%,-2.268, 6.433,4.304,-2.9118,0.838,0.050,10951,0
GO:0007050,"cell cycle arrest",0.040%,null,null,3.714,-1.3848,0.824,0.687,10951,1
GO:0045736,"negative regulation of cyclin-dependent protein serine/threonine kinase activity",0.007%,null,null,2.926,-2.0590,0.792,0.684,10951,1
GO:0048443,"stamen development",0.004%, 3.432, 2.412,2.762,-2.1052,0.876,0.053,48443,0
GO:0010071,"root meristem specification",0.000%,null,null,1.176,-1.4304,0.891,0.632,48443,1
GO:0048829,"root cap development",0.001%,null,null,2.243,-1.8936,0.883,0.707,48443,1
GO:0048446,"petal morphogenesis",0.000%,null,null,1.580,-1.4304,0.885,0.823,48443,1
GO:0005975,"carbohydrate metabolic process",5.260%, 0.259, 0.533,5.829,-3.1773,0.933,0.069,5975,0
GO:0010253,"UDP-rhamnose biosynthetic process",0.000%,-5.375, 1.054,1.079,-2.7969,0.866,0.087,10253,0
GO:0009298,"GDP-mannose biosynthetic process",0.028%,null,null,3.552,-1.3801,0.847,0.591,10253,1
GO:0006004,"fucose metabolic process",0.026%,-3.569,-5.570,3.518,-4.4045,0.820,0.115,6004,0
GO:0033355,"ascorbate glutathione cycle",0.083%,null,null,4.025,-2.8611,0.714,0.621,6004,1
GO:0006270,"DNA replication initiation",0.141%,-6.468, 3.209,4.259,-1.7208,0.862,0.140,6270,0
GO:0009690,"cytokinin metabolic process",0.040%,-5.275, 4.499,3.710,-2.5172,0.796,0.176,9690,0
