Annotated	Significant	Expected	DEG	Term	pval
GO:0070544	1	1	0,01	1	histone H3-K36 demethylation	0,0126545454545454
GO:0006267	1	1	0,01	1	pre-replicative complex assembly involved in nuclear cell cycle DNA replication	0,0126545454545454
GO:0048280	13	2	0,16	2	vesicle fusion with Golgi apparatus	0,0113637777127596
GO:0061635	3	1	0,04	1	regulation of protein complex stability	0,0374863269433952
GO:0000302	75	12	0,95	12	response to reactive oxygen species	0,00493770138699337
GO:0071712	17	2	0,22	2	ER-associated misfolded protein catabolic process	0,0191650153870037
GO:0009651	117	9	1,48	9	response to salt stress	4,40694735016154e-05
GO:0009686	14	2	0,18	2	gibberellin biosynthetic process	0,0131476826903784
GO:0009688	6	2	0,08	2	abscisic acid biosynthetic process	0,0023172337242195
GO:1902242	3	1	0,04	1	copal-8-ol diphosphate(3-) catabolic process	0,0374863269433952
GO:1902246	3	1	0,04	1	cis-abienol biosynthetic process	0,0374863269433952
GO:0006203	4	1	0,05	1	dGTP catabolic process	0,0496675630594091
GO:0009648	46	2	0,58	2	photoperiodism	0,0496150243497654
GO:0034389	13	2	0,16	2	lipid droplet organization	0,0113637777127596
GO:0003374	3	1	0,04	1	dynamin family protein polymerization involved in mitochondrial fission	0,0374863269433952
GO:0000413	117	7	1,48	7	protein peptidyl-prolyl isomerization	0,000744036616252377
GO:0051085	61	16	0,77	16	chaperone cofactor-dependent protein refolding	3,96044996348215e-17
GO:0032781	24	4	0,3	4	positive regulation of ATPase activity	0,000219881534962781
GO:0051131	11	3	0,14	3	chaperone-mediated protein complex assembly	0,000307911624583345
GO:0045893	415	9	5,25	9	positive regulation of transcription, DNA-templated	0,0432620486864059
GO:0010923	54	3	0,68	3	negative regulation of phosphatase activity	0,00321110776964636
GO:0006896	17	2	0,22	2	Golgi to vacuole transport	0,0191650153870037
GO:0050821	29	5	0,37	5	protein stabilization	2,93162731539156e-05
GO:0000122	37	3	0,47	3	negative regulation of transcription by RNA polymerase II	0,0113710560811119
GO:0019628	2	1	0,03	1	urate catabolic process	0,025149316872689
GO:0050982	1	1	0,01	1	detection of mechanical stimulus	0,0126545454545454
GO:0097352	4	1	0,05	1	autophagosome maturation	0,0496675630594091
GO:0006379	9	2	0,11	2	mRNA cleavage	0,00542313731975209
GO:0042542	10	5	0,13	5	response to hydrogen peroxide	7,58570286239404e-08
GO:0006884	3	2	0,04	2	cell volume homeostasis	0,000475296731277023
GO:0051259	29	5	0,37	5	protein complex oligomerization	2,93162731539156e-05
GO:0015914	54	3	0,68	3	phospholipid transport	0,0310360861060134
GO:0050803	3	1	0,04	1	regulation of synapse structure or activity	0,0374863269433952
GO:0009789	12	2	0,15	2	positive regulation of abscisic acid-activated signaling pathway	0,00969608133754327
GO:0000103	19	2	0,24	2	sulfate assimilation	0,0237006832976431
