Annotated	Significant	Expected	Term	pval	Enrichment
GO:0019693	643	9	5.03	ribose phosphate metabolic process	0.0230318833298356	0.632113767562011
GO:0006166	14	3	0.11	purine ribonucleoside salvage	0.000161827454958367	9.6773607748184
GO:0006168	9	2	0.07	adenine salvage	0.00211818018586308	10.0357815442561
GO:0031347	105	7	0.82	regulation of defense response	1.96864990934376e-05	3.01073446327684
GO:2000022	29	7	0.23	regulation of jasmonic acid mediated signaling pathway	2.23924923656333e-09	10.9009351256575
GO:0019305	5	1	0.04	dTDP-rhamnose biosynthetic process	0.0385218750095777	9.03220338983051
GO:0006597	12	3	0.09	spermine biosynthetic process	9.89491028329476e-05	11.2902542372881
GO:0052865	11	2	0.09	1-deoxy-D-xylulose 5-phosphate biosynthetic process	0.00320283700946212	8.21109399075501
GO:0015996	12	3	0.09	chlorophyll catabolic process	9.89491028329476e-05	11.2902542372881
GO:0010253	7	3	0.05	UDP-rhamnose biosynthetic process	1.62057647928458e-05	19.3547215496368
GO:0006556	6	2	0.05	S-adenosylmethionine biosynthetic process	0.000896385393280802	15.0536723163842
GO:0006557	10	2	0.08	S-adenosylmethioninamine biosynthetic process	0.00263407460688655	9.03220338983051
GO:0055114	3664	55	28.67	oxidation-reduction process	6.09163363673502e-07	0.67790827843979
GO:0006559	21	3	0.16	L-phenylalanine catabolic process	0.000567803338420968	6.45157384987893
GO:0010289	2	1	0.02	homogalacturonan biosynthetic process	0.0155898972267622	22.5805084745763
GO:0009228	22	2	0.17	thiamine biosynthetic process	0.0127116434330707	4.1055469953775
GO:0006572	4	1	0.03	tyrosine catabolic process	0.0309376390227608	11.2902542372881
GO:0006526	23	4	0.18	arginine biosynthetic process	2.88821258397749e-05	7.85408990420044
GO:0006527	5	1	0.04	arginine catabolic process	0.0385218750095777	9.03220338983051
GO:0009690	56	5	0.44	cytokinin metabolic process	0.000291644971318375	4.03223365617433
GO:0009691	39	2	0.31	cytokinin biosynthetic process	0.0373906892725139	2.31594958713603
GO:0009695	12	4	0.09	jasmonic acid biosynthetic process	1.72787268718834e-06	15.0536723163842
GO:0009698	212	8	1.66	phenylpropanoid metabolic process	0.00835343482278466	1.70418931883594
GO:0009911	6	1	0.05	positive regulation of flower development	0.046046972932837	7.52683615819209
GO:0009058	8842	86	69.19	biosynthetic process	0.0168327764414243	0.439249882111187
GO:0010315	8	2	0.06	auxin efflux	0.00165601667705004	11.2902542372881
GO:0031408	27	5	0.21	oxylipin biosynthetic process	1.9825468724808e-06	8.3631512868801
GO:0009086	75	5	0.59	methionine biosynthetic process	0.00141514520537989	3.01073446327684
GO:1905691	4	1	0.03	lipid droplet disassembly	0.0309376390227608	11.2902542372881
GO:0009073	95	5	0.74	aromatic amino acid family biosynthetic process	0.00905672254682684	2.37689562890277
GO:0070897	44	2	0.34	transcription preinitiation complex assembly	0.0465420543700596	2.05277349768875
GO:0009611	80	8	0.63	response to wounding	2.25771304904586e-07	4.51610169491525
GO:0046294	6	1	0.05	formaldehyde catabolic process	0.046046972932837	7.52683615819209
GO:0017186	5	1	0.04	peptidyl-pyroglutamic acid biosynthetic process, using glutaminyl-peptide cyclotransferase	0.0385218750095777	9.03220338983051
GO:0006656	12	2	0.09	phosphatidylcholine biosynthetic process	0.00382361459078795	7.52683615819209
GO:0050992	6	2	0.05	dimethylallyl diphosphate biosynthetic process	0.000896385393280802	15.0536723163842
GO:0042183	3	1	0.02	formate catabolic process	0.0232938019672855	15.0536723163842
GO:0033353	9	4	0.07	S-adenosylmethionine cycle	4.68883460212158e-07	20.0715630885122
GO:0035999	31	3	0.24	tetrahydrofolate interconversion	0.00181137212141328	4.37042099507928
GO:0033355	2	1	0.02	ascorbate glutathione cycle	0.0155898972267622	22.5805084745763
GO:0006753	792	14	6.2	nucleoside phosphate metabolic process	0.0226934891324735	0.798300804656737
GO:0010731	3	1	0.02	protein glutathionylation	0.0232938019672855	15.0536723163842
GO:0051560	20	2	0.16	mitochondrial calcium ion homeostasis	0.0105633055385895	4.51610169491525
GO:0009423	28	4	0.22	chorismate biosynthetic process	6.47585038985443e-05	6.45157384987893
GO:0051555	4	2	0.03	flavonol biosynthetic process	0.000362290800859232	22.5805084745763
GO:0044209	10	3	0.08	AMP salvage	5.46025017691883e-05	13.5483050847458
GO:0010411	79	3	0.62	xyloglucan metabolic process	0.0242314676531789	1.71497532718301
GO:0048443	10	2	0.08	stamen development	0.00263407460688655	9.03220338983051
GO:0048446	1	1	0.01	petal morphogenesis	0.00782545454545469	45.1610169491525
GO:0009435	24	2	0.19	NAD biosynthetic process	0.0150330844752244	3.76341807909604
GO:0006730	64	9	0.5	one-carbon metabolic process	1.896028491934e-07	6.35076800847458
GO:0016114	102	4	0.8	terpenoid biosynthetic process	0.0335475707799931	1.77102027251579
