Annotated	Significant	Expected	Term	pval	Enrichment
GO:0000712	9	1	0.02	resolution of meiotic recombination intermediates	0.0246023676726621	3.88530465949821
GO:0046901	8	1	0.02	tetrahydrofolylpolyglutamate biosynthetic process	0.0218986219014465	4.37096774193548
GO:0000165	68	2	0.19	MAPK cascade	0.0152943677312675	1.02846299810247
GO:0031167	40	2	0.11	rRNA methylation	0.0429052637945	1.74838709677419
GO:1901259	7	1	0.02	chloroplast rRNA processing	0.019187460610653	4.99539170506912
GO:0006283	5	1	0.01	transcription-coupled nucleotide-excision repair	0.0137428109304363	6.99354838709677
GO:2000142	36	6	0.1	regulation of DNA-templated transcription, initiation	6.91416628010065e-10	5.82795698924731
GO:0010236	5	1	0.01	plastoquinone biosynthetic process	0.0137428109304363	6.99354838709677
GO:0015743	36	2	0.1	malate transport	0.0044786945580124	1.9426523297491
GO:0016120	4	1	0.01	carotene biosynthetic process	0.0110092821358976	8.74193548387097
GO:0016123	5	3	0.01	xanthophyll biosynthetic process	2.03656786680884e-07	20.9806451612903
GO:0005986	18	1	0.05	sucrose biosynthetic process	0.0486056747241443	1.9426523297491
GO:0010207	17	1	0.05	photosystem II assembly	0.0459677720039738	2.05692599620493
GO:0033617	13	1	0.04	mitochondrial cytochrome c oxidase assembly	0.0353435961088441	2.68982630272953
GO:0009820	17	2	0.05	alkaloid metabolic process	0.00100039959521822	4.11385199240987
GO:0036123	3	1	0.01	histone H3-K9 dimethylation	0.0082682570112631	11.6559139784946
GO:0045739	14	1	0.04	positive regulation of DNA repair	0.0380105642239036	2.49769585253456
GO:0071816	3	1	0.01	tail-anchored membrane protein insertion into ER membrane	0.0082682570112631	11.6559139784946
GO:0015851	4	1	0.01	nucleobase transport	0.0110092821358976	8.74193548387097
GO:0046656	8	1	0.02	folic acid biosynthetic process	0.0218986219014465	4.37096774193548
GO:0006751	9	1	0.02	glutathione catabolic process	0.0246023676726621	3.88530465949821
GO:0009249	12	1	0.03	protein lipoylation	0.032669312276416	2.91397849462366
GO:0015996	12	2	0.03	chlorophyll catabolic process	0.000489879436097165	5.82795698924731
GO:0007049	904	4	2.5	cell cycle	0.049888550974275	0.154724521838424
GO:0034414	7	1	0.02	tRNA 3'-trailer cleavage, endonucleolytic	0.019187460610653	4.99539170506912
GO:0015969	13	2	0.04	guanosine tetraphosphate metabolic process	0.000577906287274012	5.37965260545906
GO:0030163	689	3	1.9	protein catabolic process	0.0110936263849353	0.152254319022426
GO:0044208	12	1	0.03	'de novo' AMP biosynthetic process	0.032669312276416	2.91397849462366
GO:0006000	15	1	0.04	fructose metabolic process	0.040670236421998	2.33118279569892
GO:0006003	2	1	0.01	fructose 2,6-bisphosphate metabolic process	0.00551971521816152	17.4838709677419
GO:0051085	61	2	0.17	chaperone cofactor-dependent protein refolding	0.0124407555107107	1.14648334214701
GO:0010106	1	1	0	cellular response to iron ion starvation	0.0027636363636363	34.9677419354839
GO:0016560	7	2	0.02	protein import into peroxisome matrix, docking	0.000157282087751781	9.99078341013825
GO:0006346	3	1	0.01	DNA methylation-dependent heterochromatin assembly	0.0082682570112631	11.6559139784946
GO:0009157	17	1	0.05	deoxyribonucleoside monophosphate biosynthetic process	0.0459677720039738	2.05692599620493
GO:0010845	2	1	0.01	positive regulation of reciprocal meiotic recombination	0.00551971521816152	17.4838709677419
GO:0044030	6	1	0.02	regulation of DNA methylation	0.0164688636788098	5.82795698924731
GO:0015768	2	1	0.01	maltose transport	0.00551971521816152	17.4838709677419
GO:0006878	6	1	0.02	cellular copper ion homeostasis	0.0164688636788098	5.82795698924731
GO:0042026	58	2	0.16	protein refolding	0.0112977752773391	1.20578420467186
GO:0002943	10	1	0.03	tRNA dihydrouridine synthesis	0.0272987179919043	3.49677419354839
