Annotated	Significant	Expected	Term	pval	Enrichment
GO:0046854	61	2	0.3	phosphatidylinositol phosphorylation	0.0367824650822239	0.927773818009028
GO:0008299	153	3	0.76	isoprenoid biosynthetic process	0.0406081057207345	0.55484512645638
GO:0017183	9	1	0.04	peptidyl-diphthamide biosynthetic process from peptidyl-histidine	0.0436436839179744	3.14412238325282
GO:0019441	7	1	0.03	tryptophan catabolic process to kynurenine	0.0341117194273581	4.04244306418219
GO:0006623	42	2	0.21	protein targeting to vacuole	0.0183908806380449	1.34748102139406
GO:0015798	3	1	0.01	myo-inositol transport	0.0147635393935293	9.43236714975845
GO:0009734	207	4	1.02	auxin-activated signaling pathway	0.0197831033528156	0.54680389273962
GO:0006974	954	3	4.72	cellular response to DNA damage stimulus	0.0284920641896242	0.0889845957524383
GO:0006633	197	4	0.97	fatty acid biosynthetic process	0.0168242149968736	0.574560435518281
GO:0000902	152	4	0.75	cell morphogenesis	0.0107682741553123	0.744660564454615
GO:0045893	415	6	2.05	positive regulation of transcription, DNA-templated	0.0383236901454693	0.409114719748559
GO:0009624	18	2	0.09	response to nematode	0.00353135985042134	3.14412238325282
GO:0009611	80	3	0.4	response to wounding	0.00738903284738158	1.06114130434783
GO:0009972	3	1	0.01	cytidine deamination	0.0147635393935293	9.43236714975845
GO:0015713	6	3	0.03	phosphoglycerate transmembrane transport	2.35087435393857e-06	14.1485507246377
GO:0009944	18	2	0.09	polarity specification of adaxial/abaxial axis	0.00353135985042134	3.14412238325282
GO:0010393	249	2	1.23	galacturonan metabolic process	0.0484255671010817	0.227285955415866
GO:0034058	5	1	0.02	endosomal vesicle fusion	0.0244853146191744	5.65942028985507
GO:0005986	18	2	0.09	sucrose biosynthetic process	0.00353135985042134	3.14412238325282
GO:0010073	37	2	0.18	meristem maintenance	0.0144563141481165	1.52957305131218
GO:0001666	59	2	0.29	response to hypoxia	0.0346106700770054	0.959223777941538
GO:1902183	15	2	0.07	regulation of shoot apical meristem development	0.00244719663585965	3.77294685990338
GO:0005978	17	3	0.08	glycogen biosynthetic process	7.67890789909314e-05	4.99360613810742
GO:0035436	6	3	0.03	triose phosphate transmembrane transport	2.35087435393857e-06	14.1485507246377
GO:0009909	55	2	0.27	regulation of flower development	0.0304252276401977	1.02898550724638
GO:0010044	9	1	0.04	response to aluminum ion	0.0436436839179744	3.14412238325282
GO:0000256	4	1	0.02	allantoin catabolic process	0.0196364067944107	7.07427536231884
GO:0009827	4	1	0.02	plant-type cell wall modification	0.0196364067944107	7.07427536231884
GO:0006021	9	1	0.04	inositol biosynthetic process	0.0436436839179744	3.14412238325282
GO:0090677	2	1	0.01	reversible differentiation	0.00986659473068929	14.1485507246377
GO:0006011	9	1	0.04	UDP-glucose metabolic process	0.0436436839179744	3.14412238325282
GO:0010272	15	2	0.07	response to silver ion	0.00244719663585965	3.77294685990338
GO:1902066	5	1	0.02	regulation of cell wall pectin metabolic process	0.0244853146191744	5.65942028985507
GO:0010224	44	2	0.22	response to UV-B	0.0200770952550953	1.28623188405797
GO:0050482	4	1	0.02	arachidonic acid secretion	0.0196364067944107	7.07427536231884
GO:0034219	25	6	0.12	carbohydrate transmembrane transport	7.28885800085913e-05	6.79130434782609
GO:0010555	4	1	0.02	response to mannitol	0.0196364067944107	7.07427536231884
GO:1902074	37	2	0.18	response to salt	0.0144563141481165	1.52957305131218
GO:2000024	26	2	0.13	regulation of leaf development	0.00730938758819352	2.17670011148272
GO:0010236	5	2	0.02	plastoquinone biosynthetic process	0.000240775495356281	11.3188405797101
GO:0006562	4	1	0.02	proline catabolic process	0.0196364067944107	7.07427536231884
GO:0042542	10	1	0.05	response to hydrogen peroxide	0.0483745392323531	2.82971014492754
GO:0051382	6	1	0.03	kinetochore assembly	0.0293103799818377	4.71618357487923
GO:0019252	62	3	0.31	starch biosynthetic process	0.00362866066039747	1.36921458625526
GO:0046786	7	1	0.03	viral replication complex formation and maintenance	0.0341117194273581	4.04244306418219
GO:0008154	67	2	0.33	actin polymerization or depolymerization	0.043599498973438	0.844689595500757
GO:0045454	62	2	0.31	cell redox homeostasis	0.0378875918962848	0.912809724170173
GO:0048358	3	1	0.01	mucilage pectin biosynthetic process	0.0147635393935293	9.43236714975845
GO:0048359	16	2	0.08	mucilage metabolic process involved in seed coat development	0.00278772920172919	3.53713768115942
GO:0042753	3	1	0.01	positive regulation of circadian rhythm	0.0147635393935293	9.43236714975845
GO:0006457	365	8	1.81	protein folding	0.000859326519691796	0.620210442723844
GO:0045761	2	2	0.01	regulation of adenylate cyclase activity	2.43143602194047e-05	28.2971014492754
GO:0090351	61	3	0.3	seedling development	0.0384980843107025	1.39166072701354
