Annotated	Significant	Expected	Term	pval
GO:0071108	9	6	1.41	protein K48-linked deubiquitination	0.000811839841093297
GO:0009439	3	3	0.47	cyanate metabolic process	0.00385975215281364
GO:0048312	2	2	0.31	intracellular distribution of mitochondria	0.0246097682709447
GO:0080141	3	3	0.47	regulation of jasmonic acid biosynthetic process	0.00385975215281364
GO:0016598	5	3	0.78	protein arginylation	0.0300879831848454
GO:1901997	2	2	0.31	negative regulation of indoleacetic acid biosynthetic process via tryptophan	0.0246097682709447
GO:0045454	62	17	9.73	cell redox homeostasis	0.0128662023932687
GO:0010387	5	3	0.78	COP9 signalosome assembly	0.0300879831848454
GO:0016567	901	185	141.36	protein ubiquitination	0.000310037789624294
GO:0030968	13	8	2.04	endoplasmic reticulum unfolded protein response	0.000222907407392875
GO:0006890	32	16	5.02	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	6.28956275006676e-06
GO:0006891	33	13	5.18	intra-Golgi vesicle-mediated transport	0.000879992869401878
GO:0006896	17	9	2.67	Golgi to vacuole transport	0.00465715486284045
GO:0006897	96	34	15.06	endocytosis	2.61284874454633e-07
GO:0016554	32	11	5.02	cytidine to uridine editing	0.00733175431199325
GO:0016559	12	8	1.88	peroxisome fission	9.94733613346535e-05
GO:0016575	33	9	5.18	histone deacetylation	0.014198740101691
GO:0010342	5	5	0.78	endosperm cellularization	9.4898510509456e-05
GO:0016579	125	40	19.61	protein deubiquitination	0.000800718966693812
GO:0042742	81	28	12.71	defense response to bacterium	0.000471286387035931
GO:0001732	47	27	7.37	formation of cytoplasmic translation initiation complex	6.78400737858517e-11
GO:0031204	6	4	0.94	posttranslational protein targeting to membrane, translocation	0.00695013244379922
GO:0043328	8	7	1.26	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	1.60962551336608e-05
GO:0019222	4141	712	649.67	regulation of metabolic process	0.0131344502082872
GO:0006850	7	5	1.1	mitochondrial pyruvate transmembrane transport	0.00150715990338902
GO:0033617	13	6	2.04	mitochondrial cytochrome c oxidase assembly	0.00940112258437026
GO:0006886	730	273	114.53	intracellular protein transport	3.23465710038638e-30
GO:0006888	108	55	16.94	endoplasmic reticulum to Golgi vesicle-mediated transport	1.38869064005694e-17
GO:0017121	2	2	0.31	plasma membrane phospholipid scrambling	0.0246097682709447
GO:0019243	4	3	0.63	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione	0.013623222729985
GO:0006874	38	9	5.96	cellular calcium ion homeostasis	0.00363359139601792
GO:2000072	4	3	0.63	regulation of defense response to fungus, incompatible interaction	0.013623222729985
GO:0070966	2	2	0.31	nuclear-transcribed mRNA catabolic process, no-go decay	0.0246097682709447
GO:0048480	2	2	0.31	stigma development	0.0246097682709447
GO:0006813	145	15	22.75	potassium ion transport	0.0396143033839453
GO:0008053	4	3	0.63	mitochondrial fusion	0.013623222729985
GO:0070973	15	8	2.35	protein localization to endoplasmic reticulum exit site	0.000828804857329704
GO:0048479	2	2	0.31	style development	0.0246097682709447
GO:0010492	2	2	0.31	maintenance of shoot apical meristem identity	0.0246097682709447
GO:0010499	6	4	0.94	proteasomal ubiquitin-independent protein catabolic process	0.00695013244379922
GO:0099638	7	5	1.1	endosome to plasma membrane protein transport	0.00150715990338902
GO:0010468	3435	570	538.91	regulation of gene expression	0.00261158817827805
GO:0000398	272	103	42.67	mRNA splicing, via spliceosome	3.98981616365847e-07
GO:0010482	2	2	0.31	regulation of epidermal cell division	0.0246097682709447
GO:0042823	10	7	1.57	pyridoxal phosphate biosynthetic process	0.000312070712081471
GO:0000350	3	3	0.47	generation of catalytic spliceosome for second transesterification step	0.00385975215281364
GO:0071786	2	2	0.31	endoplasmic reticulum tubular network organization	0.0246097682709447
GO:0000381	42	21	6.59	regulation of alternative mRNA splicing, via spliceosome	2.26815465723677e-07
GO:1903292	2	2	0.31	protein localization to Golgi membrane	0.0246097682709447
GO:0010449	12	6	1.88	root meristem growth	0.00264500810561007
GO:0048193	199	94	31.22	Golgi vesicle transport	0.000339820402401408
GO:0006569	9	4	1.41	tryptophan catabolic process	0.0246015355041287
GO:0006555	80	12	12.55	methionine metabolic process	0.0301303078473996
GO:0006558	30	7	4.71	L-phenylalanine metabolic process	0.0246042191662994
GO:1902659	2	2	0.31	regulation of glucose mediated signaling pathway	0.0246097682709447
GO:0071712	17	9	2.67	ER-associated misfolded protein catabolic process	0.000415904494185669
GO:0007154	1752	262	274.87	cell communication	0.00153040487339406
