GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr01g0039005.1	9.734017	8.844938	12.429186	8.480162	13.42869	8.473178	6.968989	6.274963	9.037522	5.774537	5.21113	7.327651	5.113027	8.427568	5.900523	6.137203	9.236945	8.984516	13.905794	20.121627	16.076202	17.13592	17.335649	14.346031	13.304059	12.821666	13.458744	14.70985	14.788853	10.642457	8.657487	9.872889	9.772917	8.803085	6.95567	8.89053	6.225661	7.175592	5.069284	8.923536	9.215716	7.86264	8.049134	11.999613	9.486789	4.533321	4.675345	4.796427
Niben261Chr01g0580010.1	0.686929	0.722775	1.029276	0.918341	0.798184	0.800489	0.428512	0.681643	0.840727	0.327248	0.961428	0.382342	1.035276	0.614218	0.572528	0.653928	1.020748	1.172748	1.107514	1.40315	1.58023	1.630638	1.406326	1.667713	0.930201	0.854481	0.604858	1.252461	1.51953	1.045133	1.106313	0.882621	1.337804	0.633207	0.47735	0.599955	0.49067	0.63138	0.314566	0.432903	0.667732	0.634996	1.041942	1.010377	0.695656	0.614943	0.933447	0.73136
Niben261Chr01g1080010.1	0.051736	0.319526	0.225979	0.595584	0.502122	0.358713	0.525696	0.30802	0.820492	0.213236	0	0.406348	0.697051	0.315842	0.410955	0.126422	0.28111	0.562855	1.112364	1.603332	0.863166	1.927114	1.29792	2.700072	0.685523	0.283899	0.343851	1.362474	0.810437	0.953232	1.017395	1.269272	1.125923	0.387164	0.365842	0.142895	0.373647	0.64075	0.261545	0.101029	0.741174	0.568951	1.729552	1.453199	0.755101	0.639123	0.798745	1.409866
Niben261Chr01g1231013.1	0.557174	0.280152	0.5161	0.765707	1.001614	0.535029	0.467109	0.473298	0.530282	0.529458	0.31406	0.494383	0.785843	0.392222	0.605177	0.518025	0.573257	0.856933	0.948607	0.835959	0.89933	0.939904	0.965775	1.083164	0.514062	0.977986	0.884825	1.176905	1.316676	1.007691	1.028246	0.760744	1.00483	0.472793	0.726734	0.274206	0.351408	0.578044	0.383384	0.73125	0.782352	0.943192	0.75649	0.930162	0.942598	0.862706	0.522796	0.764919
Niben261Chr01g1402006.1	4.124858	4.624826	4.888949	4.763062	6.079594	5.114185	4.468499	5.068355	6.736762	6.774048	5.571641	6.936627	5.513858	5.694264	5.957933	7.286925	7.836855	6.939083	9.269871	12.467565	8.614931	15.471428	16.466876	15.42222	5.434432	5.525307	5.536806	7.467646	6.775715	5.182005	5.811843	5.673187	6.567109	5.081157	5.104299	4.228573	6.953185	5.712603	5.545875	6.753939	6.888063	6.902695	8.721384	7.774991	8.632981	9.942108	10.666021	11.166757
Niben261Chr01g1419001.1	0.107443	0.188588	0.169387	0.214462	0.307425	0.148725	0.095625	0.142322	0.189716	0.06223	0.059369	0.150668	0.255998	0.156478	0.226185	0.1494	0.242401	0.375924	0.418234	0.604398	0.4441	0.342137	0.474358	0.714556	0.403464	0.325927	0.259295	0.510098	0.435323	0.451954	0.433525	0.219418	0.133867	0.297931	0.138807	0.110036	0.066389	0.069283	0.147117	0.228903	0.178586	0.235351	0.263431	0.359041	0.347299	0.213478	0.228281	0.221124
Niben261Chr01g1510001.1	0.461668	0.821425	0.191462	0.991103	0.484074	0.502999	0.365409	0.560249	0.802577	0.224487	0.318194	0.304154	0.675952	0.126531	0.448685	0.357139	0.208607	0.293997	0.305261	0.981669	0.291849	1.38011	1.085642	2.274278	0.555595	1.785337	0.963756	0.993838	1.217493	1.133033	1.002863	0.903068	1.142221	0.60545	0.256029	0.100111	0.609822	0.577485	0.177608	0.440811	0.52818	0.45673	0.552794	0.771524	0.607219	0.55131	0.802679	0.229797
Niben261Chr01g1539004.1	1.663264	0.538367	1.296909	2.631812	2.179647	1.812555	1.053145	3.532067	1.651459	2.153751	0.764853	1.459682	0.487121	0.455967	0.461763	0	0.751818	2.541736	1.651091	2.357804	2.103646	4.897643	2.489494	8.624365	2.858053	1.783816	1.487746	6.060819	1.981131	4.663996	3.711613	3.446074	1.174858	2.491885	1.847444	0	1.741507	0.46245	0.427228	0	0	0	5.120545	2.137708	1.641131	0	1.284808	0
Niben261Chr01g1783016.1	0.677474	0.394712	0.871615	1.19449	1.331667	0.885937	1.222464	1.294728	0.943943	0.855325	1.588686	0.891826	1.48526	1.002902	0.902799	0.550421	0.918682	0.776467	1.209356	1.382934	1.285272	2.061174	2.16305	2.265748	0.698439	0.980878	1.575487	1.481142	1.244902	1.495934	1.209404	1.544004	0.933149	1.370174	1.523741	0.617028	0.99308	1.243083	1.044052	0.685416	0.523186	1.054617	2.363616	1.5673	1.87158	1.153086	1.057278	1.351726
Niben261Chr02g0073003.1	1.134317	1.251705	0.84727	0.109267	1.140219	0.810165	0.315856	0.73322	0.825928	0.938902	0.222286	1.075309	1.556286	0.945735	0.960355	0.935078	2.021154	0.73867	2.124336	3.851272	2.254512	5.210167	5.020315	6.691572	2.242458	1.105662	1.008879	0.734036	2.23134	2.210464	1.11303	1.001516	1.195052	0.724205	0.691503	0.209693	2.422839	2.822395	0.63281	0.942019	2.294918	0.864318	1.222063	1.615307	1.467025	1.587811	1.029699	1.851159
Niben261Chr02g0105014.1	5.944309	4.621171	3.799465	2.550504	3.830716	2.382825	1.921199	3.257997	5.667487	2.322237	1.977245	2.709704	2.919021	1.526862	2.594685	5.353857	5.063831	2.891023	1.754264	3.34771	2.616671	8.290225	8.140301	11.231707	6.702836	5.064831	5.575858	3.64463	4.890067	5.481324	4.703436	5.39173	4.584157	6.296374	2.489143	3.202212	2.859588	4.407646	1.691752	5.711817	4.946049	4.436457	2.654753	4.086567	4.439399	5.516193	6.616803	4.959873
Niben261Chr02g0146005.1	0.153649	0.300247	0.271281	0.419272	0.30395	0.062001	0.293374	0.246229	0.307006	0	0.106694	0.203516	0.407295	0.381657	0	0	0.104845	0.236254	0.316228	0.52578	0.2933	0.60698	0.506974	0.871313	0.398249	0.372822	0.622286	0.306809	0.433633	0.487659	0.115031	0.266837	0.327609	0.260104	0.386369	0.30149	0.404444	0.322167	0.119132	0.21329	0.198981	0.6772	0.475954	0.476771	0.271719	0.415435	0.268701	0.308497
Niben261Chr02g0215002.1	0.824916	0.266934	0.642866	0.372982	0.756405	0.786366	0.261086	0.625456	0.409415	0.267186	0.189615	0.181	0.603813	0	0.343561	0.319058	1.118486	0.944929	2.591541	3.974713	3.65016	3.9121	5.821004	10.263602	1.842539	0.995134	0.8606	1.912328	2.035355	1.589504	0.920356	1.329259	1.893583	1.544414	0.916003	0.53662	1.438927	0.917357	0.635487	1.643562	0.943791	1.630244	1.551537	4.134418	1.627417	0.861617	0.955743	1.097074
