Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
Niben261Chr01g0010005.1	Pentatricopeptide repeat-containing protein. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.58771193807026	NA	NA	1.87763368650032
Niben261Chr01g1131013.1	peroxisome biogenesis protein 19-1-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.677020966795457
Niben261Chr01g1184002.1	Mitogen-activated protein kinase"	NA	0.742517875896049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.809332915477789	NA	NA
Niben261Chr01g1343002.1	purine-uracil permease NCS1-like"	NA	0.731163797463378	NA	NA	0.64258280320597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0110003.1	Eukaryotic translation initiation factor 3 subunit C like"	NA	0.759339100317332	NA	NA	NA	0.690430537511933	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.601750200484936
Niben261Chr03g0540002.1	Zinc finger protein var3. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g1552005.1	Rna polymerase sigma factor sigc"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr04g0929005.1	Phosphoglucan phosphatase lsf1. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.950083507366087	-0.891521007324836	NA
Niben261Chr04g1094002.1	HMA domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.765437943576505	NA	NA
Niben261Chr04g1757008.1	Protein LOW PSII ACCUMULATION 3. chloroplastic"	NA	1.17572550832278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.690904876717558	NA	0.870724064020305
Niben261Chr04g1782004.1	Dead-box atp-dependent rna helicase 53"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.736642497370302	NA	NA	1.82263313032584
Niben261Chr04g1807009.1	GATA transcription factor"	NA	1.11706952046809	NA	NA	0.8886567477203	NA	NA	NA	NA	NA	0.611885446430054	NA	NA	-0.598747034903433	NA	1.38278051632782
Niben261Chr04g1875001.1	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr06g1150008.1	RNA helicase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr06g1262006.1	Histone-lysine n-methyltransferase atx3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr07g0304013.1	SAP domain-containing protein"	0.849002128547595	NA	0.618406470533815	NA	NA	-0.775973199463376	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.49006096857191
Niben261Chr07g0594019.1	pentatricopeptide repeat-containing protein At1g71460. chloroplastic-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.81332875225134	NA	NA
Niben261Chr07g0594021.1	Histone-lysine n-methyltransferase atxr2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr07g1095014.1	Glucose-6-phosphate 1-epimerase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.749933722581327	NA	NA
Niben261Chr08g0012013.1	IENR2 domain-containing protein"	NA	0.628975627569823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.734097912874442
Niben261Chr08g0294009.1	ribonuclease J-like"	NA	NA	NA	NA	NA	NA	NA	NA	-0.629799107861933	NA	NA	NA	NA	NA	NA	0.767139947212194
Niben261Chr08g1348001.1	O-fucosyltransferase family protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr10g0526002.1	Chr5:9304105-9304509 FORWARD LENGTH=134"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr11g0595007.1	Mitogen-activated protein kinase"	NA	0.863027217901445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.669672247172651	-0.589457796694075	NA	NA
Niben261Chr12g1017012.1	Threonine--tRNA ligase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.639173377461764	NA	NA
Niben261Chr12g1037004.1	Pentatricopeptide repeat-containing protein At1g09220. mitochondrial"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr12g1565002.1	Thymidine kinase"	NA	1.20038756128466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.921020767648981
Niben261Chr14g0098004.1	GATA transcription factor 16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.7806521195017	-1.37967686576996	NA	0.89462474745254
Niben261Chr14g0198005.1	DEAD-box ATP-dependent RNA helicase 53-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.94925317413982
Niben261Chr14g0515002.1	zinc finger protein CONSTANS-LIKE 9-like"	NA	1.26690040081597	1.20798708352623	NA	1.14584793206977	0.897870098948262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr14g0651006.1	Protein-serine/threonine phosphatase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.923209502593315	-1.48994723457316	-1.37905019288464	NA
