GeneID	Description	GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr02g0493016.1	Protein DETOXIFICATION	6.798027	2.869901	19.871507	4.609989	0	0	0	3.093488	13.499556	0	0	2.237234	0	2.796162	0	0	0	0	1.687258	2.891018	0	0	0	5.287375	17.521982	19.138205	61.815849	6.755875	10.410689	14.265799	10.113308	11.737215	7.050871	3.819276	0	4.42347	0	2.835163	0	3.126239	2.916515	2.520382	3.488082	2.621517	3.353782	9.134966	2.302904	3.391279
Niben261Chr02g0643004.1	Ubiquinol oxidase	9.142349	6.589587	20.157344	4.988163	7.332205	6.946064	5.262208	7.111226	5.454933	6.381637	10.113383	6.845974	11.414501	8.140176	11.069885	11.922981	8.463681	5.70258	5.104929	6.536678	4.908249	11.185758	13.193262	9.964847	10.275912	8.490074	24.870551	5.438842	7.496433	5.85128	7.03762	8.388599	4.25192	5.986078	9.273425	10.066146	10.000405	5.477412	7.840346	4.548036	5.57257	5.901329	5.469512	7.479457	5.428758	14.748609	10.604926	13.820535
Niben261Chr03g0084009.1	UDP-glucose 4-epimerase	3.634823	4.848254	17.484192	3.313454	4.503866	2.401685	5.867203	7.06663	10.045642	2.19262	2.926315	3.213912	3.204676	2.614185	3.575603	7.138254	7.30455	5.957579	1.957294	3.023944	2.316059	10.770197	12.330043	8.888512	4.702099	4.122414	31.091989	2.775593	7.550214	4.415651	3.029068	8.109569	2.527735	4.760366	2.76522	5.246672	4.794965	5.415365	3.768296	7.841313	9.740138	7.200702	2.412758	4.906895	4.327294	10.279053	10.604627	10.413615
Niben261Chr03g0187019.1	Chr1:15891512-15894322 FORWARD LENGTH=426	17.358408	19.660484	42.952381	5.616974	7.112582	6.136793	2.393528	4.520468	6.097334	2.052463	1.02597	2.210225	1.713282	1.311359	1.485474	1.768323	3.499028	2.735422	3.668978	4.041524	4.06221	3.703479	4.643421	3.783682	37.958194	30.447872	92.778947	10.540543	12.616916	9.263496	4.988494	4.50632	4.951976	1.380067	1.832471	1.228606	1.055235	1.297137	1.012994	3.00847	3.060467	3.190181	3.52795	5.801042	4.278067	1.532601	2.16216	1.679949
Niben261Chr03g1700009.1	Amino acid transporter	5.741467	4.531461	10.703837	3.722615	2.386158	3.205173	4.164245	4.092932	7.946133	2.229077	2.006298	2.45096	1.831383	1.744685	1.661769	3.339333	4.04698	3.862452	2.979446	4.362124	3.438418	3.986988	5.014069	4.311007	5.844121	5.890518	12.116957	1.489597	3.423823	2.098917	2.074971	4.820608	2.919348	3.730383	2.508411	3.9847	2.469068	3.253802	1.956645	4.14013	4.334992	4.523326	1.875197	4.646338	5.339494	3.209897	3.335311	3.587295
Niben261Chr04g1147002.1	Methylcrotonoyl-coa carboxylase subunit alpha, mitochondrial	3.452761	4.112744	8.722882	3.558992	5.176277	4.251822	2.579737	4.430744	4.616717	3.733253	3.842364	3.772533	3.903275	3.502197	4.313568	4.808971	7.491336	6.067833	5.563962	7.596347	6.288406	5.806482	5.300817	4.690658	3.797131	5.387887	15.709683	5.032649	7.003205	5.845486	6.728963	6.327039	4.877763	4.707332	6.116984	4.343637	4.675639	5.01119	4.505351	6.076122	8.49288	6.245301	4.629831	5.289687	6.245827	5.423302	4.774156	5.626676
Niben261Chr05g0497002.1	F-box/kelch-repeat protein At1g30090	18.060568	12.826243	23.515795	7.034489	8.682473	6.263194	8.591464	8.735729	14.073588	4.023356	3.5121	3.898447	4.473715	4.611771	3.458124	4.487182	4.182986	4.707628	4.12035	5.405645	4.314641	12.525641	14.399452	11.52001	17.361348	15.59977	46.922059	7.642924	10.417851	8.757878	10.215855	12.923998	9.014323	7.630023	3.630031	4.47436	6.060556	8.113022	3.085113	6.535035	6.540993	7.013934	6.681492	7.431863	7.267098	6.314242	8.958364	5.572691
Niben261Chr06g0830002.1	transmembrane ascorbate ferrireductase 1-like	25.050001	15.540025	31.20473	12.87721	12.892651	10.782286	7.346021	11.195269	16.006043	8.471892	7.769068	11.545526	12.307883	10.943654	11.433115	16.703241	18.219373	19.542904	11.941034	14.248608	13.68054	12.345927	13.608833	17.427264	27.001657	20.311422	48.188846	13.540689	26.716991	16.357126	18.178337	17.557919	17.399919	15.899836	12.11997	12.962368	10.199903	16.237136	9.853406	17.126234	17.28738	19.540858	9.621619	19.000411	16.214007	15.37684	15.573969	15.782147
Niben261Chr06g0978008.1	Protein ABHD18	6.184842	5.568231	8.004897	3.11446	3.242223	2.63348	2.659266	2.572308	3.085285	2.06041	3.105431	3.505411	3.661157	4.23758	3.62987	3.945824	5.711059	3.985612	3.997691	5.05991	3.745348	3.845079	4.651272	2.852383	6.809523	5.823524	13.707439	3.012103	4.583957	3.766585	2.699831	3.589709	2.618096	2.787756	2.805732	4.271551	5.184179	3.400919	3.587917	4.475517	5.043625	4.978088	3.405871	7.220458	4.642683	2.727753	3.200626	3.502746
Niben261Chr07g1155012.1	serine/threonine-protein kinase STY17-like	5.201128	7.403092	13.929538	5.483643	5.797708	5.336534	4.65812	5.077903	6.118667	4.837943	6.179428	5.051336	4.533923	4.681022	4.104236	5.712611	6.217603	5.365516	4.982722	6.733079	5.274078	6.219016	7.322567	6.244834	7.959568	9.067838	18.255653	5.551397	7.155049	5.213905	2.90783	5.273215	3.111247	4.957819	5.469946	5.529127	5.929521	5.483449	4.570155	6.091632	6.374065	7.567987	5.651607	5.312905	5.107682	5.830357	5.994965	6.142921
