GeneID	Description	GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr01g0046006.1	PPM-type phosphatase domain-containing protein	9.24818	7.999845	8.549493	7.411249	6.985557	5.380612	5.484245	6.009307	6.656325	6.07862	7.35354	6.937596	8.5867	6.310896	8.240543	7.686975	7.228804	7.065631	7.997696	8.998732	7.968566	6.421718	7.408762	7.727457	10.659521	7.503917	8.488685	5.738714	8.349354	7.169231	7.660282	6.191935	6.661777	8.531085	8.443667	5.834799	7.652682	8.481058	6.877189	8.209295	9.253069	8.682336	8.123299	7.225276	8.567584	6.42501	7.112633	6.673729
Niben261Chr01g0082017.1	21 kDa protein-like	14.216522	8.906361	4.156934	2.487933	1.442341	1.218166	0.762233	0.782571	0.683014	2.004194	2.214306	2.792106	5.439539	4.054467	6.397721	10.911638	10.649642	9.986557	9.27554	14.139613	14.029242	1.350385	2.132764	3.121023	16.784962	13.279583	7.588764	1.823016	2.692185	1.627548	1.279214	2.454571	1.336226	6.82772	6.112559	3.431703	3.60128	15.300894	5.830895	18.558962	20.068418	17.168016	5.059108	5.127884	4.86432	3.902906	3.586772	3.431654
Niben261Chr01g0165017.1	Translation initiation factor IF-2	28.805925	21.717371	22.999471	13.364431	21.364781	13.721263	7.684252	8.324008	13.561657	8.354359	6.292398	10.07136	10.315191	7.982201	8.943339	18.498214	28.549747	27.773808	16.065122	19.934128	17.259351	17.155192	17.409418	17.59986	34.722149	33.002904	31.263636	19.666556	29.266347	18.963844	8.581267	13.079472	8.753128	16.195582	6.883451	8.513594	10.698965	19.415764	7.662166	26.738751	38.009026	30.564513	15.652258	18.360244	17.64957	13.603831	18.55054	14.461283
Niben261Chr01g0180002.1	Protein kinase domain-containing protein	3.62948	4.443896	2.984453	2.59455	3.855455	3.099311	0.964285	0.998608	2.281852	1.946525	2.460547	3.405256	2.107609	2.25622	2.180802	2.70511	5.917781	4.787289	3.517691	3.627445	3.6356	2.804106	3.400679	3.958463	4.966546	5.705525	5.192343	3.115492	5.9723	5.199179	1.556734	1.653569	2.98957	2.529367	1.932903	2.551505	2.726872	2.489667	2.085788	3.821719	6.36878	5.58514	3.031392	4.534191	4.561133	2.72228	2.84723	2.944111
Niben261Chr01g0353009.1	Dynein light chain	198.498664	139.909839	106.671967	37.738361	49.691191	46.573543	32.965755	30.500352	47.844905	48.28187	30.730637	57.938952	63.278795	61.523332	59.247438	158.183116	166.197175	154.611639	56.957776	69.634963	76.687804	79.301909	70.101961	80.153875	237.270929	173.403067	201.049911	46.819499	91.526135	75.06237	56.277683	56.541065	51.620215	147.882535	59.124856	82.261857	77.552192	179.188023	55.89682	299.370809	235.25808	278.930896	52.613482	79.948781	73.129187	70.527891	107.442579	76.725048
Niben261Chr01g0393001.1	transcription factor ILR3-like	84.79798	71.398729	85.788829	39.455209	60.16462	51.312933	40.168581	30.37244	43.454482	24.234156	26.079006	33.931705	35.279112	35.731131	37.567442	60.206948	72.031503	58.940786	39.695409	52.169375	38.727924	30.538515	32.603986	34.189561	86.066747	75.673306	77.372192	49.615754	60.851312	54.940839	28.2998	29.072889	29.612391	39.536201	28.600147	32.2811	36.524896	59.161605	42.522896	89.541658	63.175808	59.970341	43.027841	52.522624	46.909993	28.692467	33.793759	28.040326
Niben261Chr01g0540007.1	Dynamin-like protein	12.090774	9.142322	11.823176	5.225305	10.130102	6.399009	5.082837	6.099476	8.733116	4.81238	3.452181	4.46831	4.527873	3.953025	4.973134	9.17338	12.817448	14.709386	5.878169	9.18795	8.601777	10.578601	9.074934	11.003418	15.045614	14.010056	13.78454	10.070622	11.977318	8.897198	4.625816	7.853968	5.670267	12.945398	4.024763	5.868348	4.202554	14.900289	4.849395	15.404596	20.87647	16.089237	10.754952	11.06245	9.534126	6.880639	9.444924	8.47889
Niben261Chr01g0685002.1	Chloride channel protein	10.542928	9.030409	7.96886	2.992892	4.526527	3.704447	1.5274	2.256602	3.948285	0.884428	0.882112	1.467709	2.919639	1.448896	2.038656	10.31829	14.411438	9.543318	4.522593	5.534732	5.002596	3.8878	3.630781	3.40267	11.427051	12.913364	12.895718	6.283238	9.972166	9.113026	7.472469	5.921337	7.270257	4.142667	1.808468	1.639902	3.507868	6.05696	2.620428	18.270823	21.611052	17.157478	3.983263	8.141387	8.290906	2.545233	3.528254	3.355902
Niben261Chr01g0853012.1	Chr5:2841536-2845335 REVERSE LENGTH=719	9.66142	8.871477	9.490683	4.730726	6.563798	5.820954	4.019751	4.316754	6.462855	3.770164	3.785112	4.668504	4.231492	3.984874	3.695178	8.232347	11.83469	9.010182	6.736679	9.359489	7.337222	8.365666	8.575344	8.808499	10.743394	10.306893	10.156175	5.743503	8.001337	6.522291	3.88639	5.745132	4.700802	6.264328	2.893552	4.216442	3.208974	7.157897	2.789037	10.953236	12.17196	11.165025	5.631248	6.14489	6.422436	4.575977	7.575813	5.649699
Niben261Chr01g0947001.1	Protein kinase domain-containing protein	3.426569	3.259901	3.141199	5.510892	5.643333	5.0903	4.837696	5.815644	4.781539	5.104102	5.333989	5.226974	5.634744	5.312459	4.820773	3.600866	3.908768	4.228	4.837933	4.903373	4.392387	4.954034	5.658443	4.609937	2.768956	3.072784	3.375616	6.005332	6.26396	5.453484	5.838185	6.10806	5.24961	4.786784	4.590354	4.670246	5.842232	4.229286	4.941937	3.492295	3.834126	3.8102	4.633042	3.963595	4.728791	4.355619	4.61418	4.250365
Niben261Chr01g1077021.1	MAR-binding filament-like protein 1-1	10.7463	10.451933	7.498428	4.98292	6.018954	5.321052	3.224136	2.527712	4.53501	3.651004	2.442277	3.799198	4.351251	3.191666	4.00471	6.905772	10.066435	9.164373	4.351342	6.497551	4.550697	6.752555	6.090097	8.353214	11.753724	12.626317	10.082275	6.965899	8.759622	7.97106	3.497187	3.341838	3.967476	5.543002	2.405611	4.216235	3.940431	6.68587	3.026405	9.78266	12.39141	9.622174	5.707436	6.658625	6.331268	5.552432	8.126646	5.748873
