GeneID	Description	GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr01g0006004.1	60S ribosomal protein L4-like	15.314507	25.025501	15.105004	19.90443	16.451314	16.370558	18.524374	14.265234	13.706642	26.640387	28.190433	23.797185	28.040634	26.144526	28.660974	21.613486	22.630276	22.949945	17.372135	15.299434	15.871155	18.907434	18.265858	18.061012	13.527321	17.645394	11.574058	13.230349	14.758453	12.700157	11.526927	9.915208	11.531331	23.439464	28.698496	21.288438	31.42437	20.689181	35.596926	21.832692	26.953902	22.8801	21.497799	16.612441	17.023206	25.278173	22.316119	25.047141
Niben261Chr01g0564003.1	60S ribosomal protein L18	118.860609	151.814933	119.435589	125.898889	100.786245	121.347088	122.992639	112.953353	97.009089	143.540223	148.58844	142.168413	151.24306	155.759478	154.803603	125.633821	132.908131	137.846221	109.590198	93.660529	101.423548	107.319165	109.71467	113.092502	96.047203	141.988568	116.803114	132.735755	96.166053	108.984801	96.841294	90.497373	100.821482	125.244015	147.261232	117.735675	168.964978	114.876083	168.395698	123.395746	121.077761	123.127846	135.335871	108.210058	108.497579	135.760086	126.324838	129.450978
Niben261Chr02g0186006.1	60S ribosomal protein L35-like	143.865935	170.156051	125.312347	113.784479	101.41037	96.900605	99.016919	99.187679	82.90038	133.660973	127.69158	123.732279	134.848252	142.744513	144.358214	99.720213	122.965507	116.256047	96.254647	80.107746	79.20449	104.253612	103.812514	108.466087	125.791184	156.161472	127.295903	108.749706	98.080774	87.008553	74.166993	68.46902	63.606768	116.247077	130.911677	115.328684	171.845089	120.426192	161.337773	111.202048	128.465681	119.693197	137.581159	94.51975	104.285243	119.39001	115.333294	130.922603
Niben261Chr02g0554018.1	40S ribosomal protein S8	23.916614	28.899496	20.76723	23.162583	24.035962	24.699251	21.235298	21.254886	19.590924	19.458666	21.262655	23.184342	31.63202	27.462672	30.341725	33.105564	28.622756	31.128837	25.154775	22.82936	23.59571	17.763953	23.286005	21.774584	21.31308	20.685278	19.390427	17.674545	15.750198	17.98874	11.257806	14.763053	12.686067	20.480795	23.0154	20.211666	29.76269	20.865621	31.88279	30.079258	27.790813	26.259651	29.38897	23.131532	25.558167	26.647371	29.437857	22.737679
Niben261Chr02g0595003.1	tyrosine aminotransferase-like isoform X1	35.638069	42.771338	29.260784	37.470345	27.690094	36.887312	33.225774	29.96553	24.457725	41.518215	41.956797	35.001544	40.269007	39.257235	40.306711	31.343616	34.561878	32.528172	32.387105	33.622275	31.350354	33.29188	38.88749	37.304711	37.392602	51.144558	30.908443	35.616702	30.317984	36.976761	32.490253	31.936649	32.625449	42.023299	40.32526	47.218433	46.168585	41.942373	46.62701	37.884067	42.643855	39.552403	38.585669	34.635047	39.834192	44.678319	56.48615	42.243375
Niben261Chr03g1063002.1	60S ribosomal protein L30-like	162.215806	191.630765	138.198366	163.306026	129.449434	132.595611	129.563567	105.095995	105.511694	182.211119	181.288532	165.621606	209.806332	195.72288	215.433076	169.230763	143.975016	195.866443	147.40324	127.935989	149.872304	126.700226	125.890624	151.407606	139.410673	169.941142	111.834318	120.828385	106.351958	117.363542	81.757875	77.947739	89.842039	148.695815	164.0425	134.577306	198.553599	164.375248	193.521202	163.579713	172.326028	141.596066	139.485587	158.683287	159.375385	173.020643	176.159131	156.880783
Niben261Chr03g1139011.1	60S ribosomal protein L35-like	103.243602	149.496545	113.12859	116.887574	89.851581	116.19112	96.700046	94.25995	81.875127	106.406385	118.044247	114.707322	119.776118	133.703454	149.268819	117.535407	114.4811	124.244388	87.963447	85.763548	75.619553	72.39445	95.891536	88.731337	96.030047	132.639079	101.711491	101.732495	83.555693	94.448741	82.147282	63.143321	75.7964	102.516595	104.146066	109.619776	152.196169	108.864129	133.6863	107.487297	109.977392	96.589782	119.521014	91.311852	109.139322	106.418054	104.595399	98.232194
Niben261Chr03g1279004.1	ribosome production factor 1-like	10.11093	13.575383	11.126879	10.584729	10.248924	8.280839	10.510231	9.443249	8.848408	13.406233	16.017794	13.262089	13.875908	14.344355	14.835244	11.414785	12.07867	10.843285	11.279221	10.835306	10.764358	9.599697	13.244124	12.233254	8.443587	10.850892	8.954875	9.144507	9.003422	7.770103	5.853836	8.512098	7.017788	13.486057	13.732545	12.801968	13.675793	11.271655	12.202432	10.851483	13.48457	11.473409	14.149236	12.370499	10.403405	16.064025	16.273245	16.046234
Niben261Chr03g1496003.1	Ran binding protein-1	27.835888	44.14793	25.828793	35.782167	29.371082	34.923521	31.058875	27.969642	27.063239	41.745692	39.469996	33.93236	37.670222	43.014431	44.258808	32.38793	35.437872	44.630595	29.718989	29.734721	30.611619	30.306568	31.86976	37.459881	22.754585	34.317339	20.82431	32.037245	25.987879	26.492569	20.065921	21.713224	25.385398	32.633161	38.262125	34.424012	49.231079	32.72959	42.914063	38.482831	34.468133	34.83421	38.329142	27.78063	32.047427	37.477219	42.817101	38.079762
Niben261Chr03g1511028.1	Elongation factor 2	33.904343	39.323804	34.56035	33.776153	28.961908	30.03501	26.710262	25.885006	24.166951	34.322512	42.226766	35.423032	36.650375	38.127216	40.96798	32.423318	31.303808	37.286511	33.761981	35.616916	30.015861	24.794033	29.467413	29.428159	29.824278	32.640445	30.928203	18.192448	29.964025	25.448953	16.724594	21.318955	18.411234	30.655824	34.992816	31.933234	38.389281	38.188176	42.305645	37.069456	45.666943	40.109642	31.34898	36.119029	36.04378	38.868112	32.009802	36.19503
