GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr01g0030006.1	73.241396	78.957042	156.170396	119.348088	88.670623	115.836122	99.907728	148.453364	111.072628	45.109689	43.156808	48.029262	44.942749	39.024187	46.088972	34.291068	19.063728	43.5594	60.544228	51.914795	39.59924	35.222364	40.448486	56.134095	54.203548	57.610437	63.324179	91.142351	67.311142	88.404506	168.938226	152.118966	181.514662	61.127211	76.018858	59.197492	27.986236	59.824458	45.25023	18.586037	14.912031	27.55347	96.433474	61.888096	62.950335	43.249447	50.889703	47.39416
Niben261Chr01g0030008.1	50.697196	53.51718	90.954089	100.416123	88.338901	95.969837	83.047942	133.026846	103.645446	43.563189	43.547386	37.543543	33.759137	29.918007	30.815603	19.299275	17.733365	37.279912	52.992959	50.070224	34.260693	34.327008	34.377652	42.028067	45.601073	39.09562	52.110611	88.882263	67.956198	72.151682	165.515397	142.743078	175.212499	51.881326	62.794373	40.462766	24.918527	41.802934	35.789077	12.096598	15.335421	23.439664	88.581696	52.416481	53.457898	48.239799	51.242346	49.936621
Niben261Chr01g0030010.1	6.813449	12.362884	16.979385	19.67885	21.662629	28.080095	31.23168	44.084392	53.239477	34.22889	39.236986	23.788688	24.726368	17.779399	14.31021	5.157456	12.854708	10.638402	18.379841	17.637419	17.141284	19.190591	31.354965	19.123827	2.748793	5.003906	5.299525	39.449671	16.48319	16.509872	70.297277	58.512514	49.279756	19.306155	58.239628	27.75987	23.883293	13.590306	15.522735	13.896529	19.318093	24.376864	45.288819	19.420678	27.184808	23.088304	42.213148	33.103074
Niben261Chr01g0030011.1	2.529798	3.973821	4.351277	8.224521	7.78099	10.155797	10.600257	14.86389	18.026168	8.743555	14.473181	8.668395	8.498592	4.101132	5.143561	2.245354	3.480958	3.922792	6.241279	5.695703	5.858115	4.454936	9.593479	6.8867	0.536989	1.436377	0.798649	7.542336	5.355517	5.320398	22.083109	21.530949	18.762875	5.26715	15.743892	11.619795	5.998763	4.220278	4.816215	3.421735	5.043655	8.328772	13.438583	7.516519	9.323795	9.998399	14.225227	10.096166
Niben261Chr02g1142004.1	3.925139	4.458712	5.023968	8.638226	6.347195	7.203068	7.315275	11.087561	8.088695	8.558975	10.21685	9.749169	8.198725	7.796195	6.723331	6.10298	3.866452	5.545548	7.903101	6.677023	7.446597	4.288801	5.273212	5.529777	3.206925	3.097653	2.848493	4.5632	5.784235	5.957566	13.827167	11.150075	13.731964	6.490855	10.549859	9.156152	6.048361	6.300927	6.619981	4.631881	5.337891	4.995944	6.231991	5.425518	7.453518	8.09416	6.693327	7.906304
Niben261Chr03g1447001.1	0.566944	0.378521	0.497344	1.785326	0.86369	1.390121	1.413516	2.257402	1.653577	1.858195	2.395321	2.029138	1.725724	2.273046	1.741209	0.616901	0.432449	0.866381	1.178351	0.572626	0.537549	1.217286	0.863793	0.964575	0.109598	0.231461	0.221863	1.831163	0.452205	0.540277	4.358128	1.835332	3.311794	1.035193	1.682591	1.383412	1.001723	0.591119	1.119533	0.84735	0.243275	0.656685	2.084006	0.765113	1.013931	1.718258	1.190656	1.630525
Niben261Chr04g1791013.1	39.579744	45.969162	44.756759	102.966389	61.567754	87.097808	113.751945	136.155498	112.99017	107.755909	128.473961	95.862423	64.809669	56.47759	64.221802	27.554767	15.824879	38.898155	31.260944	16.27278	34.321803	34.553532	27.133777	30.734644	21.10397	24.926898	18.827777	171.432228	39.23615	47.647605	246.747728	170.173298	254.21659	86.08834	155.159509	108.839461	75.853287	36.037838	78.404192	27.534759	17.897153	37.190077	123.108857	59.030253	78.922436	137.787457	82.397317	139.432779
Niben261Chr06g0017013.1	7.999874	8.47404	10.381964	11.001728	8.098875	7.232898	10.185829	11.582047	12.311962	12.206996	12.15516	10.395023	9.539154	9.072467	9.721339	7.966496	6.358126	6.89374	9.141404	9.505986	9.960187	8.029395	7.990028	6.790565	6.2758	8.851598	6.857803	18.828946	5.63519	5.888746	15.879026	11.459992	27.1416	9.35998	11.732313	10.968627	9.557952	7.413205	8.358194	5.087696	5.148423	5.85391	10.040624	9.727001	10.953935	13.110655	12.082266	13.649394
Niben261Chr06g1167003.1	73.344399	86.877468	123.793143	188.409026	129.985397	161.225016	178.467576	238.69626	142.439799	167.07256	211.044944	175.770923	146.444094	129.028295	151.244889	102.098301	59.53623	105.767783	142.117389	104.54154	115.687065	76.10211	73.785938	69.24799	43.079793	48.804647	51.389484	182.919358	90.871254	123.891619	254.182934	277.918982	243.988842	134.015101	193.066231	186.444104	158.129663	101.430733	174.470155	64.128982	57.013773	79.480889	177.446288	100.205986	128.312136	137.03664	95.826078	130.269336
Niben261Chr07g1443002.1	3.169827	3.441502	4.698772	5.230435	5.927263	4.036473	4.566673	6.336045	4.285563	5.52118	6.46554	5.474165	4.902247	3.882165	4.024916	3.590567	3.212637	5.002377	5.559182	4.713389	4.444764	2.360365	2.973652	3.378384	1.995091	2.991294	3.411886	5.077014	3.833875	4.451458	7.254153	7.490803	7.744931	3.845023	5.4296	2.980416	3.692638	3.103954	3.820594	2.703857	2.987239	3.037507	4.31303	3.697487	4.040758	4.487089	3.752074	3.691923
