GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr01g0193012.1	9.48304	31.201252	13.158539	12.01663	12.863981	6.401348	5.054386	6.257118	17.150194	7.907872	9.799265	8.235092	1.236528	1.763782	2.89791	4.383742	6.526418	4.751264	3.528347	9.509268	7.182488	2.180724	2.422971	2.24674	5.726359	32.978094	9.339994	40.834085	10.179424	7.331069	15.420901	7.754905	40.988771	4.738008	2.463803	5.693333	3.022408	2.964852	2.963699	4.495149	8.387648	4.216375	4.482195	20.836273	7.521295	21.225128	5.832972	17.284584
Niben261Chr01g1806004.1	0.084865	0.288427	0.794065	0.583574	0.200183	0.104043	0.201411	0.328253	0.505576	0.164837	0.183636	0.139646	0	0.034897	0.070682	0	0	0.129772	0.084244	0	0.161002	0.041649	0	0	0.656221	0.34131	0.87296	0.71688	0.021661	0.06693	0.568135	0.17583	1.303798	0.047679	0	0.165665	0.177714	0.035394	0	0	0	0	0.174178	0	0.167471	0.380129	0.049166	0.719711
Niben261Chr02g0529004.1	5.408902	23.057119	7.722028	21.46164	19.795245	7.808871	4.944682	4.414945	28.924644	12.962152	19.079726	15.642396	2.445519	3.571945	4.757831	4.608179	2.686518	4.696307	2.104464	8.689114	11.814712	8.210926	4.3082	1.174775	8.228437	24.824527	10.864538	26.324032	22.056398	8.002405	5.405142	7.800913	23.158867	4.398306	3.192849	8.670566	2.220105	1.098081	0	1.381359	2.393537	3.488868	2.312997	53.623531	15.034684	17.732317	7.157264	19.275662
Niben261Chr02g0830006.1	25.804318	24.284088	25.431014	24.49029	14.378271	10.02581	12.980001	11.818556	22.128895	16.789109	15.833037	16.975478	11.865902	10.252558	15.851379	9.53678	7.236552	14.253401	16.547252	19.401879	21.529162	12.373635	13.20819	11.378608	20.50267	28.394573	21.945832	29.046738	12.394716	10.273471	20.558645	14.844146	42.697261	19.549532	16.324437	21.200952	15.948765	19.948762	15.229414	9.034286	11.062039	14.774132	27.619704	32.207203	35.36522	41.189817	25.824998	37.93153
Niben261Chr02g1456007.1	17.758342	29.230218	25.130689	31.945434	25.755919	20.286034	12.469117	15.450681	21.620677	17.292325	20.075481	20.368236	14.518656	13.929803	12.717651	10.548449	12.674422	20.263271	20.160531	18.659278	21.677377	9.682281	8.693072	9.707736	13.683023	24.344618	23.894966	36.825431	20.288461	20.774902	19.311741	21.558023	24.671094	14.016549	14.359238	14.939564	11.694369	10.077374	12.275171	9.121125	15.257735	15.346746	16.311088	22.908656	26.570818	21.732047	10.97837	20.619711
Niben261Chr03g0010005.1	148.78746	110.353645	120.107731	81.399442	78.052028	42.89809	54.618203	61.371563	152.489658	74.465254	61.074278	67.290723	63.959643	40.350672	51.697134	34.962066	36.051007	46.55531	39.076688	47.941709	61.043673	55.77284	52.258873	58.57198	125.6378	162.447212	129.616436	227.693769	72.807158	79.548228	83.0057	77.855239	135.159314	57.950253	56.270637	51.377746	101.548056	43.208553	48.3583	40.298537	28.587941	48.72011	92.501685	56.488785	63.496506	99.35456	96.51168	103.823139
Niben261Chr03g1054003.1	5.736044	3.816445	8.5725	5.042358	2.505625	0.260454	1.91686	2.41685	7.277368	1.960054	3.956583	2.237315	0	0.17472	1.150114	0.616443	0.360107	1.217444	0.579951	0.180695	1.30989	0.521307	0.40883	0.082618	3.395007	6.151789	4.655672	13.195547	0.921813	1.675476	4.661772	1.247124	9.791593	0.71614	0	0.276477	0.5561	0.797419	0.572976	0.195397	0.273433	0.078744	0.218013	0.982966	1.781762	9.801413	0.492319	8.584486
Niben261Chr04g1368003.1	9.446346	10.519868	9.425999	13.214989	13.088943	5.93898	4.705516	8.206377	13.249082	9.623095	8.475175	8.04374	7.022792	6.627981	6.987316	3.910231	4.747625	5.804501	4.295157	6.798467	12.156327	1.945153	1.864462	2.209294	6.87875	10.361263	4.786086	36.632008	6.879127	5.140292	7.173994	5.839558	18.267696	4.898915	5.007727	5.158094	5.187439	3.967212	5.243058	3.341641	2.607336	4.554155	10.710722	15.638845	11.145663	9.40931	7.041804	10.018022
Niben261Chr04g1651012.1	18.480582	12.9716	20.012504	16.459802	13.165559	5.891504	7.935735	9.495828	24.749471	7.681367	10.541993	7.902701	4.101362	3.350246	4.103768	3.629936	3.041274	4.60227	3.810169	4.284041	5.16586	3.441781	3.855233	4.6486	14.28817	21.077661	15.513119	33.971825	7.901704	8.291079	14.65969	8.446952	25.145148	7.167713	5.908135	5.620825	3.721144	6.629838	4.326978	2.745751	2.798877	3.310782	5.753275	6.656467	6.093979	14.002203	6.512301	13.246903
Niben261Chr05g0208022.1	0.470812	1.640737	1.486784	1.149379	1.810115	1.000422	0.31302	0.44989	1.682925	0.274348	0.259809	0.185937	0.165467	0.038721	0.078427	0.163939	0.095931	0.107986	0.257056	0.881	0.312627	0.138638	0.120806	0.366195	0.388334	2.309997	0.926501	8.23165	2.259339	1.906572	0.84049	0.612884	0.897932	0.211614	0.156887	0.367635	0.640786	0.078544	0.145123	0.086607	0.121196	0.174583	0.869685	2.393942	0.789691	1.26533	0.872858	1.409218
