Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
Niben261Chr01g0460004.1	Abc transporter c family member 3"	NA	-1.59761060304738	NA	-1.36866925845397	-1.45633420913832	-1.34912292874237	NA	NA	0.617912942648538	NA	1.19306595706298	NA	0.84291133159831	2.05189073045882	1.68753227654628	1.31555709981005
Niben261Chr01g0908004.1	WRKY transcription factor"	0.902507201766166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.781259427955033	1.25023936843386	1.18755362636516	NA
Niben261Chr01g1495011.1	Replication protein a 32 kDa subunit b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0041161071057	0.81740986323167	1.1730156744015
Niben261Chr01g1553002.1	Alba domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1633005.1	Chr5:1888380-1889512 FORWARD LENGTH=162"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1829003.1	Aspartate aminotransferase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0347021.1	Cytochrome p450 cyp72a219"	NA	-1.80765498434668	NA	-2.35857278965842	-2.07091828782989	-2.46166652007048	NA	NA	NA	NA	NA	NA	0.706200173951102	2.23747561651375	1.88962252292697	1.76088048019364
Niben261Chr02g0787005.1	Compass-like h3k4 histone methylase component wdr5a"	NA	NA	NA	0.908114897155886	0.69254176344865	NA	NA	NA	NA	NA	NA	NA	NA	0.839631783931828	NA	NA
Niben261Chr02g0849001.1	Aaa-atpase"	NA	NA	NA	-2.14269505143891	-1.80718886088277	-1.90170471710813	NA	NA	NA	NA	-0.814412356890479	NA	NA	1.41830720975158	NA	-2.56860512866027
Niben261Chr02g0879013.1	intracellular ribonuclease LX-like"	-1.04485414826407	NA	-0.760415484331429	NA	NA	1.10908682153478	1.28475065851192	NA	1.12826868333069	NA	NA	NA	0.856342212258207	2.31275517925344	2.08301694791989	0.694807901844313
Niben261Chr02g1087008.1	Threonine dehydratase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.950269724045768	-0.931184707493758	-1.17214606347545
Niben261Chr02g1198018.1	Aquaporin NIP5-1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.721357428645912	1.18314825835711	1.14043141823825	NA
Niben261Chr03g0041002.1	Purple acid phosphatase"	NA	-0.80765024226512	NA	-0.956185670926513	-0.911142017958527	-0.971065052776454	NA	NA	NA	NA	NA	NA	NA	1.40385230682399	1.10394828077236	NA
Niben261Chr03g0330006.1	YqgFc domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g0501011.1	Chr1:8216125-8218829 FORWARD LENGTH=630"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.641941568606703
Niben261Chr03g0649003.1	Unknown protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.619101308543133
Niben261Chr03g0676003.1	Poly [ADP-ribose] polymerase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.41099021117774	1.20944055477089	1.09857203169546
Niben261Chr03g0945004.1	HTH myb-type domain-containing protein"	NA	-1.31181470191457	NA	NA	-1.00581605113179	NA	NA	NA	NA	NA	NA	NA	1.55773101114734	1.48771642581652	1.48307439198104	NA
Niben261Chr03g1121008.1	Thymidine kinase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.15024751666746	1.97766275303359	NA
Niben261Chr03g1186001.1	LOB domain-containing protein 1"	NA	NA	NA	NA	NA	NA	1.05931579130263	NA	1.07458954699269	NA	NA	NA	1.46108867285732	1.72976428670879	1.75448498995885	NA
Niben261Chr03g1345003.1	RAB6-interacting golgin"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.657954615367109	0.850087565744159	0.872662875824909	NA
Niben261Chr03g1612003.1	WRKY domain-containing protein"	-1.88723553517605	-1.7410657510651	NA	-2.15697060084417	-1.85953111003418	-1.93048075462658	NA	NA	NA	NA	1.56947308174942	NA	0.830252982322738	1.24237161297547	1.09278126463785	-1.45351469632739
Niben261Chr03g1866001.1	WRKY DNA-binding transcription factor 70"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.897309046345218	NA	1.46613003108261	1.47638505856693	1.45855297908712	NA
Niben261Chr04g0142014.1	VOC domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr04g0640002.1	AAA-ATPase At3g50940"	NA	NA	NA	0.68748745409895	NA	0.632243993431978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr04g1127001.1	Amino_oxidase domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.680840608257491	0.598439823541028	0.857438357840096
Niben261Chr05g0021010.1	nudix hydrolase 1-like"	NA	-1.56012997864117	-1.29213211068128	-1.88505989647523	-1.73352333580115	-1.91989907143543	NA	NA	NA	NA	NA	NA	0.911962128668576	1.60251235421947	1.43287418915484	0.966784221940115
Niben261Chr05g0283019.1	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr05g0326027.1	Calcium-binding protein"	NA	NA	NA	-1.39586452268243	-1.29570102862578	-1.53751003785265	NA	NA	NA	NA	NA	NA	NA	2.49123713882617	2.1394759138344	NA
Niben261Chr05g0477010.1	60S acidic ribosomal protein P1-like"	NA	-2.54308259338001	NA	-2.20717795802923	-2.14646268224587	-2.10759199004604	2.02377403625896	1.29924308552526	1.86907728383853	1.534142435678	NA	2.11574990654213	3.33794744057323	4.82758484310203	4.72634413397327	2.1050697132515
Niben261Chr05g0878009.1	WRKY domain-containing protein"	-0.984005172704996	-1.33875279647696	NA	-1.70612772000446	-1.4682519823097	-1.5534830389658	NA	NA	NA	NA	1.33577216240305	NA	0.749143434345545	NA	NA	-1.09288593558432
Niben261Chr05g1370007.1	DCD domain-containing protein NRP-B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr06g0482001.1	serine/arginine repetitive matrix protein 1-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.50764649496052	1.2501319944882	-0.933452135421809
Niben261Chr06g0556002.1	Hypersensitive-induced response protein 1"	NA	NA	NA	NA	NA	NA	0.645137502159628	NA	NA	NA	NA	NA	1.41427838926499	0.955542615588654	1.04455027691324	NA
Niben261Chr06g0560017.1	ABC transporter A family member 2"	-1.52310095209118	-1.3396804257863	NA	-1.57491216286728	-1.39912035580928	-1.52903662436848	NA	NA	NA	NA	NA	NA	1.36443842473798	1.12909902289103	1.3262417847689	1.05729008672071
Niben261Chr06g0696012.1	Cysteine proteinase inhibitor"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr06g1089001.1	RING-type domain-containing protein"	-2.37946861058122	-2.05469684300762	NA	-2.04661343083498	-1.92740479807767	-1.97233220376	NA	NA	NA	NA	1.56747161158893	1.8513716266542	1.54641293444336	1.6716210415951	1.55606851526008	NA
Niben261Chr06g1197001.1	expansin-like B1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.29923561641314	1.04546674707265	NA
Niben261Chr06g1385020.1	Unknown protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr07g0480003.1	Eukaryotic translation initiation factor 2 subunit 3"	NA	-1.75723355846855	-1.25395291142745	-1.80380594744074	-1.73938783675033	-1.7605002285919	NA	NA	NA	NA	1.10285281738237	1.35232957676432	1.41470382763824	2.41338496376041	2.1926818063861	2.16185197329821
Niben261Chr07g1155002.1	At4g35750"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.46100471573584	1.31564063359921	0.783714466250318
Niben261Chr07g1258024.1	Polyribonucleotide nucleotidyltransferase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.99886414687529	1.9953231917932	2.27151767517461
Niben261Chr07g1521002.1	Shikimate kinase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.671357272669197	0.680314132886268	0.811617296723873
Niben261Chr07g1522014.1	Glycerophosphodiester phosphodiesterase"	NA	NA	NA	-0.624970646491689	NA	-0.627259293181939	NA	NA	NA	NA	NA	NA	1.17570289290591	1.84719192653143	1.72094756448049	NA
Niben261Chr08g0274011.1	protein NBR1 homolog"	NA	-0.901449116587597	NA	-0.719980655685309	-0.773521860490576	-0.849013402215771	NA	NA	NA	NA	NA	NA	0.68943321004729	0.893474382482068	0.833564399434839	1.20607682793803
Niben261Chr08g0579001.1	WRKY transcription factor"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.29808364206044	NA	1.28129210294432	1.57139824840661	1.53603482500045	-0.695068184863537
Niben261Chr08g0671010.1	Expansin-like protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.03496822390877	1.49760640682476	1.42691434764837	NA
Niben261Chr08g1100015.1	Heavy metal-associated isoprenylated plant protein 16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr08g1102003.1	WRKY transcription factor"	NA	NA	NA	NA	NA	-1.24372958509984	NA	NA	NA	NA	NA	NA	NA	1.53476602566266	1.35437821722195	NA
Niben261Chr09g0732011.1	Phosphatidylinositol 4-phosphate 5-kinase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.675904562996718	1.34044820803341	1.6711823841315	1.60358522078079	1.63287225708239	NA
Niben261Chr09g0906003.1	Germin-like protein"	NA	-0.976725906398265	NA	-1.09992513306618	-1.01782072919973	-0.964541485985402	NA	NA	NA	NA	NA	NA	0.655044226224376	1.07780054036092	0.994059169890782	NA
Niben261Chr09g1062005.1	40S ribosomal protein S15-like"	NA	-3.23006597950067	-2.46842685122547	-2.0746614716872	-2.15956263720173	-1.86709542369477	NA	NA	0.959741425965509	NA	1.17876488896683	2.19094489244471	2.45267670135889	3.56184517274047	3.38028316037181	1.89456899290452
Niben261Chr09g1103005.1	WRKY transcription factor"	-0.718032562267949	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.678184567985315	NA	0.675855746818171	0.891754831506299	0.87993766467444	NA
Niben261Chr09g1220002.1	L-type lectin-domain containing receptor kinase IX.1-like"	-2.20280121042627	-2.62560191083389	-2.26214446426397	-2.59588387820531	-2.4901932708524	-2.58642344473296	0.972835690946816	NA	1.00411557727312	0.899261083055917	1.34207575642016	2.08803137061721	2.33770678887743	2.87089133555439	2.82021582605633	1.94710132847834
Niben261Chr10g0098010.1	Outer envelope membrane protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr10g0300010.1	WRKY transcription factor"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr10g0348005.1	40S ribosomal protein S15-like"	NA	-3.89851751627764	-3.51653837712119	-3.24793346570015	-3.35385403853115	-2.99194939600368	NA	NA	0.710792902892876	NA	NA	1.82170681689421	2.08775094997155	3.16856049381706	2.97414030414828	2.00904395838041
Niben261Chr10g0496016.1	AMP_N domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.15422808973994
Niben261Chr10g1072003.1	Hypersensitive-induced response protein 1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.910671357485424	0.886211157119622	0.810179675987637	NA
Niben261Chr10g1091006.1	Asparagine synthetase [glutamine-hydrolyzing]"	NA	-1.06929463150504	NA	NA	NA	NA	NA	NA	NA	NA	1.01229463677261	0.904350241897835	NA	3.66593559065939	3.25473122499977	3.62020710930622
Niben261Chr10g1117004.1	Tetraspanin-3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.725931359695981	1.1455988441409	0.989020189033263	NA
Niben261Chr10g1138009.1	zinc finger protein ZAT11-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.57838773254241
Niben261Chr10g1252006.1	auxin-induced protein 15A-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr11g1146016.1	60S acidic ribosomal protein P1-like"	NA	-2.257175933644	NA	-1.96738250634493	-2.08837208172188	-2.09762754884941	1.13230024490805	NA	1.34911221280869	1.51783715416784	1.25185114851664	1.90509473902639	2.46399662767901	3.35213975097804	3.28586739237441	2.70492333906297
Niben261Chr11g1335005.1	Nuclear transcription factor y subunit b-10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr11g1362017.1	CASP-like protein"	-2.13702868389506	-0.82307514782249	NA	NA	NA	NA	NA	NA	0.700329721526397	NA	NA	NA	2.07411074377703	4.27486257279573	3.58138482392962	NA
Niben261Chr12g0148002.1	Abc transporter c family member 3"	NA	-1.48118450483122	NA	-1.28147524035754	-1.36430977375191	-1.28163727681869	NA	NA	NA	NA	NA	NA	NA	1.84331757846395	1.37974279334649	NA
Niben261Chr12g0148003.1	ABC transporter C family protein"	NA	-1.33139545387029	-0.798731980338582	-1.30066403543502	-1.29291757177621	-1.25917526580212	NA	NA	NA	NA	NA	NA	0.613167466524002	1.7294401528093	1.40828954019071	NA
Niben261Chr12g0263003.1	glutathione S-transferase L3-like isoform X1"	NA	NA	NA	NA	NA	NA	0.83772321423167	NA	NA	NA	0.979223863091584	NA	NA	0.784154693676991	NA	2.42164246482229
Niben261Chr12g0343002.1	Glutathione S-transferase T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.902296953793392	1.21729160262332	1.50070919810893	1.44113444338588	NA
Niben261Chr12g0429008.1	WRKY transcription factor 6"	-1.76782625952313	-1.34176225909118	NA	-2.29788165808897	-1.76517511867057	-2.216308917496	NA	NA	NA	NA	1.62363778332914	NA	NA	0.994204165483475	0.859501125446915	-1.65342868140067
Niben261Chr12g0677001.1	U1-type domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.609269245773289	NA	0.734696251908239
Niben261Chr12g0724003.1	WRKY transcription factor"	-1.45944955032516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.72768832061208	1.44053049494306	NA
Niben261Chr12g0973005.1	defensin-like protein 1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr12g0974001.1	defensin-like protein 1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr13g0201010.1	Replication protein a 32 kDa subunit b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.872050119403441	0.70790477772909	0.897120535915393
Niben261Chr13g0324004.1	Lipoxygenase"	NA	NA	NA	NA	NA	NA	0.69493671038992	NA	0.599538464434943	NA	NA	1.63517580877201	2.30200561789847	1.80971890428604	1.93916483807872	1.26412198549783
Niben261Chr13g0790005.1	cyclin-dependent kinase C-2-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr13g1231008.1	RNA helicase"	-2.49085986661823	-2.40411341068982	NA	-1.51847263880079	-1.78849482679727	-1.46035337585572	0.944845705764037	NA	NA	NA	1.98283721711407	1.98893507672495	2.2345891949395	2.84557491688946	2.81406083280449	1.92426219118293
Niben261Chr13g1455011.1	Hydroxyacylglutathione hydrolase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.947515296693007	0.782371114613145	1.10235543087789
Niben261Chr14g1173013.1	Poly [ADP-ribose] polymerase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00449790011959	2.34296593780925	2.09433945544056	1.79876290321206
Niben261Chr14g1358010.1	selenoprotein H-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr14g1423005.1	Transposon protein. CACTA. En/Spm sub-class"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.07126683346291	2.87812878256962	NA
Niben261Chr14g1423006.1	Transposon protein. CACTA. En/Spm sub-class"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.48868966571241	2.22336662833958	NA
Niben261Chr14g1451001.1	Fibrillin protein 5 homolog"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.55476922457692	1.30555902778807	NA
Niben261Chr14g1480004.1	Protein lurp-one-related 17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.32666858572074	NA	NA	NA
Niben261Chr15g0122001.1	Aminotran_5 domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.849486069213868	1.37592792125634	1.3157999798416	NA
Niben261Chr15g0263008.1	Chr1:20617326-20617853 FORWARD LENGTH=175"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr15g1268002.1	Eukaryotic translation initiation factor 6"	-0.73751184863697	-1.60501372018558	-1.1627679353432	-1.39849765390744	-1.43540490179047	-1.34551947531765	NA	NA	NA	NA	NA	NA	1.05723516228242	1.31903576074272	1.28717052300253	1.25656811727589
Niben261Chr16g0045013.1	Aaa-atpase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.786850507672972	1.81298797741447	1.65640364699163	NA
Niben261Chr16g0250004.1	NAC domain protein"	NA	-1.27805525313158	NA	-1.28323286083631	-1.14296279626838	-1.24703138888302	NA	NA	NA	NA	NA	NA	0.926494614399123	1.6144033643218	1.54498985001827	2.44712141694038
Niben261Chr16g0369003.1	Glycerophosphodiester phosphodiesterase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.929677343974795	0.97542148359903	2.06210026887798	1.83422337042719	NA
Niben261Chr16g0449004.1	Aldose 1-epimerase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.959126554063064	NA	-1.55442044437931
Niben261Chr16g0465003.1	Chr5:15826285-15827517 REVERSE LENGTH=239"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.02489451592888	1.34085322502588	1.88519415823848	1.69114302611553	-1.4890581868089
Niben261Chr16g0764025.1	WRKY transcription factor 6"	-1.12314246392868	NA	NA	-1.06818527096602	-0.850937682198011	-0.947625385763607	NA	NA	NA	NA	0.858869394516595	NA	NA	0.614138515524099	0.603734333845425	-0.804424925840049
Niben261Chr17g0843007.1	endo-1.31.4-beta-D-glucanase-like"	NA	NA	NA	-0.808282137240561	-0.641258797502723	NA	NA	NA	NA	NA	NA	NA	NA	0.830844044969038	NA	1.86461979141117
Niben261Chr17g1088002.1	Glucan endo-1.3-beta-glucosidase"	-2.2858867094685	-1.23464257945942	NA	-1.88188157900436	-1.5581595017969	-1.78379520203834	NA	NA	NA	NA	0.611229700321785	0.856603788932909	0.844287264407447	2.7265057283141	2.40790453823381	-1.2201001912207
Niben261Chr17g1223001.1	protein ELC-like"	-1.9768978041995	-2.14980450447743	NA	-3.00754528994659	-2.42299563842321	-2.97048653891929	NA	NA	NA	NA	NA	1.90773084420606	2.39066169666324	3.99797455643893	3.63905805223161	NA
Niben261Chr17g1414007.1	Proton pump-interactor like"	NA	-2.4723440199099	NA	-2.2487660536179	-2.10568555759288	-2.05415717201416	1.00787344667702	NA	1.16274528114974	NA	NA	2.90846658036091	3.96371099715942	4.46746969952324	4.52711208543823	1.53333725266533
Niben261Chr17g1495014.1	Cleavage and polyadenylation specificity factor subunit 1"	NA	NA	NA	-2.51606984330438	-1.69277131398237	-2.40372531226808	NA	NA	NA	NA	2.06518200711381	NA	1.76297620938147	3.79580174832072	3.47396819623486	-1.56887766799416
Niben261Chr17g1495017.1	2Fe-2S ferredoxin"	NA	NA	NA	-2.70694163954082	-1.96835302395147	-2.91767428617749	NA	NA	NA	NA	NA	NA	1.78287122923048	3.54731306753915	3.27880219515675	NA
Niben261Chr18g0359004.1	defensin-like protein 1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr18g1229009.1	Glycosyltransferase"	-0.997332142251398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.23952245525133	1.87953154456503	NA
Niben261Chr18g1455014.1	COBW domain-containing protein 1-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.844169539681423
Niben261Chr19g0071003.1	Cytochrome P450"	-1.38166177171736	-1.49395388867695	-1.31400929672342	-1.66827411316185	-1.50781509826426	-1.77402378611797	0.845204251173131	NA	0.980215431779063	NA	NA	1.65476498143513	2.40332252248746	3.76287358357576	3.5111096547256	1.44768710088903
Niben261Chr19g1034001.1	intracellular ribonuclease LX-like"	-1.40618537604541	-1.75453566522045	-1.53755762800208	-1.2209944997953	-1.31587984458372	-1.13476949258348	NA	NA	0.599368806601606	NA	NA	NA	0.748153033881225	2.26242854285312	1.91196493265437	1.42608815269992
Niben261Chr19g1427023.1	Homologous-pairing protein 2 homolog"	NA	NA	NA	-0.718368240480799	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5643449794034	1.35262630289841	1.81083272924438
Niben261Scf01159g0000001.1	Unknown protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Scf01523g0000001.1	nodulin-related protein 1-like"	NA	NA	NA	NA	NA	NA	NA	1.26280360448851	NA	NA	NA	NA	1.53436533342217	1.46689574484413	1.54920801757109	NA
Niben261Scf01724g0000001.1	1-aminocyclopropane-1-carboxylate oxidase-like protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.01612999100796	3.11201623792242
Niben261Scf03606g0000004.1	zinc finger protein ZAT8-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
