GeneID	Description	GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr01g0193012.1	Xyloglucan endotransglucosylase/hydrolase	9.48304	31.201252	13.158539	12.01663	12.863981	6.401348	5.054386	6.257118	17.150194	7.907872	9.799265	8.235092	1.236528	1.763782	2.89791	4.383742	6.526418	4.751264	3.528347	9.509268	7.182488	2.180724	2.422971	2.24674	5.726359	32.978094	9.339994	40.834085	10.179424	7.331069	15.420901	7.754905	40.988771	4.738008	2.463803	5.693333	3.022408	2.964852	2.963699	4.495149	8.387648	4.216375	4.482195	20.836273	7.521295	21.225128	5.832972	17.284584
Niben261Chr01g0691021.1	transcription factor TCP20-like	2.753016	2.167539	2.523741	3.935669	4.914309	2.736597	2.544062	3.927588	10.195128	2.095563	2.052933	3.036387	1.503597	1.468628	1.921089	1.209037	1.816152	1.535006	1.994255	1.771996	2.752608	5.477381	5.537656	5.2663	2.378094	2.872754	2.994933	15.306505	5.165605	3.912058	7.527075	7.913523	17.501505	1.672111	3.037208	3.292275	2.259274	3.723775	2.064092	1.847737	1.787625	2.482084	3.97049	5.336155	4.625189	6.332328	5.517664	7.126705
Niben261Chr01g1078011.1	LEA_2 domain-containing protein	3.728357	4.720188	3.981287	3.418651	4.37422	2.964053	1.770761	2.66575	3.316652	3.557269	2.835244	3.55182	2.370822	0.949006	2.566254	1.786724	2.897996	3.729079	2.418861	2.973189	3.671696	1.759374	1.564743	2.398843	4.839345	10.507032	5.089335	11.063796	3.299813	4.764762	7.842207	5.198593	11.749569	1.881694	1.38678	1.68431	2.020037	1.834348	1.091778	0.823622	2.539076	3.162488	3.37484	2.822669	3.596295	1.950082	1.486585	2.446998
Niben261Chr01g1260005.1	transcription factor MYB44-like	7.962994	16.197368	5.392066	6.082099	5.733875	2.329287	0.557274	1.144287	4.161303	2.360731	2.890884	3.199921	1.693859	0.896169	2.024555	1.264738	3.807766	2.24161	2.371415	6.630305	4.929663	3.620013	4.462764	3.716078	7.950619	11.529199	3.148978	11.495571	4.364437	2.688319	3.990369	2.894442	13.05526	1.883696	1.187061	2.399859	1.053169	2.167403	1.098048	2.467017	5.034566	2.796162	4.04282	9.954328	5.127745	4.355255	0.971228	4.181512
Niben261Chr02g0389013.1	Xyloglucan endotransglucosylase/hydrolase	7.521022	31.710195	10.861805	21.373795	24.811802	19.247755	10.18038	6.437946	16.779141	8.363798	9.140946	16.549996	2.417171	1.061549	4.823131	0.794869	10.211281	14.253327	10.375047	12.60588	17.707107	4.209137	1.879976	5.435571	3.595747	27.590807	9.693687	36.695691	19.422763	20.034388	16.764027	6.396714	20.234574	5.203394	2.729946	5.336033	2.433853	0.305672	3.50701	3.145759	10.608792	8.342355	12.825024	41.174629	23.007875	27.446311	8.032554	24.181395
Niben261Chr02g0529004.1	Calcium-binding protein pbp1	5.408902	23.057119	7.722028	21.46164	19.795245	7.808871	4.944682	4.414945	28.924644	12.962152	19.079726	15.642396	2.445519	3.571945	4.757831	4.608179	2.686518	4.696307	2.104464	8.689114	11.814712	8.210926	4.3082	1.174775	8.228437	24.824527	10.864538	26.324032	22.056398	8.002405	5.405142	7.800913	23.158867	4.398306	3.192849	8.670566	2.220105	1.098081	0	1.381359	2.393537	3.488868	2.312997	53.623531	15.034684	17.732317	7.157264	19.275662
Niben261Chr02g0550009.1	Ethylene-responsive transcription factor 3	48.857412	32.419153	51.973773	34.630809	27.805515	15.117141	24.637927	24.82647	56.942257	29.373127	32.898258	25.956092	20.645678	16.455201	19.47404	9.316111	7.57173	12.354785	13.914837	16.919016	19.089743	15.870867	13.13309	16.557299	40.05788	43.415959	35.481597	62.88959	22.505865	19.204768	33.486708	31.492663	67.172746	25.7499	28.684301	32.548414	30.815246	25.324845	28.05725	11.555114	11.778079	16.64315	26.620723	25.207278	26.743551	36.682306	27.631426	38.648797
Niben261Chr02g0664004.1	abscisic acid 8'-hydroxylase 1-like	2.447664	1.787609	1.712655	6.520819	5.17883	2.92917	2.594206	2.167323	9.08451	0.3766	0.260031	0.18627	0	0	0.180485	0.107189	0	0.077291	0.450388	0.514834	0.50604	0.484484	0.29136	0.595937	2.08234	2.317828	1.123925	14.951782	3.110264	3.540574	3.526469	2.062196	10.033489	0.532368	0.07684	0.209735	0.040197	0	0.075895	0.037621	0	0.06071	0.798866	1.582753	0.605983	0.279451	0.16706	0.586415
Niben261Chr02g0830006.1	Protein kinase 2b, chloroplastic	25.804318	24.284088	25.431014	24.49029	14.378271	10.02581	12.980001	11.818556	22.128895	16.789109	15.833037	16.975478	11.865902	10.252558	15.851379	9.53678	7.236552	14.253401	16.547252	19.401879	21.529162	12.373635	13.20819	11.378608	20.50267	28.394573	21.945832	29.046738	12.394716	10.273471	20.558645	14.844146	42.697261	19.549532	16.324437	21.200952	15.948765	19.948762	15.229414	9.034286	11.062039	14.774132	27.619704	32.207203	35.36522	41.189817	25.824998	37.93153
Niben261Chr02g1456007.1	Cellulose synthase	17.758342	29.230218	25.130689	31.945434	25.755919	20.286034	12.469117	15.450681	21.620677	17.292325	20.075481	20.368236	14.518656	13.929803	12.717651	10.548449	12.674422	20.263271	20.160531	18.659278	21.677377	9.682281	8.693072	9.707736	13.683023	24.344618	23.894966	36.825431	20.288461	20.774902	19.311741	21.558023	24.671094	14.016549	14.359238	14.939564	11.694369	10.077374	12.275171	9.121125	15.257735	15.346746	16.311088	22.908656	26.570818	21.732047	10.97837	20.619711
