Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
Niben261Chr01g0193012.1	Xyloglucan endotransglucosylase/hydrolase"	NA	NA	NA	NA	NA	NA	-1.04531990578708	NA	NA	NA	NA	NA	NA	2.61012078402782	2.09561725485139	-1.50352279591414
Niben261Chr01g0691021.1	transcription factor TCP20-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.09248452906561	NA	NA	-1.27058768953373
Niben261Chr01g1078011.1	LEA_2 domain-containing protein"	NA	NA	NA	1.56739803930967	1.28429230997388	1.80951514872704	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.01934088402869
Niben261Chr01g1260005.1	transcription factor MYB44-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.58903854278
Niben261Chr02g0389013.1	Xyloglucan endotransglucosylase/hydrolase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.12251304552658	2.47733447011919	1.83063444098001	-1.11047845403609
Niben261Chr02g0529004.1	Calcium-binding protein pbp1"	NA	NA	NA	NA	NA	NA	-1.55360209376404	NA	NA	NA	NA	NA	NA	1.63356688999805	NA	-1.97515134527132
Niben261Chr02g0550009.1	Ethylene-responsive transcription factor 3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.636513616757075	1.3602562745008	1.27096312700161	-0.95690154928149
Niben261Chr02g0664004.1	abscisic acid 8'-hydroxylase 1-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.98758553230227
Niben261Chr02g0830006.1	Protein kinase 2b. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.661687140734526	1.51633257568813	1.28523757553641	NA
Niben261Chr02g1456007.1	Cellulose synthase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00025082849099	NA	NA
Niben261Chr03g0010005.1	Avr9/Cf-9 rapidly elicited protein 194"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.18657714731943	1.16161143390371	-0.626907417745402
Niben261Chr03g1054003.1	dehydration-responsive element-binding protein 1A-like"	NA	NA	NA	NA	NA	NA	-2.29143671944907	NA	NA	NA	NA	NA	NA	4.46093033858381	3.51010387118675	NA
Niben261Chr03g1073005.1	Regulator of gene silencing"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.919938877044276	0.915151803173513	0.934205177097663	-0.985309005660777
Niben261Chr04g0147002.1	NAD(P)H-quinone oxidoreductase subunit 2. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr04g0254001.1	LEA_2 domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.779104979122531
Niben261Chr04g1368003.1	WRKY transcription factor"	NA	NA	NA	NA	NA	NA	-0.963730327745655	NA	-0.737357979620894	NA	NA	NA	NA	2.1809824271755	1.79263976935817	-0.808909984253698
Niben261Chr04g1651012.1	Calcium uniporter protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.81115753334739	1.55454994465812	-1.18327377380615
Niben261Chr05g0076002.1	Protein EXORDIUM"	NA	NA	NA	NA	NA	NA	NA	1.53508972369313	NA	NA	NA	NA	NA	1.78397505293691	1.79650354284498	-1.32734091633778
Niben261Chr05g0076005.1	Protein EXORDIUM"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.87887357911475	1.65270630059081	-1.47743421768618
Niben261Chr05g0412008.1	Protein ROH1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.16035061798707	0.862592495956105	-1.10188371504322
Niben261Chr05g1107021.1	zinc finger A20 and AN1 domain-containing stress-associated protein 5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr05g1282006.1	abscisic acid 8'-hydroxylase 1-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.63381877497455
Niben261Chr06g0473004.1	LEA_2 domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.44161813016067	1.11046299358843	-0.895838507767675
Niben261Chr06g0703002.1	Cellulose synthase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.29645423068258
Niben261Chr06g0863004.1	dehydration-responsive element-binding protein 1D-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.7069413223202	4.63713040601967	-1.61790206356079
Niben261Chr06g0943008.1	Ethylene-responsive transcription factor 5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.78177581348093	2.17992251320409	1.85154190194205	NA
Niben261Chr06g1352003.1	beta-1.4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase"	NA	NA	NA	NA	0.864801528308914	0.923695128530325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr06g1487001.1	Xyloglucan endotransglucosylase/hydrolase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.42936547925977	2.35029654957068	1.92699134340343	-1.21848461722198
Niben261Chr06g1487005.1	Xyloglucan endotransglucosylase/hydrolase"	NA	NA	NA	NA	NA	NA	NA	NA	-1.70419133440182	NA	NA	NA	1.08286668387782	1.77609850290441	NA	-0.861122920148177
Niben261Chr07g0097002.1	serine-rich adhesin for platelets-like isoform X2"	NA	1.13266213270918	NA	NA	0.914334081891139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.713712196962229
Niben261Chr07g0847003.1	WRKY transcription factor 6-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr07g0980005.1	senescence-associated carboxylesterase 101-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.51617258640133	NA	NA	NA
Niben261Chr07g1142008.1	Serinethreonine-protein kinase ctr1"	NA	NA	NA	NA	NA	NA	-1.01583399788386	NA	NA	NA	NA	NA	1.26684476052078	2.0478107915157	1.95018854986188	-1.16245208142575
Niben261Chr07g1478006.1	xyloglucan glycosyltransferase 4-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00208911993257	NA	-0.910458319147195
Niben261Chr08g0040004.1	LEA_2 domain-containing protein"	NA	NA	NA	NA	1.07282290662737	1.35766227255066	NA	NA	NA	NA	NA	NA	NA	1.24867733893229	NA	-0.916789451931283
Niben261Chr08g0383006.1	NAC domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.746897703316291	0.624807206606954	NA
Niben261Chr08g0552004.1	Ethylene-responsive transcription factor 5"	NA	NA	NA	NA	NA	NA	NA	1.30475381694858	0.657814708028805	NA	NA	NA	NA	1.67965026081943	1.88331006814417	-0.843937647952994
Niben261Chr08g1177001.1	Poly(A)-specific ribonuclease"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.02737733245636	1.15596547335791	-1.01073439155787
Niben261Chr10g0188006.1	Chr2:19317505-19319252 FORWARD LENGTH=493"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.08898952113388
Niben261Chr11g0889003.1	Protein EXORDIUM"	NA	NA	NA	NA	NA	NA	NA	1.08809245206409	NA	NA	NA	NA	NA	2.07308514461182	1.82546218101575	-1.40304522194138
Niben261Chr11g0889004.1	Protein EXORDIUM"	NA	NA	NA	NA	NA	NA	NA	1.5001825538098	NA	NA	NA	NA	NA	2.42306352854506	2.15752981375405	-1.85866393461524
