GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr02g0044006.1	2.231091	3.445068	2.053376	3.174785	2.358183	2.86979	3.439068	5.459115	2.033677	9.945832	13.673969	9.196218	7.262606	11.881687	10.844668	13.372186	11.233844	5.868755	2.868299	2.64426	2.706169	1.328293	1.220011	0.540503	0.263965	0.735492	0.196294	0.94506	0.541453	0.365375	0.979423	2.29864	1.705122	6.041335	14.564203	17.230831	17.769261	4.637203	20.940924	39.224309	28.778493	19.630124	4.466509	7.671756	9.599554	2.78509	1.949456	4.050615
Niben261Chr04g0027004.1	1.977293	1.607783	0.268965	1.590645	0.75942	1.428438	2.096745	5.692672	0.45666	27.052187	114.654412	38.258556	59.094847	44.698655	73.811482	33.279012	24.353765	5.024042	1.483814	3.002953	3.146273	0.406287	1.85866	0.286176	0.047418	0	0	0.365658	0.11739	0	1.676342	2.92552	1.997954	27.899826	90.478367	125.612443	81.960651	19.857572	93.549994	153.554095	203.869265	77.328948	7.032445	9.64703	11.572	16.280563	3.410629	14.55164
Niben261Chr05g0190002.1	9.715474	21.287066	11.851807	17.194078	13.377054	13.376764	10.351975	18.036557	7.492504	11.306842	26.014058	13.753313	13.781446	21.302561	18.324914	18.978365	23.623606	13.483075	6.337662	6.519528	10.334279	6.90405	4.688082	3.863998	3.709196	7.315734	3.680031	12.481028	8.39602	5.631686	11.404222	16.680245	12.267434	30.293686	64.471667	72.898028	64.937944	46.801952	75.524666	156.896029	214.203509	132.069922	26.070679	30.713324	56.855109	13.506592	19.814005	14.738446
Niben261Chr06g0030015.1	233.431584	356.440907	204.56211	343.378548	330.414694	308.434352	343.121016	302.615096	310.998383	623.349525	657.37916	567.382101	710.697628	612.563695	667.876292	526.793785	583.643594	443.58055	289.899516	339.064924	440.144441	453.79778	324.636867	385.816597	235.417725	291.476377	222.410585	669.283559	370.594796	396.516622	384.102007	380.38494	351.675036	606.933433	901.352289	844.588124	1263.762299	659.271898	1132.050633	1799.000866	1461.279159	1215.46628	739.605446	644.100221	799.105525	680.650026	749.142043	732.423776
Niben261Chr06g0470008.1	4.208658	4.584189	9.84151	3.225737	3.013445	2.185617	2.669154	5.926019	6.133882	6.611135	8.488132	5.987382	5.396555	4.38293	6.442505	8.183503	9.126849	5.400246	2.634397	4.018748	3.264746	3.026251	2.957032	3.170294	5.192114	3.657059	22.27089	1.779455	4.449807	2.42444	2.619899	4.74205	2.03917	8.492003	9.038428	8.373522	6.791437	9.295185	6.399612	17.77446	20.002568	15.444787	2.877658	3.616944	3.514388	8.425151	9.389111	8.222569
Niben261Chr07g1055007.1	0.200958	0.162616	0.078347	0.295267	0.210679	0.437992	0.47716	4.313228	0.565341	6.310335	35.254735	8.553526	17.744712	5.784528	18.606286	1.554961	2.815915	1.177205	1.030687	0.940084	1.842705	0.394495	0.429693	0.599156	0.034531	0	0	0.366139	0.188072	0.052829	2.491354	2.336246	2.838968	16.897776	53.180121	62.897238	54.531743	14.611064	55.799502	81.787866	126.938603	60.258991	11.926646	8.833231	14.210373	5.850897	1.28067	6.416037
Niben261Chr08g0015001.1	41.700995	47.196681	39.415354	59.132594	68.019651	57.061454	56.861451	58.370484	55.050919	57.228543	66.66226	51.301666	69.473406	52.746774	70.430218	68.358123	95.90651	61.879767	74.615237	89.19196	74.529563	49.893173	53.117046	55.716596	33.612229	32.810666	34.886723	60.245867	73.056159	56.487641	67.989562	77.817809	79.390986	68.540277	86.991364	63.008273	86.93111	71.346458	84.578667	140.200081	196.488246	107.533151	90.25647	111.354178	112.973681	95.516327	72.423423	93.104994
Niben261Chr10g0062001.1	0.202806	0.289633	0.131751	0.593288	0.78864	0.529944	0.109315	0.227842	0.210034	0.30634	0.574908	0.335688	1.714566	0.95199	0.995274	0.928848	2.592329	1.249741	1.232907	1.705254	1.138612	0.751464	0.914041	0.922933	0.0697	0.090608	0.110062	0.604251	0.384773	0.204464	0.192863	0.157375	0.389687	0.201523	0.94556	0.94243	2.546027	0.791455	2.397373	8.306272	12.610316	4.663085	1.656847	1.576221	2.133499	1.511156	1.331934	1.37935
Niben261Chr10g0158009.1	0	0	0	0	0.024147	0	0	0	0	0	0	0	0.026983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023665	0.028246	0.026351	0.022766	0	0	0	0	0	0
Niben261Chr10g0215001.1	0.088982	0	0	0	0	0	0.169024	0.161965	0.08835	0.604914	0.122755	0.351407	0	0.219541	0.222331	0.413109	0.784307	0.74788	0.264991	0.227049	0.168812	2.183458	0.684943	0.899706	0	0	0	0	0	0	0.066188	0.184359	0.188558	0.999835	0.815388	0.115801	0.37267	1.261753	0.685677	0.491044	5.573582	0.923475	0	0.137236	0.175595	0.63771	0.309307	0.799012
