GeneID	Description	GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr01g0031011.1	Adenosine kinase	28.918516	41.439369	33.68895	54.064566	50.048533	58.447128	49.764418	52.598371	44.692182	52.968525	55.036701	48.681785	41.306796	45.495951	44.118492	34.569467	38.326911	44.348554	41.801947	38.34492	37.28191	31.324739	34.279248	42.70879	30.206753	36.218173	25.420383	49.001428	47.492108	55.662002	69.887111	53.484013	75.26455	47.993669	58.313175	42.878629	43.264747	38.207204	53.253024	40.312162	43.314355	40.153451	38.423255	37.261876	33.275568	36.017774	24.832324	32.131327
Niben261Chr01g0249008.1	trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM1-like	6.060667	6.565792	6.116227	16.15321	14.879516	12.584425	13.072928	15.459085	9.181648	17.506591	20.279468	16.730311	18.812985	16.257041	16.32235	12.319078	8.19524	11.209759	16.314352	18.887892	15.096776	10.024761	11.209172	11.000098	6.833239	7.076112	6.436611	24.368937	16.814128	21.6651	96.126886	21.301234	107.942663	13.922353	32.975149	15.869261	21.227801	11.38845	19.806229	8.433755	12.235199	12.969387	20.866815	13.371976	15.27434	15.631056	11.26415	15.568803
Niben261Chr01g0351010.1	cytochrome c-type biogenesis ccda-like chloroplastic protein	8.516807	10.240258	8.538514	9.40973	9.877992	9.714921	8.99029	9.51029	12.563417	14.380138	10.707615	10.984547	10.993406	10.839461	11.145308	9.264016	10.686394	9.450963	8.942658	10.70217	9.371867	14.892583	13.869421	15.546548	9.883495	10.308165	10.072174	17.944249	14.10218	11.76989	16.943715	15.13513	14.934256	14.112153	14.618972	15.856565	14.812769	13.603542	13.097195	13.725317	12.566944	12.985598	14.137496	11.611696	10.090521	14.528719	16.569866	14.560842
Niben261Chr01g0421004.1	heterodimeric geranylgeranyl pyrophosphate synthase small subunit, chloroplastic-like	0.084714	0.082989	0	0	0	0	0.680478	4.069238	0	0	0	0	0.241336	0	0.110769	0	0	0	0.126141	0.094621	0.161524	0	0.140211	0.527215	0	0.136281	0.075775	13.328816	1.076142	5.568054	497.346503	16.638466	270.1457	2.431556	21.662087	2.978232	0.859552	3.918732	1.424835	0.345596	1.940306	1.226017	5.57413	0.259927	1.185706	0	0	0
Niben261Chr01g0450010.1	Cytokinin riboside 5'-monophosphate phosphoribohydrolase	4.748143	2.599243	4.292849	3.844416	2.322714	2.40834	2.127077	3.963567	2.936452	3.78632	5.412202	4.5815	4.006957	3.538516	5.17378	2.992736	2.814255	3.791585	3.003922	2.676708	1.894895	3.143096	3.731288	3.998292	3.143079	2.492689	3.02288	2.624654	3.637545	3.18898	7.699169	7.495234	7.533788	4.910227	7.013	5.379978	3.363649	4.759796	3.739554	3.751396	4.372145	3.642485	3.003229	4.099553	1.793771	4.991557	3.64834	3.632276
Niben261Chr01g0794004.1	Unknown protein	2.756887	3.480173	2.902558	3.739499	4.118591	6.083788	3.92761	3.889033	6.296845	6.158039	4.183074	3.62953	4.602802	3.174878	5.051501	3.199804	4.673063	4.002743	7.662789	7.738763	6.537802	5.41237	6.189628	8.362589	5.683858	5.322077	2.465963	8.220049	3.940113	6.813187	9.131407	7.425914	9.055158	5.88487	4.593952	1.793904	7.505095	2.759468	5.311027	6.085545	5.441339	6.948561	5.092432	5.529483	10.066139	7.903177	4.473091	6.876533
Niben261Chr01g0896008.1	Non-specific serine/threonine protein kinase	4.321613	2.916956	3.575067	2.72891	4.029239	2.842836	2.903104	2.833793	2.878034	1.545451	1.599473	2.299229	3.750727	2.947289	3.827828	1.712691	1.506433	2.778464	3.295846	6.185895	5.649391	3.207102	4.29332	5.574722	3.857907	3.348906	5.185334	4.13759	8.878146	6.539231	10.24709	7.91167	7.219699	3.908306	3.366924	2.811969	5.517983	5.846652	4.101656	3.247585	1.814512	3.875488	6.273658	8.38254	8.371951	4.579531	8.54895	7.519108
Niben261Chr01g0976002.1	UDP-glycosyltransferase g26396	2.698998	2.586359	2.242965	10.114752	13.766137	7.836897	11.501686	12.718173	12.517683	9.794966	10.631306	13.089875	11.232803	10.339169	10.795946	9.439064	8.885014	11.315254	11.651193	10.360506	13.575845	25.689827	24.238379	25.494585	2.123623	1.971008	2.477714	20.858121	16.116328	16.505912	43.480962	20.111526	31.381269	9.576976	8.017329	7.995494	11.56414	9.064327	8.565504	11.301457	10.878487	9.819625	18.258309	12.51537	19.832955	21.347368	18.311221	20.586178
Niben261Chr01g1081002.1	caffeoylshikimate esterase	10.260059	13.695109	18.256644	16.461076	16.964279	15.653309	17.149102	21.174065	15.869705	17.516849	18.275561	14.65891	15.261957	18.863131	21.363841	13.271721	10.902032	12.157873	11.755409	10.378426	9.948891	11.84457	9.906214	10.82492	7.302403	9.294344	10.08771	19.669692	16.325676	14.162365	40.470029	20.422028	45.592188	17.653039	24.37171	21.440428	19.086818	16.273678	21.045829	8.643778	10.159794	10.917857	15.948552	15.10512	18.056941	14.428542	13.996258	16.562449
Niben261Chr01g1082012.1	ADP,ATP carrier protein	2.520779	3.634231	3.613154	8.552289	6.044937	5.58934	6.66509	8.188556	5.637508	13.294942	15.500226	11.272211	12.358509	11.421501	10.34629	6.692031	6.838536	6.674897	5.753612	5.943881	5.331122	6.625095	7.517728	7.213044	2.837965	3.382291	2.669339	7.678896	6.765327	6.987353	20.929809	8.507186	18.406618	10.529051	14.634302	11.48852	11.340295	6.928031	12.164303	6.332947	7.532826	6.801196	6.520636	4.616876	6.164957	10.319774	8.964118	9.828175
