GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr01g0039004.1	0	2.571666	3.097531	2.394593	0	2.886065	1.676883	2.008564	0	4.286673	4.871386	5.229445	3.87812	3.630097	3.676237	4.098445	5.985458	11.466815	3.943457	1.501698	6.699116	10.397779	7.361581	8.239354	2.730463	2.130228	6.31702	2.631932	2.703842	4.177298	3.93991	4.26771	3.741365	1.983868	3.677021	1.148854	0	2.209027	0	4.871641	4.544825	3.926476	0.905917	2.723034	3.484148	6.326703	7.160131	2.642327
Niben261Chr01g0095007.1	0	0	0	0.168881	0.10915	0.172996	0.071088	0.033372	0.076524	0.401718	0.463035	0.387296	0	0.15431	0.063081	0	0.131479	0.341528	0.220218	0.339113	0.073284	0.334047	0.392555	0.430445	0.320745	0.11766	0.146752	0.130945	0.111171	0.041298	0	0	0	0.087186	0.188765	0.189238	0	0	0.168474	0	0.126029	0	0.334715	0	0.221061	0	0.207678	0.08258
Niben261Chr01g0342005.1	9.190433	3.324742	3.864087	4.602989	4.439648	3.33845	5.362787	5.220822	4.532781	6.183666	7.540911	6.128224	9.552559	6.273961	8.655047	9.342299	2.891649	6.15019	11.120729	10.371424	12.022639	29.243603	24.621725	19.622351	9.908886	2.464138	3.223765	2.566916	1.901129	1.200125	10.991576	5.351511	5.155194	3.577244	4.903904	3.048733	4.213891	1.703525	6.526543	1.160201	0.618496	1.825683	5.177947	3.057222	5.15639	12.053838	5.568046	10.607874
Niben261Chr01g0495008.1	74.949199	85.646839	72.258366	92.228551	93.334295	81.279766	97.918005	107.329096	95.277872	199.033948	180.108004	216.467994	189.812887	213.076785	169.784765	167.606438	190.456378	198.432675	192.681742	212.153883	185.600478	288.008217	286.740181	272.185455	50.279401	45.273431	45.228623	50.288102	46.161546	37.610084	41.264629	40.100121	43.410332	66.873773	69.548102	65.523328	80.408077	67.173638	88.492073	51.762737	59.21615	51.15569	72.001434	60.86873	68.880919	68.924703	66.959848	72.603044
Niben261Chr01g0689001.1	0	0	0	0	0	0	0	0	0	0.709071	0	0	0	1.200929	0.608097	0	0.495036	0	0.724776	0	0	1.433271	0.468346	0.567873	0	0	0	0	0.372708	0	0.543093	0	0	0	0	0	0	0	0	0	0	0	0	0.563031	0	0	0	0
Niben261Chr01g1322010.1	0.188446	0.190427	0.10182	0.219054	0.254067	0.175941	0.127817	0.12585	0.400946	0.287372	0.482178	0.433423	0.462837	0.265629	0.291403	0.187338	0.23724	0.102828	0.240469	0.297872	0.331828	0.633963	0.517711	0.37683	0.194249	0.281353	0.144298	0.160514	0.171754	0.226392	0.191056	0.167296	0.256566	0.211729	0.179138	0.139792	0.084112	0.202055	0.124466	0.445539	0.264606	0.299321	0.248621	0.352803	0.265514	0.320097	0.405504	0.402667
Niben261Chr01g1618010.1	13.601887	13.80546	16.873783	19.240006	15.427122	15.272422	18.56594	16.418647	13.81945	27.387916	28.120705	32.618554	32.011263	35.49518	35.054653	33.867601	34.25372	38.507613	37.711149	39.565097	30.835157	42.708417	46.012134	41.026196	12.214655	13.316191	14.723677	12.355955	15.137009	13.033551	11.973872	14.508291	10.942409	21.952645	23.797697	25.324296	27.473402	27.995119	27.758329	28.461213	27.817844	27.373033	17.509403	23.299286	23.381655	15.817939	19.496652	17.434663
Niben261Chr02g0079006.1	0.182944	0.157473	0.059459	0.472061	0.273625	0.336404	0.374765	0.415981	0.564308	0.584421	1.08699	0.798552	0.513531	0.647302	0.557989	0.687363	0.655997	0.811122	0.661084	0.797436	0.905547	1.138784	1.354262	0.802472	0.26427	0.237042	0.09348	0.313527	0.572846	0.372621	0.338567	0.28963	0.436625	0.50618	0.645993	0.450018	0.55712	0.588808	0.410381	0.287065	0.601391	0.462594	0.476363	0.489746	0.390811	0.921474	0.68965	0.83081
Niben261Chr02g0097004.1	0.765147	0.866822	0.745767	1.037747	0.902427	1.459193	1.453426	1.160605	0.759716	3.839289	2.990751	3.861088	2.464976	2.831723	4.46089	1.92416	1.556355	2.143657	4.43069	4.989409	5.564473	5.632622	5.398964	6.447094	1.051826	1.230906	1.711009	1.520804	1.822749	1.542125	2.371449	1.14493	0.945817	2.865838	2.974561	3.153241	2.937515	2.765616	1.670559	2.58039	1.64133	3.214174	2.748189	2.65519	3.397341	2.284842	4.432849	5.343838
Niben261Chr02g0137014.1	5.792837	6.521906	6.649695	5.871184	6.502016	5.607763	5.181615	6.439488	5.420886	8.298581	9.24568	8.836086	8.404268	8.487511	7.700209	9.034636	9.124751	8.239633	8.282556	10.254767	8.241453	11.336482	10.986405	10.059757	5.487312	5.371893	5.840358	6.06354	6.679009	4.549849	4.86731	6.127712	5.84865	7.33096	7.356815	8.562724	8.408512	8.065682	7.474787	7.289406	7.833151	7.305301	6.051189	7.410815	6.705673	6.45899	5.341876	6.551195
Niben261Chr02g0142016.1	0.510337	0.434693	0.444478	0.524777	0.613035	0.321311	0.427135	0.560336	0.700105	0.742689	0.626526	0.738295	0.872386	0.583608	0.894874	0.859461	0.97909	0.811483	0.704362	1.053965	0.846083	1.265166	1.335505	1.409174	0.530774	0.748634	0.509681	0.708654	0.658937	0.652764	0.810198	0.738612	0.733121	1.199583	0.843159	0.669547	1.032432	0.907904	0.852433	1.153399	0.960652	0.958306	0.632037	0.854546	0.863339	0.831263	1.218376	1.063174
Niben261Chr02g0275001.1	2.819962	2.143022	1.720824	5.8201	6.459017	4.609502	7.918492	4.84816	7.425758	9.52571	3.551997	5.084104	5.81709	4.840054	4.799457	2.846098	2.078252	4.028312	5.598648	8.968266	8.141088	21.059964	15.572334	16.116078	1.769717	2.169803	2.083707	5.483106	7.197576	5.866131	3.921608	6.265984	5.715191	15.673913	8.375306	7.340449	10.399723	12.067587	7.747273	2.819193	2.52527	4.544462	11.323788	9.171621	10.041552	8.896788	9.092089	8.807619
Niben261Chr02g0505007.1	1.427242	1.596624	1.936562	3.132586	2.396578	2.368732	3.143742	2.969537	2.375827	4.136792	5.13947	4.011786	4.079818	3.829463	3.531854	2.765586	3.255391	2.790697	5.185781	4.363357	4.546142	4.84448	5.391294	5.483309	1.168503	1.497648	1.574691	2.894278	2.405028	1.892505	2.223306	1.748846	2.483847	2.806274	3.345543	2.982837	3.261827	2.532952	3.282466	2.504899	2.258814	2.304676	3.730658	3.055359	2.811558	3.264671	3.065611	3.926697
Niben261Chr02g0525014.1	0.45829	0.368155	0.325402	0.445142	0.710868	0.41646	0.23479	0.499385	0.556673	0.511959	0.484659	0.692924	0.368053	0.400406	0.36945	0.509582	0.677567	0.736759	0.839658	0.627232	0.846259	0.829993	0.910161	0.866319	0.490801	0.496506	0.526155	0.635135	0.402431	0.519798	0.574723	0.378879	0.397579	0.520279	0.43761	0.322857	0.333845	0.234343	0.342615	0.267462	0.277463	0.398962	0.468184	0.277231	0.439785	0.573271	0.854495	0.566388
Niben261Chr02g0559006.1	14.008351	16.050217	15.039001	28.355167	27.586471	21.470213	31.539897	25.353399	38.393039	29.459974	20.754085	25.185405	19.090684	20.041078	19.449237	15.370575	12.078737	13.19784	27.734452	36.301497	25.91882	57.477108	65.616405	73.798928	13.30748	11.159664	11.251392	16.753054	21.4477	19.092086	18.794425	20.811256	26.483125	41.75679	39.607619	27.077953	13.118607	36.309643	22.600649	16.736306	14.458232	19.641859	26.025869	31.153566	31.232744	26.531314	26.917908	31.102155
Niben261Chr02g0597011.1	1.555064	2.013381	0.606271	1.40606	0.407571	0.847323	0.984636	0.707636	2.058717	2.517064	0.715098	3.412432	3.643462	1.278919	1.295404	1.203269	1.757279	3.960709	2.830089	3.086196	3.933601	3.562611	1.99504	3.233385	1.603277	0.837091	1.390964	2.060562	0.264608	0.817611	1.156721	1.431956	0.549215	0.582446	0	1.349175	0.542739	0	0.798871	0.953512	0	0.768518	0	1.598915	0.511457	0.464367	2.402455	0
Niben261Chr02g0635015.1	43.167084	42.982798	50.328044	63.228793	60.763617	51.015806	58.892303	70.8739	53.485074	101.164957	90.777744	97.728549	101.64777	99.283761	100.545693	95.42778	106.066084	89.934947	110.736668	118.00329	98.421057	176.436501	179.252857	174.523536	42.478174	37.958642	52.436821	73.301655	56.163177	40.679848	56.667759	65.719606	49.806872	81.645598	83.196439	87.182346	110.121597	85.28598	90.242245	79.111356	85.535912	80.16945	87.704894	77.367009	91.095939	101.142715	116.618926	97.361153
Niben261Chr02g0774004.1	0.040487	0.039315	0	0.082368	0.254675	0.132364	0.153815	0.257934	0.1206	0.157281	0.446835	0.133244	0.177863	0.066595	0.101163	0.328944	0.164708	0.340292	0.281338	0.413237	0.192027	0.556356	0.857051	0.566826	0	0	0.036215	0	0	0.021287	0.060232	0	0.042898	0	0	0.05269	0	0	0	0.074476	0	0.030014	0	0.031233	0	0.072541	0	0
Niben261Chr02g0836001.1	0	0.276197	0.059288	0.175707	0.252945	0.275679	0.216134	0.150204	0.352301	0.27248	0.349745	0.165271	0.544787	0.658165	0.450838	0.672275	0.506181	0.580028	0.454501	0.585051	0.512633	1.04865	0.858388	1.26725	0.26145	0.107904	0.287646	0.151124	0.417036	0.318909	0.337073	0.113004	0.161113	0.361194	0.231521	0.463584	0.338926	0.404403	0.449139	0.494398	0.664641	0.635541	0.487207	0.529749	0.482396	0.875628	0.494904	0.305655
Niben261Chr02g0878007.1	10.728839	10.623942	12.175135	41.708006	48.275688	24.528283	73.044002	73.070515	61.923829	167.958528	121.706001	148.71403	139.89689	141.861967	107.54702	97.398592	87.366645	81.165591	58.289421	87.817541	87.259027	239.628305	236.965313	173.995767	2.518876	0.854415	4.560658	14.884348	9.001424	7.707189	14.696226	14.451704	13.055306	12.771168	14.247602	7.879717	28.249956	9.569628	32.958676	4.201037	3.281198	4.803302	12.970937	14.58061	9.956903	37.113837	27.569512	34.974388
Niben261Chr02g1039019.1	9.069095	12.16431	9.462638	11.503778	13.338233	9.812083	13.337521	16.270061	13.409942	22.240898	24.392416	25.637824	26.426837	27.419664	23.094864	21.279351	28.621651	20.838342	29.825537	32.796912	28.716959	40.537414	46.372498	37.552305	7.803078	7.137347	9.933313	10.056484	7.22741	5.968912	5.726796	8.255524	7.051204	9.750513	9.729132	9.50995	12.296573	9.850343	11.915591	9.181389	8.674685	9.624934	13.056178	11.723088	12.295982	12.274385	15.119796	11.782482
Niben261Chr02g1095016.1	4.300906	5.632634	5.358875	5.725333	7.181381	5.753656	5.319139	5.448921	5.463404	7.234297	7.439144	6.71425	8.659397	7.66669	7.567606	7.308303	8.556982	8.573607	8.776352	10.631317	10.872445	11.051648	12.281211	11.045542	7.516636	6.005398	7.98211	6.344363	8.633178	7.691044	6.356691	5.887432	6.042356	7.577626	7.440246	6.916798	8.351903	6.77356	7.036074	7.430941	8.47145	7.28541	6.318041	7.644974	8.499745	7.657287	7.745495	8.271687
Niben261Chr02g1386007.1	20.871577	12.01795	21.284432	46.730844	53.267496	29.888019	38.991054	49.568322	64.011452	64.830074	65.677536	103.231359	155.380417	107.956332	146.573453	87.339308	120.14032	116.278865	194.367429	204.114046	170.044558	233.220205	267.767794	213.282858	23.474922	10.891553	23.027768	38.527275	72.137596	42.579811	57.481518	91.460142	53.777647	89.011725	77.918546	93.047484	144.756264	143.374633	112.74917	83.092771	119.256342	84.265993	76.690624	112.133643	150.87963	137.451234	131.261768	144.133616
Niben261Chr02g1409007.1	4.164975	4.432469	4.303951	6.355576	5.195846	4.842104	5.509736	5.853226	5.533366	7.547677	7.727228	8.081259	7.974826	7.81596	6.621821	6.872515	6.776758	7.324519	7.676392	8.67216	6.495378	9.784486	10.899592	8.507028	4.649911	3.472506	3.942832	3.922288	4.782231	4.331116	3.331217	5.057467	3.953852	4.33328	4.481518	5.045841	4.625073	4.276239	4.347863	4.275662	4.648754	4.518886	3.6403	5.143197	4.557028	5.284814	4.765316	5.421927
Niben261Chr03g0016006.1	5.050131	6.934625	5.757249	15.118719	11.815665	10.746439	14.125652	14.656932	12.038908	20.313978	23.116099	23.761767	20.268716	21.453131	15.074375	19.258355	21.219252	23.208154	27.314992	32.917756	25.74365	35.484141	40.522151	34.518665	2.954043	3.2829	2.402361	3.497324	4.509177	4.673773	5.017193	4.071746	5.521229	5.153909	5.45312	5.834278	6.363286	5.259939	4.616607	5.475651	4.5534	5.499999	6.127003	7.176829	6.820598	7.616193	7.960228	7.033939
