Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
Niben261Chr01g1317004.1	Cysteine proteinase RD21a"	NA	NA	NA	1.41634090795315	1.10108623837415	1.55672444923136	NA	NA	NA	NA	NA	NA	0.637251142755395	0.748877384598933	NA	NA
Niben261Chr01g1754010.1	Protein nrt1 ptr family 5.7"	NA	NA	NA	1.12468882203167	0.817379323820358	1.25989333913772	1.4468446855237	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1772004.1	GDSL esterase/lipase CPRD49-like"	NA	NA	NA	1.2541893685487	0.86935639082678	1.21775143082787	2.0267774311133	1.71061735165688	1.65484777293807	1.76445232217803	3.05101018033709	2.03027007459195	1.79163040447828	2.36911028325657	2.35540215369916	2.70862717439889
Niben261Chr02g0084019.1	Lipoxygenase"	NA	3.0570538545422	NA	5.90365962845116	5.50474024089697	5.22985395470613	6.83862290044006	6.6667904240416	6.42237945060544	5.86712745200521	6.76995954660885	6.83455303396381	6.30549169786607	6.10918131058324	6.12159783689717	NA
Niben261Chr02g0093002.1	Cysteine-rich extensin-like protein"	NA	1.64948251175375	0.86831669134629	3.09208096306244	2.77283962291604	3.26331277010169	3.81171687636648	3.25910860826732	2.90430107243778	2.37202760060219	3.01515967228587	2.36298888444467	1.80552209224744	1.46635247370213	1.70914536904508	NA
Niben261Chr02g0405024.1	Protein-serine/threonine phosphatase"	NA	NA	NA	1.69592595586787	1.23441958796977	1.92999039645216	NA	NA	NA	NA	0.746993859251638	NA	-0.745874798382238	NA	NA	NA
Niben261Chr03g0099007.1	Protein STAY-GREEN homolog. chloroplastic"	NA	NA	NA	NA	NA	1.72297749872291	1.11682105034143	0.915951079839539	1.00058214879117	NA	1.00852033230263	NA	NA	1.34156518131025	0.981075578615704	0.735586905808798
Niben261Chr03g0555003.1	MLP-like protein 43"	NA	NA	NA	NA	NA	NA	3.18792069286272	2.72763334081565	2.67340873540115	NA	4.53959999071526	4.08797606457036	5.04954470419228	2.52365006305457	3.14405227084959	NA
Niben261Chr03g1904002.1	Proteinase inhibitor"	NA	1.58293322652717	NA	3.11191980772791	2.77041559508855	2.80944780035316	5.84164955422633	NA	3.25483250507912	3.10543212916243	4.90878097832748	4.908701569893	4.41141656887126	5.03006706312315	4.78582975057484	-0.813306201191384
Niben261Chr04g0011008.1	phospholipase A1-Igamma2. chloroplastic-like"	NA	NA	NA	1.49679210861672	1.29608242595322	1.54158767034329	1.0466074825978	0.759253383032685	0.946248314821083	0.710269966062249	0.828577218647829	0.702920634930252	0.660953256265906	1.039068410755	0.982994412668389	NA
