GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr01g0141019.1	0.250144	0.323868	0.29257	0.735071	0.065561	0.477044	0.158386	0.720914	0.662316	0.728798	0.115029	0.274408	0.586078	0.274298	0.555569	0.193555	0.282671	0.19113	0.289699	0.425518	0.632749	0.900257	0.641835	0.324262	0.171933	0.335343	0.372912	0.745779	0.510683	0.482167	3.659328	0.806193	3.092092	0.374763	0.486226	0.217025	0.523738	0.347748	0.449766	0.38345	0.429271	0.432677	1.283495	0.514396	1.234077	1.344542	0.966134	1.247874
Niben261Chr01g0513006.1	2.672568	4.626656	2.915108	6.174477	6.123851	5.142956	5.799516	5.522317	3.752932	8.050219	6.852106	8.589119	7.231639	7.79221	7.876417	10.32645	9.925316	9.339525	11.426152	11.514036	11.249907	11.390808	10.132177	10.03889	1.759734	2.237901	1.84968	4.504883	5.082733	3.722595	19.77354	7.873707	14.795417	6.42972	7.992386	6.22882	7.918746	7.450765	8.217036	8.378339	9.651584	8.367126	9.27602	8.422182	9.607658	11.556445	10.662681	12.373677
Niben261Chr01g0564004.1	0.064714	0	0.07569	0.131655	0.050883	0.052892	0.061463	0.294482	0.192764	0.125697	0.267828	0.212974	0.056858	0.319332	0.269492	0.150221	0.131632	0.197787	0.289081	0.055042	0.306931	0.381113	0.24907	0.402666	0.06672	0	0	0.385876	0.099105	0.408298	7.942584	0.804474	6.719532	0.581722	2.156398	0.757967	0.609823	1.29549	0.299205	0.416644	0.721859	0.911482	0.664097	0.499041	0.70238	0.115947	0.074984	0.645666
Niben261Chr01g0888003.1	0.720653	0.636169	0.229877	0.133282	0.206049	0.214183	0.248892	0.596245	0.195147	0.318126	0.271139	0.517456	0.633174	0.754319	0.327389	0.608314	1.154914	0.901043	0.162586	0.167168	0.12429	0.064304	0.042025	0.407644	0.27018	0.263484	0.293002	2.278769	0.401319	1.5156	43.079062	3.664889	34.984818	0.809757	6.985782	0.767337	0.342979	1.748674	0.807743	1.205127	4.721981	2.768252	2.756458	1.263026	1.680695	1.584639	1.062747	1.111202
Niben261Chr01g0967010.1	0.304755	0.221948	0.267225	0.619956	0.062738	0.346378	0.144737	0.451611	0.680811	0.171929	0.899713	0.501484	0.329447	0.786423	0.436058	0.175627	0.228531	0.931793	0.642493	0.677009	0.722871	0.373346	0.732377	0.597194	0.167926	0.393568	0.613284	0.98405	0.738872	0.589004	3.050458	0.800605	1.462599	0.282482	0.698007	0.510457	0.336141	0.381427	0.477422	0.44421	0.52295	0.534383	0.390519	0.352493	0.375383	0.493571	0.264838	0.235002
Niben261Chr01g1081002.1	10.260059	13.695109	18.256644	16.461076	16.964279	15.653309	17.149102	21.174065	15.869705	17.516849	18.275561	14.65891	15.261957	18.863131	21.363841	13.271721	10.902032	12.157873	11.755409	10.378426	9.948891	11.84457	9.906214	10.82492	7.302403	9.294344	10.08771	19.669692	16.325676	14.162365	40.470029	20.422028	45.592188	17.653039	24.37171	21.440428	19.086818	16.273678	21.045829	8.643778	10.159794	10.917857	15.948552	15.10512	18.056941	14.428542	13.996258	16.562449
Niben261Chr01g1138010.1	2.096446	1.526805	0.306502	2.132514	1.854438	0.214183	0.497785	2.362025	0.780587	0.254501	0	0.689941	0.690735	0.21552	0.654777	0.912471	6.129539	2.202549	3.902068	4.234919	5.717343	1.543297	0.672398	0.407644	1.891263	0.843148	2.34402	1.562585	0.668866	1.653385	5.078332	5.877283	6.814973	0.883371	1.964751	0.341039	0	1.092921	0.201936	0.723076	3.5977	1.16558	1.613536	2.627093	4.395664	3.286658	4.858273	3.660431
Niben261Chr01g1241001.1	1.275244	0.799265	2.237131	5.671254	5.06003	4.560143	4.845733	5.771492	5.064143	10.650336	8.567139	9.488532	6.575557	3.355666	5.205134	0.887648	0.864642	1.558761	3.797873	1.952354	2.416686	0.250339	1.063343	1.190233	0.525913	0.615453	0.684358	8.573389	1.236646	0.737656	16.684375	7.402755	25.356212	2.815309	4.143108	3.153042	0.93428	1.382716	2.947462	0.586452	0.54711	0.322956	1.700503	0.393391	1.824019	3.65571	0.443285	3.053614
Niben261Chr01g1363012.1	19.887829	13.580795	14.291745	16.313456	15.069976	13.799778	15.295492	19.744377	19.073442	16.506526	17.896635	15.048336	16.914017	14.149372	15.800678	12.929412	13.348389	11.437691	12.842476	16.025718	14.408568	21.08192	19.672362	19.444809	18.148787	15.152908	12.818181	25.819551	24.820836	26.192248	61.387778	38.313393	63.382132	47.178505	44.369966	50.146861	33.800978	57.423421	26.809316	28.429305	36.143371	36.965187	35.027851	29.1112	29.767019	31.459233	27.889962	33.122619
Niben261Chr01g1745004.1	0.124854	0.181858	0.438089	0.296338	0.638104	0.816362	0.830076	1.193114	0.123968	0.363763	0.602848	0.575252	0.548489	0.359388	0.415949	0.289825	0.084653	0.381593	0.43379	0.265485	0.592167	0.122548	0.120134	0.145663	0.128725	0	0.055839	0.992637	0.605481	1.050316	4.086342	1.077839	1.587444	0.701455	0.832076	0.73118	0.588272	0.156213	0.384841	0.114834	0	0.092555	2.498447	0.481404	1.847885	1.230346	0.289334	0.809703
