Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
Niben261Chr01g0038002.1	Actin T1-like protein"	NA	0.804112381306486	NA	NA	0.692256872514201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.871914664406676
Niben261Chr01g0039004.1	Acylphosphatase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0085001.1	DnaJ-like protein"	-1.03159387515431	-1.49339553495971	-1.21934402432903	-1.23110976482371	-1.30178106324015	-1.33385808891672	-1.69318182806877	-1.36934205617268	-1.35777206140599	-1.35754403029587	-1.71504287295889	-1.75605963287401	-1.82160536923231	-1.41171770701203	-1.55341298927666	NA
Niben261Chr01g0234004.1	chorion class high-cysteine HCA protein 12-like"	NA	NA	NA	NA	NA	NA	-0.914146741643021	-1.03080648116435	-0.878208540059165	-1.01190712342939	-1.16524092546007	-0.924961323601729	-0.799785533106409	NA	NA	NA
Niben261Chr01g0342005.1	NAC domain-containing protein 72-like"	NA	-1.30688226084814	NA	NA	NA	NA	-0.797346746461774	NA	-0.848220911023495	NA	-2.51313834925064	NA	-1.39793043040171	-1.38746117578081	-1.36531882757539	-1.22357516148053
Niben261Chr01g0397005.1	Protein translation factor sui1-like protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0430011.1	Imidazole glycerol phosphate synthase hisHF"	NA	NA	NA	NA	NA	-0.778724788420396	-0.840338045037726	NA	-0.720480221339796	-0.702954578301086	-0.904184941470354	-0.77903255779797	-0.660966206617043	NA	NA	1.04059452270591
Niben261Chr01g0495008.1	Heat shock protein 90"	-0.643298391151875	-0.896722320470433	-0.702325006570383	-1.11029044057605	-0.998967223343979	-1.20077939757154	-1.42448505189959	-1.15403104136934	-1.1983037210832	-1.24486657302972	-1.55680245059176	-1.58002123875992	-1.58593851735923	-2.00743624894224	-1.90515247140269	NA
Niben261Chr01g0554008.1	protein RETICULATA-RELATED 1. chloroplastic-like"	NA	NA	NA	NA	NA	NA	-0.60090110367351	NA	NA	NA	NA	NA	-0.668982790803004	-0.811462943391832	-0.789040911933112	NA
Niben261Chr01g0581002.1	Transcription factor-like protein dpb"	NA	NA	NA	-0.803184658317737	-0.647636912381755	-0.841281113335244	NA	NA	NA	NA	NA	-0.601946560095442	NA	NA	NA	NA
