GeneID	Description	GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr01g0138015.1	60S ribosomal protein L11	49.471764	69.412363	50.508477	65.420824	57.359368	64.598584	62.448976	52.46046	49.846631	70.343963	72.993937	64.460596	60.21393	63.939754	72.180039	52.972527	54.514332	59.59776	47.547323	46.50923	43.145388	58.234391	58.70732	70.613327	52.443451	67.604217	49.249985	64.578895	46.491679	62.192401	48.039312	42.76116	44.238537	54.755737	56.870568	43.711878	65.769491	48.8851	67.814964	55.409159	49.821049	51.225743	55.053659	42.996614	45.902426	59.347934	58.527433	59.643463
Niben261Chr01g0550006.1	60S ribosomal protein L3-like	58.216366	74.149032	64.209908	48.198369	39.212809	47.093545	43.476075	40.093106	40.097642	51.499921	56.785587	50.552959	50.90291	54.274692	50.646969	44.044636	41.230612	47.691254	30.774148	36.465364	32.926264	37.043459	38.941509	43.184263	60.925508	69.761994	61.302198	39.876939	40.463209	41.184515	28.380811	30.575648	31.144329	34.535754	38.608147	30.359601	43.044312	34.722686	46.060376	32.614348	29.980421	31.243216	24.738117	28.184312	26.036261	34.552702	33.517104	35.195058
Niben261Chr01g0565004.1	60S ribosomal protein L22	144.990146	232.306326	157.978457	164.303028	126.30286	180.249518	155.826559	144.283572	143.203384	154.520679	178.440104	206.184727	190.74966	202.398916	221.814096	207.697923	171.518577	197.662285	145.065312	130.13589	133.191198	128.081284	137.795924	143.634075	133.356725	182.915878	154.945283	90.625724	140.431806	150.858914	135.663529	147.038562	133.004466	143.195549	159.562193	143.503649	170.587308	163.90313	196.992317	159.323582	175.808738	155.28313	108.85127	166.832776	160.755096	175.0079	167.556924	156.080744
Niben261Chr01g0589014.1	40S ribosomal protein S5-like	161.901425	207.407019	153.184997	140.74551	149.133594	157.463486	144.716197	128.576403	112.847347	132.744622	145.892609	125.846679	154.761237	147.131436	171.620426	141.788056	153.799255	147.104805	110.256842	100.27137	116.408313	109.911569	120.519215	133.471099	158.193376	207.314461	160.756059	163.225053	138.941968	159.48972	122.110017	110.395607	125.253914	128.895138	150.083569	113.168252	182.977261	132.150237	178.873001	149.301688	161.815995	144.276841	160.303587	123.094895	125.0809	146.570315	144.558311	141.651126
Niben261Chr01g0596001.1	60S ribosomal protein L21-like protein	152.933236	183.863568	135.785934	106.209398	112.126916	116.446729	99.845567	102.495261	89.30832	116.326893	121.950122	116.641329	133.456856	147.413261	140.760167	154.519966	140.588338	165.064563	105.662796	95.331355	96.641061	97.324068	108.998228	115.003292	152.825635	161.313211	129.183392	98.123364	107.890446	110.378618	81.044971	90.235566	87.837609	112.010572	121.772644	113.074189	142.23488	143.041122	156.765331	128.294786	141.216486	138.986262	109.466645	117.994904	116.254654	113.816879	120.643961	120.385771
Niben261Chr01g0698010.1	40S ribosomal protein S15-like	103.755505	132.331092	103.020926	100.230755	72.984812	87.504384	74.063013	70.179832	63.291699	90.966502	118.778422	102.747595	104.082656	123.593205	145.88292	100.492767	82.514397	97.86568	72.930895	80.296439	54.917123	53.904256	65.338627	77.108426	80.541704	94.948399	66.671072	46.581879	73.596367	78.342161	55.852662	59.773799	56.312779	89.730263	116.032357	108.967112	113.270486	106.324127	156.986297	87.655133	102.372675	90.545135	69.763334	69.433529	75.100235	65.446938	73.749877	75.402511
Niben261Chr01g0825004.1	40S ribosomal protein S18-like	151.199602	190.582607	164.459428	138.590468	113.36402	162.68744	144.76659	126.974158	108.517611	145.916414	167.295781	174.520958	161.986758	180.726244	207.346755	154.183583	129.846266	166.351011	120.454243	104.688181	114.587791	107.530671	121.717621	120.347905	130.250598	147.531099	115.695985	94.720559	105.377673	124.345083	95.785769	93.158469	96.430897	123.412052	116.97505	113.397946	129.722698	134.499027	156.424378	129.578235	117.075268	115.185006	103.393436	115.792726	131.541551	118.479952	111.836183	119.80927
Niben261Chr01g0912008.1	60S ribosomal protein L29	3851.53186	4527.586463	3598.070627	2850.590409	2909.744285	3550.965854	2285.498809	2704.08168	2331.055446	3000.084956	2697.704962	2849.011409	3648.433207	3394.777126	3411.457867	3615.224072	3649.5548	3738.110732	3211.954276	2475.664154	2989.843293	2150.375404	2320.767456	2794.467103	3158.642736	4671.489548	3348.385542	3752.989655	3130.130891	3387.907574	3079.916822	2399.471285	2522.535357	2639.451859	3448.053418	3015.206365	4414.786531	3670.928045	3843.15457	3456.106441	5044.279242	3881.480139	3529.797174	3605.345945	3243.308542	3344.223737	3297.272038	3137.124482
Niben261Chr01g1061034.1	60S ribosomal protein L32	73.253452	114.319728	75.371453	78.066071	74.054041	104.774965	62.119536	66.668251	70.135907	86.386254	101.0569	110.206823	87.347459	86.062507	128.558531	94.131759	60.310333	95.951226	71.41882	66.755821	84.376556	61.629122	62.096966	103.776129	113.286898	69.443925	58.502939	67.599286	53.420184	88.033563	50.59688	45.170222	41.633778	52.914017	84.997482	78.308357	95.764368	74.194909	88.701166	57.749818	60.610115	67.878955	93.966255	64.559255	64.534516	70.311137	72.752778	67.866271
Niben261Chr01g1103008.1	40S ribosomal protein S7	43.017532	56.362754	43.296347	39.155174	30.343816	36.238312	32.891846	30.63358	27.078395	39.001643	36.634392	35.694368	34.692782	40.961985	47.236263	34.131543	37.950943	41.96428	28.932638	31.929997	28.814115	25.873584	28.569245	26.737035	35.265475	49.924713	37.73851	28.965406	30.905037	35.003343	24.369825	22.071156	22.495155	32.74482	36.679279	36.703929	40.636384	31.368926	44.254399	41.419105	37.154287	39.297138	36.922103	33.798216	33.221764	37.446628	38.309615	39.49323
