Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
Niben261Chr01g0138015.1	60S ribosomal protein L11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0550006.1	60S ribosomal protein L3-like"	NA	NA	NA	NA	NA	NA	-0.625916997896165	NA	NA	NA	-0.597660061557373	NA	NA	NA	NA	0.739761256448612
Niben261Chr01g0565004.1	60S ribosomal protein L22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0589014.1	40S ribosomal protein S5-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0596001.1	60S ribosomal protein L21-like protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0698010.1	40S ribosomal protein S15-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0825004.1	40S ribosomal protein S18-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0912008.1	60S ribosomal protein L29"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1061034.1	60S ribosomal protein L32"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1103008.1	40S ribosomal protein S7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.829145784694892
Niben261Chr01g1545003.1	40S ribosomal protein S16-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1547006.1	40S ribosomal protein S10-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1559024.1	60S ribosomal protein L22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1562004.1	40S ribosomal protein S20"	NA	NA	NA	NA	NA	-0.631514768278771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1638005.1	40S ribosomal protein S14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1691003.1	60S ribosomal protein L23a-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.613053363793901	0.735471648995436	0.752375069330426	0.725694581215517
Niben261Chr01g1707007.1	60S ribosomal protein L4-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1725001.1	60S ribosomal protein L24-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g1796001.1	40S ribosomal protein S25"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0104003.1	60S acidic ribosomal protein P1-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0334001.1	40S ribosomal protein S5-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0600012.1	Chr4:1603820-1604308 REVERSE LENGTH=162"	NA	0.791320303710413	NA	NA	0.627622719182108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0674003.1	40S ribosomal protein S6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0756005.1	40S ribosomal protein S16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0845008.1	40S ribosomal protein S9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0845009.1	40S ribosomal protein S9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0867001.1	60S ribosomal protein L34"	NA	NA	NA	NA	NA	-0.635279251408529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0894001.1	skin secretory protein xP2"	NA	0.704884128703055	NA	0.611691379109695	0.65117101111452	NA	NA	NA	NA	NA	NA	NA	0.829748563471591	NA	NA	NA
Niben261Chr02g1086006.1	60S ribosomal protein L24-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g1128043.1	40S ribosomal protein S23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g1302004.1	40S ribosomal protein S6"	NA	NA	NA	NA	NA	-0.752889668572924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g1320011.1	60S ribosomal protein L7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g1384016.1	Polyadenylate-binding protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.626702273477774
Niben261Chr02g1476001.1	40S ribosomal protein S12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g0351006.1	40S ribosomal protein S13"	NA	1.235048948172	0.94246284850285	NA	1.01496979671831	NA	NA	NA	NA	NA	NA	NA	NA	1.5966678452044	1.27988752311799	NA
Niben261Chr03g0404002.1	Eukaryotic translation initiation factor 2 subunit beta"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g0612004.1	60S ribosomal protein L13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g0658001.1	60S ribosomal protein L7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g0693003.1	40S ribosomal protein S6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g0735012.1	Ribosomal protein L37"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g0777001.1	60S acidic ribosomal protein P0"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
