Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
Niben261Chr01g0020001.1	aquaporin PIP2-1-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0020005.1	aquaporin PIP2-1-like"	NA	1.44001323645728	0.98787438681401	1.81146506346101	1.59356828044141	2.27708130998168	1.72319837788133	NA	NA	NA	0.804517709980168	NA	NA	-1.03627644378376	NA	NA
Niben261Chr01g0138011.1	Chaperone protein dnaj gfa2. mitochondrial"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.89910760887917	NA	NA	-1.84823609905199	NA	NA
Niben261Chr01g0196022.1	protodermal factor 1-like"	0.610099075957213	0.98148289006372	NA	0.98145742912193	1.04019283311008	1.16774792560847	1.4167614266255	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0312005.1	protein SPA1-RELATED 4-like isoform X1"	NA	NA	NA	NA	NA	0.792336881354415	NA	NA	NA	NA	NA	NA	-0.783404352383725	NA	NA	NA
Niben261Chr01g0344003.1	Peroxisomal membrane protein 2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.701618709171757	NA	NA	NA	NA	NA
Niben261Chr01g0442015.1	thioredoxin-like protein HCF164. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr01g0449005.1	Glycerophosphodiester phosphodiesterase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.807723517699713	NA	-0.686681077759678
Niben261Chr01g0562002.1	PPM-type phosphatase domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.651633625358712	-0.620239408252831	NA
Niben261Chr01g0605001.1	Protein trichome birefringence"	NA	NA	NA	0.610832097323308	NA	0.726620612894992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
