Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
Niben261Chr01g0028006.1	Synaptotagmin-3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.609807389164881
Niben261Chr01g1101003.1	CRM-domain containing factor CFM3. chloroplastic/mitochondrial-like"	NA	NA	0.620806583981513	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.822084137722826	NA	NA	0.969884133117592
Niben261Chr02g0030006.1	F-box protein At2g32560"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr02g0105014.1	Protein embryo sac development arrest 3. chloroplastic"	1.17167871718776	1.01504014978121	1.18659094563466	NA	0.763907483372382	NA	NA	NA	NA	NA	NA	NA	NA	-0.772609077111222	NA	0.601598823569392
Niben261Chr02g0777003.1	Protein PLASTID REDOX INSENSITIVE 2. chloroplastic"	NA	0.805553003769012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.28789500579044	NA	NA	1.46423540703663
Niben261Chr03g0735009.1	Gtp-binding protein"	NA	0.802756068968392	0.654421789504344	NA	0.593557506314061	NA	NA	NA	NA	NA	NA	NA	0.893652911164357	NA	NA	1.25021217454072
Niben261Chr03g0868010.1	Protein iojap. chloroplastic"	NA	0.847459622624767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.957877075277265	NA	NA	1.54203137792283
Niben261Chr03g1028007.1	Amidohydro-rel domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr03g1882002.1	ATP-dependent protease La (LON) domain protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr04g0628004.1	F-box protein At1g67340"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.646108068623055	NA	NA	NA
Niben261Chr04g1864001.1	Protein BUNDLE SHEATH DEFECTIVE 2. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.15307970874725
Niben261Chr05g0005008.1	Methionine aminopeptidase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.904183439048384	NA	NA	1.0560391424003
Niben261Chr05g0178014.1	30S ribosomal protein S1-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.847227723214254
Niben261Chr05g0354018.1	23 kDa subunit of oxygen evolving system of photosystem II"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr05g0578016.1	Chr4:16105804-16108497 REVERSE LENGTH=336"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.830037779403603
Niben261Chr05g0652015.1	Phosphoribosyl-AMP cyclohydrolase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr05g0894017.1	N-acetyltransferase. putative"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr05g1187003.1	Atp synthase subunit b'. chloroplastic"	1.17415100253575	NA	0.9868150262039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr06g0025008.1	Acyl carrier protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.819304568960763
Niben261Chr06g0174003.1	Membrane-associated protein VIPP1. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr07g0398010.1	Transmembrane protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr07g1254010.1	Ribosome maturation factor RimM"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.683672766947666
Niben261Chr07g1367012.1	DAG protein. chloroplastic-like"	NA	0.648830270872998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.14366425383972
Niben261Chr08g0096007.1	CRM-domain containing factor CFM3. chloroplastic/mitochondrial-like"	NA	NA	0.603290200939638	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.588363665967229	NA	NA	1.14988773734684
Niben261Chr08g0143016.1	COBW domain-containing protein 1-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.981210078055745
Niben261Chr09g0528005.1	Cytochrome c oxidase subunit 2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.724306853596278
Niben261Chr09g1232025.1	Metal-independent phosphoserine phosphatase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.00909971567717	-0.899644455961661	NA
Niben261Chr09g1251018.1	heavy metal-associated isoprenylated plant protein 26-like"	NA	0.771200522567489	NA	NA	0.610980168705997	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr11g0004006.1	Pentatricopeptide repeat-containing protein"	NA	0.834334367507735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.08116819703345	NA	NA	0.961359202327663
Niben261Chr11g0674002.1	Thioredoxin-like protein cdsp32. chloroplastic"	NA	0.650505963731705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr11g0954006.1	30S ribosomal protein S1-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.28220397901355
Niben261Chr12g0233011.1	29 kDa ribonucleoprotein A. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.10314374113904
Niben261Chr13g0903014.1	Alba domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr14g0035015.1	Methyltransferase. FkbM family protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.988828939199522
Niben261Chr14g0520019.1	Chr2:1933391-1934145 REVERSE LENGTH=125"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.636195234237126	NA	NA	0.887972485567508
Niben261Chr14g1169008.1	Chr4:15130243-15131847 FORWARD LENGTH=250"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr15g0830005.1	Chr2:1933391-1934145 REVERSE LENGTH=125"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.937997110582348	NA	NA	1.24990356709891
Niben261Chr15g0864008.1	WRC domain-containing protein"	NA	0.850433519412217	NA	NA	0.768853094246676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr16g0099015.1	Chloroplastic group IIB intron splicing facilitator CRS2. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.676424491627131	NA	NA	NA
Niben261Chr16g0345002.1	DAG protein. chloroplastic"	NA	0.805397913732079	NA	NA	0.628985168517864	NA	NA	NA	NA	NA	NA	NA	0.810228840915131	NA	NA	1.33695770104153
Niben261Chr16g0979008.1	PX domain-containing protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr16g1100008.1	CBS domain-containing protein CBSX3. mitochondrial"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr18g0573015.1	protein Iojap. chloroplastic"	NA	0.803594175472675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.94368729102391
Niben261Chr18g1261002.1	Protein ndh-dependent cyclic electron flow 5"	NA	0.967168399507495	0.869747001119194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.31233290810669
