GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr01g0349002.1	2.414491	2.995271	3.317892	4.399019	7.086433	5.274681	6.144957	6.677891	10.797741	4.757306	5.39243	6.348419	3.450463	4.585705	3.368857	4.330673	5.087974	5.305465	3.786849	3.1905	3.721516	12.018075	11.820074	10.542766	3.575192	3.072754	3.82928	6.030848	8.302293	7.262005	7.233186	13.04388	7.809028	4.83288	4.620573	4.512135	4.545639	3.974887	3.744407	5.096949	5.197279	4.169981	4.373654	5.747704	6.251571	6.862557	7.288738	7.918461
Niben261Chr01g0755001.1	0.831875	0.592377	1.03783	3.347137	2.093071	2.175701	3.002338	2.119858	2.202587	1.07719	1.912689	0.876065	0.974525	0.50171	0.969984	0.901154	0.789639	0.635619	1.266206	1.226416	1.841227	3.973691	4.055501	4.0115	0.457422	1.070602	0.595272	0.99206	0.877614	0.670645	0.9488	1.072425	0.76388	0.436207	1.616985	1.154773	0.580672	0.693878	0.854705	1.12217	0.475859	1.0689	1.422789	0.727033	1.203847	2.086645	2.95592	1.825959
Niben261Chr01g1380005.1	6.385374	9.247127	4.928202	8.724081	5.646153	6.31245	6.285607	6.594322	8.918693	7.635693	4.621124	5.654544	6.471871	4.134725	4.378127	6.157658	6.670297	8.46321	4.383355	6.201253	6.813718	13.547884	10.022978	11.946856	5.702922	9.499566	3.39898	9.820331	4.148553	4.466043	10.594631	7.34668	10.282046	5.969131	4.226683	3.460671	3.106313	3.732772	3.537219	4.070104	4.202236	3.685497	3.25874	1.496137	1.542302	5.141353	7.457234	5.571298
Niben261Chr02g0078008.1	0	0.045991	0	0.064237	0.07448	0.03871	2.429111	3.232867	2.91564	6.899577	9.670193	8.19879	5.701022	6.466023	5.32535	2.968477	3.147055	3.003675	0.728748	0.443125	0.31449	20.222251	18.593454	18.860914	0.097662	0.038097	0.042365	0.141207	0.048355	0.12451	3.452566	2.126136	4.365864	3.778523	4.655742	4.992646	3.124209	2.093807	3.029237	0.827672	0.731508	0.807533	0	0.146095	0.046732	18.159845	16.298975	18.334871
Niben261Chr02g0727009.1	0.726688	1.293005	0.637194	3.324611	4.054779	3.365225	7.473821	7.904773	10.9981	3.879054	4.177947	5.361658	3.880391	4.331565	3.47874	4.777554	4.678723	4.85643	3.317656	3.140719	3.387518	12.178599	13.745053	12.585292	1.372972	0.486936	1.329531	4.390969	5.994455	6.396725	9.442483	10.157726	10.325463	3.197759	3.726403	4.017412	4.246103	4.190516	3.171685	5.12188	4.882461	5.967584	2.981501	2.753938	3.52361	9.218771	10.941311	10.024379
Niben261Chr02g1263003.1	1.803917	1.744488	1.930276	3.729806	4.367646	3.391638	5.147184	6.015176	7.583658	5.049761	4.363048	4.851468	3.922576	5.062746	5.253433	6.235519	5.409315	5.677028	4.3939	4.921448	4.112774	12.150572	11.638663	9.393541	2.603617	2.251433	2.557223	5.672023	6.073689	5.415621	7.409255	7.445898	6.668563	4.990636	4.601013	4.766336	5.023723	4.843084	4.864055	5.061293	6.354912	5.326639	2.795062	2.943689	4.63961	9.46384	8.100126	8.530508
Niben261Chr02g1355017.1	0.325325	0.367016	0.336632	0.73543	0.976867	0.670852	0.86364	0.972647	1.289734	0.946015	1.147031	0.978479	0.921608	0.981892	0.66212	0.526395	0.886273	0.60047	0.696463	0.845703	0.725362	2.054256	2.058691	1.958965	0.35172	0.396532	0.371268	0.857708	1.043195	0.976315	0.937544	1.015548	0.950087	0.937149	0.699325	0.805355	1.083927	0.542475	0.957621	0.399877	0.650519	0.516685	0.713585	0.613506	0.454566	1.324032	1.107524	1.571341
Niben261Chr03g0170015.1	4.830894	5.211731	3.902032	10.642899	9.717383	12.096296	17.163077	18.49948	20.557217	11.372214	12.385917	11.956536	10.02311	9.302725	7.814706	6.661903	6.792603	7.017126	11.061719	9.8752	13.57191	30.020764	23.950188	19.696275	4.160645	3.625463	3.92629	12.67904	10.529759	10.050558	19.767818	15.918656	13.07371	9.779709	10.345198	10.35875	8.469411	7.879475	8.12082	7.939476	5.322676	7.048735	8.791273	9.091053	11.10696	15.418931	15.375477	16.271388
Niben261Chr03g0375004.1	3.60695	3.388222	3.713986	5.092914	5.125029	4.51357	4.765245	4.499493	6.112215	4.052016	3.217857	2.818075	3.209554	2.961523	3.340558	4.179897	4.415852	4.07897	5.56578	5.78377	4.521304	6.593452	8.053361	7.307273	5.05676	3.685492	4.262708	4.49028	5.30635	5.011613	4.041762	4.970313	3.889321	5.303498	4.171087	3.095915	2.887651	3.949478	2.836517	3.504207	3.943612	3.402905	3.936178	3.514277	3.253482	3.469255	3.722687	3.055181
Niben261Chr03g0877001.1	6.18264	5.647201	7.386764	8.413511	9.656361	8.472066	9.475243	9.547479	11.719263	9.660048	7.911625	8.921575	9.37903	7.601281	8.223759	7.65157	9.449526	7.622384	8.096062	8.161417	8.371265	15.493186	15.424461	14.902361	7.971736	8.741132	10.613453	10.317669	12.290942	10.54695	12.298413	12.527025	12.81165	9.241874	7.336691	8.184331	10.103017	10.219472	8.173756	8.848265	9.501655	7.984387	7.876055	8.84864	9.658446	14.604309	13.737139	14.559973
