GeneID	Description	GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
mRNA15	Photosystem II reaction center protein M	2030.024459	1728.036549	1310.506537	1698.443491	1109.022932	1282.091129	838.829097	1451.633183	1151.780744	883.334728	1163.853729	1327.487458	833.891723	1268.410969	889.292025	933.286116	446.882452	876.272192	562.676683	650.288942	1012.834263	776.312319	735.652796	738.193602	1821.149846	1781.312389	1579.985003	1021.818716	1406.378318	2079.218113	1137.414772	1365.569996	1257.009313	1199.758214	933.406596	1200.850111	690.103938	615.734809	660.257743	775.943042	339.322834	615.627685	351.712425	650.577429	637.321564	531.405282	534.585129	512.927208
mRNA23	NAD(P)H-quinone oxidoreductase subunit J, chloroplastic	16.602163	12.793067	13.580251	9.776449	8.238236	12.812644	5.558784	9.386699	7.193623	6.109456	2.79795	12.655282	4.215021	11.487326	5.358384	7.954726	5.320297	8.049085	5.618563	6.75568	6.593326	6.366027	3.145672	2.985415	22.107389	15.920661	24.992161	23.216515	13.178251	15.297271	13.79979	9.378441	10.79615	10.253693	3.028481	7.937285	6.635728	7.480613	7.385487	10.983221	3.637253	4.467351	8.373823	4.908313	3.3097	3.676372	6.399713	3.777618
mRNA25	NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic	81.940639	57.903105	59.496461	35.578598	32.371028	40.267596	19.540026	41.648319	58.445775	47.0964	28.405169	46.072622	29.298652	35.928159	22.454586	25.741805	22.607775	29.728013	14.180761	10.723726	17.260486	17.862582	12.176069	17.888067	76.843639	62.070914	92.169224	51.361796	49.975609	59.420513	44.37042	41.191863	61.524661	41.101834	29.761389	42.353195	13.196351	30.470715	18.939772	33.586867	12.86989	24.117416	20.328262	18.338568	20.317323	14.906594	25.727964	18.98333
mRNA38	Cytochrome b6-f complex subunit 6	181.777111	176.805525	98.383113	104.033002	66.111452	80.151893	106.342971	108.40098	139.206825	95.279591	163.885453	202.522993	72.708028	69.099398	49.173418	82.562939	46.955801	63.973359	20.862813	35.055469	39.859004	96.030412	53.46378	21.790161	158.897766	123.435782	164.971024	83.596592	77.743475	80.26118	84.662834	38.676073	74.26983	47.187066	35.012707	91.182767	43.174486	58.393675	21.574034	51.061446	23.529157	40.791771	28.759587	32.583175	38.679943	0	32.439897	13.92881
mRNA41	50S ribosomal protein L33, chloroplastic	225.489535	252.475288	222.37964	137.257523	66.040213	184.583009	58.400382	113.32551	111.038697	88.927645	100.266122	106.521272	98.201298	163.964287	92.83697	177.590641	114.377682	131.681837	113.393134	98.947602	40.664457	109.129264	128.373831	104.829286	213.293883	180.14314	222.072753	283.722949	125.340688	182.123047	87.42121	126.365248	128.846395	90.9979	45.735182	90.693142	19.931501	125.987236	62.956971	140.212346	39.042919	49.119726	73.693202	46.570367	94.770641	51.569992	101.764986	39.640833
mRNA42	30S ribosomal protein S18, chloroplastic	127.855406	95.421029	52.05872	69.845035	47.970064	76.578234	44.561315	59.853326	68.500624	59.870335	30.121122	53.187682	28.735352	33.485673	22.083476	41.061941	48.898271	43.884339	37.012574	17.01674	49.155439	30.138825	26.853722	34.616089	117.599815	125.146629	98.843406	76.761255	72.441691	101.872928	62.602749	60.083159	70.917409	43.650683	36.378608	35.838721	30.207016	32.156821	29.973656	48.536267	25.9725	47.005638	25.522365	32.70349	25.937358	20.585371	43.114687	17.704845
mRNA47	Photosystem II reaction center protein T	10189.668224	6592.139428	3176.051137	5810.464573	4570.83283	3070.554385	2328.689731	4030.981401	8363.498808	8423.684798	5455.564355	8520.213621	4238.949594	4509.905668	1537.047944	2631.560852	1939.46984	2880.61893	1871.227107	1042.704683	2625.866608	2665.338964	2570.556895	2214.580805	10356.090918	22732.939061	12368.688569	9550.074921	7368.345734	10590.150921	4108.420599	6727.708182	5209.605266	3999.194046	3722.64513	7874.145727	2111.718049	2968.721399	2244.876326	1588.258414	1289.426771	7094.376184	919.863265	2195.698822	1027.51844	968.338514	2596.55634	1249.438071
mRNA52	DNA-directed RNA polymerase subunit alpha	79.475498	74.221531	43.52337	54.624687	56.152042	58.216458	42.950895	64.998054	61.693413	58.582013	41.151521	52.545706	36.811379	48.203988	28.678043	39.961612	35.320705	36.252943	21.172421	19.314837	37.528714	39.292642	26.540106	25.940334	86.753897	92.254185	74.074656	80.134472	56.923275	77.859098	65.670533	62.405571	61.843249	54.456693	43.17439	47.102376	32.390412	35.038985	27.547334	48.225484	27.689946	39.879396	25.250722	34.701696	32.512824	29.638445	48.374569	33.72913
mRNA54		1272.565058	1271.707523	852.578737	871.350852	1010.304547	1040.091096	469.376017	815.214214	785.107878	635.937307	426.108951	561.112969	401.64384	741.752822	360.155161	430.198057	745.547852	585.29348	312.746792	483.390852	421.908317	485.073377	412.115739	221.018097	1197.377124	1450.928069	1060.917515	2013.656175	1103.712967	1468.079094	790.353801	1049.518355	1413.780416	680.247592	699.879177	787.860019	439.8308	515.273613	437.945631	943.170441	477.052927	613.641348	532.507677	457.322401	438.861268	232.431437	400.838179	345.152784
mRNA58		203.134554	249.262531	183.477191	223.03187	158.927657	194.364618	124.494099	170.985821	157.801014	125.903273	81.855794	121.245483	91.138986	151.521945	88.486144	126.935202	124.023704	138.723397	69.520201	83.982407	66.174385	54.157357	48.099592	39.750969	193.82721	210.549725	197.468996	171.924179	164.903576	191.961179	134.309177	141.081372	173.809445	97.090406	79.886372	87.657194	56.863106	99.814243	84.889146	110.284829	81.88566	75.434604	37.636132	61.288292	44.248805	28.646972	45.004737	25.13061
