GeneID	Description	GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr01g0031010.1	HTH myb-type domain-containing protein	0.926285	0.875659	1.046546	1.026542	1.032239	0.837813	0.701096	0.65	1.099319	0.47793	0.622421	0.968644	1.299044	1.087409	1.322791	1.332487	2.300905	1.093367	1.491664	2.115848	1.306714	1.520892	1.863194	2.476845	0.799636	0.791451	0.831083	1.222205	1.638372	1.164295	0.759835	0.736298	1.153408	1.057141	1.003865	1.08366	1.325764	0.952812	1.319417	1.201848	2.350476	1.934499	1.639143	1.373432	1.169782	1.175467	0.997149	1.213891
Niben261Chr01g0085022.1	homeobox-DDT domain protein RLT2-like	0.982825	1.122471	1.135751	1.3203	1.342837	0.803031	0.821653	0.802334	1.185795	1.102657	1.063066	1.170026	1.62597	1.288678	1.333089	1.724449	2.518058	2.083697	1.939263	2.380603	1.951707	2.257158	2.769838	2.287336	1.4457	1.467292	1.619756	1.340927	1.79814	1.31172	0.648967	0.915758	0.631253	1.426606	1.057572	1.010735	1.079506	1.270718	1.24663	2.234575	2.192098	1.947307	1.370342	1.563635	1.902004	1.285062	1.841278	1.419265
Niben261Chr01g0243007.1	Solanesyl diphosphate synthase	55.403667	61.935051	39.325544	55.394139	87.146232	55.065653	36.150454	25.993311	40.932349	12.710413	8.678874	16.140183	26.640781	23.806616	28.240121	83.618933	123.38897	92.589975	329.339502	327.648204	326.288271	157.221265	117.077776	112.514923	54.156985	46.368856	41.570811	40.919801	65.23165	45.655115	20.914045	21.823011	20.888892	17.453045	7.096834	12.703664	23.897328	31.988428	21.295231	99.89441	108.635047	92.309072	149.325761	116.058807	185.732506	25.624137	26.426997	28.917153
Niben261Chr01g0446002.1	Transcription initiation factor tfiid subunit 6	2.501852	2.435236	3.048649	2.52729	3.354553	2.671064	1.270348	1.472904	2.344572	2.821464	3.119297	3.396194	3.767446	3.088682	3.207567	4.196017	4.583835	4.099352	4.036253	5.162515	4.232853	4.906864	5.183909	4.72968	2.678186	3.106366	2.855267	3.153073	3.865799	3.0262	2.119553	1.832882	2.354859	3.152639	2.724907	2.603732	4.836256	3.135064	2.361541	4.287573	3.898677	4.242817	4.421169	3.860861	4.608123	3.925003	4.699199	3.933099
Niben261Chr01g0482004.1	SEC14 cytosolic factor	2.431736	2.944605	2.520687	3.42039	2.900706	3.206963	2.032904	2.086101	2.55203	3.187034	2.34923	3.045322	3.589946	3.184003	3.514828	2.893729	3.255443	3.693674	4.25187	4.596822	3.914408	4.549406	3.996873	5.201817	2.816971	2.372912	1.774022	1.895809	2.88366	2.490636	2.631927	2.713038	4.136494	3.522419	2.707968	2.51334	3.591929	3.360572	3.016947	3.456478	4.949317	3.468869	2.804036	3.230343	3.415215	3.142775	2.438147	2.931101
Niben261Chr01g0512007.1	Phosphatidylinositol/phosphatidylcholine transfer protein SFH13	1.715957	1.87014	1.48501	2.18257	2.290012	1.166497	1.007307	1.161929	1.846056	3.346874	2.424227	3.308347	3.860459	4.265752	3.552153	3.851849	3.662253	3.330767	4.654288	5.657868	4.875188	3.750174	3.837373	4.409831	1.740219	1.819022	1.483324	2.542527	2.608041	2.661439	1.78929	1.101649	2.415744	2.585188	2.608955	2.39903	4.050436	2.577223	2.992281	2.743808	3.001416	3.391455	2.557814	2.064429	2.710981	2.140464	1.65316	2.178311
Niben261Chr01g0516006.1	Unknown protein	2.749762	2.762211	2.107125	1.607511	2.236657	1.859943	1.530961	1.769065	1.600488	2.206278	1.831315	2.621228	3.415704	3.353197	3.553762	4.071986	5.786051	3.405133	4.659209	5.322783	4.047458	6.51478	4.379293	5.531178	3.617088	3.35583	2.544403	2.450017	3.242077	3.339286	3.032814	2.881487	3.013961	2.983206	2.922605	2.714772	3.969586	2.847244	3.726395	4.447739	5.450143	4.568856	2.919121	4.167834	3.742304	3.567645	2.746685	2.648901
Niben261Chr01g0516008.1	Chr5:22760088-22763539 REVERSE LENGTH=987	0.767039	0.681028	0.394672	0.810539	1.039998	0.426495	0.477288	0.592749	0.630774	0.918606	0.826832	0.835038	1.190653	0.93791	0.965801	1.156649	1.822994	1.672039	1.845976	2.263738	2.375816	1.867339	2.126778	1.560912	1.058892	0.621153	0.657879	0.861937	1.378558	1.167326	0.888859	1.131506	1.209304	1.24405	1.45082	0.885771	1.374053	1.139131	1.463827	1.570561	2.02347	1.720415	1.27999	1.725524	1.696016	1.209783	1.098077	1.213904
Niben261Chr01g0558001.1	PPM-type phosphatase domain-containing protein	1.242533	1.299365	0.894323	1.231502	1.31516	1.679555	0.317724	0.695898	1.281164	1.113888	0.659284	1.100933	1.343634	1.454219	1.15428	1.553091	2.55979	2.446519	2.561758	2.804668	2.447945	1.360308	1.502149	2.193026	1.083971	1.499165	1.410639	1.662269	2.43955	2.412148	2.09733	1.056152	1.620317	1.181369	0.95547	1.057289	1.000757	1.75393	1.325735	2.329591	3.239472	2.692434	1.324134	2.174339	2.027612	1.284365	0.830604	1.430429
Niben261Chr01g0589010.1	Chr3:21492536-21497018 FORWARD LENGTH=1181	1.218205	1.096217	1.091449	1.893844	1.916193	1.639772	1.542352	1.95271	1.685055	2.685318	2.658996	2.30883	2.049762	2.118647	1.92411	2.240588	3.011411	2.664647	2.847622	3.297386	2.85659	3.479206	3.534094	3.220528	1.25363	1.428671	1.383884	2.415421	2.304616	2.105828	2.134835	1.872904	2.141886	2.041252	2.186889	2.18709	2.55038	1.841841	1.852074	2.772424	3.297167	2.400792	2.423148	2.494745	2.924544	2.551383	2.520927	2.210594
Niben261Chr01g0626001.1	Squalene synthase	0.353664	0.04906	0.118185	0.274094	0.595882	0.165175	0.335899	0.229908	0.250824	0.147201	0.139399	0.266037	0.443905	0.083103	0.420796	0.293202	0.342559	0.849288	0.87769	1.246203	1.102284	1.041399	1.00468	0.746627	0.416719	0.162556	0.406727	0.251051	0.361074	0.504713	0.225489	0.662962	0.642377	0.397392	0.378797	0.263005	0.317401	0.632134	0.428258	0.83644	0.433515	0.44944	0.570321	1.05195	0.997023	0.316828	0.409788	0.705719
Niben261Chr01g0648001.1	Glycosyltransferase	7.859537	11.72408	5.872199	8.202468	13.814025	10.824293	8.286204	6.164398	7.758852	7.846917	10.196286	8.552746	7.15414	10.733102	6.753103	14.635609	19.23869	12.382618	8.499512	10.204019	8.621083	10.857261	9.187468	10.812788	8.226445	8.207438	5.212894	8.84328	12.660725	10.196034	3.94408	7.051894	4.718325	10.419362	7.251242	7.023228	5.510144	9.741284	5.347696	19.092755	29.475713	16.352714	11.371438	9.431614	9.713034	3.989602	6.252319	4.024018
