GeneID	Description	GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr01g0042008.1	Protein ultrapetala 1	2.933572	1.638537	2.44066	1.09236	1.05413	0.971765	0.398173	0.762475	1.164987	1.301911	1.156023	2.041268	2.518412	1.034041	2.045827	2.528979	6.053172	4.162842	3.627324	5.869146	5.009115	5.041822	4.152017	2.998224	3.370288	2.100501	2.24927	2.081201	1.839238	1.026247	0.872767	1.15763	0.716192	1.413021	1.906867	1.963521	1.316487	3.322449	2.011368	6.784219	5.310798	3.937362	2.513743	3.36092	3.805296	2.102393	3.593436	3.177316
Niben261Chr01g0064008.1	DUF1421 domain-containing protein	2.903017	2.374864	2.809002	2.218356	3.966513	2.205338	2.979375	2.819233	2.305148	4.34786	4.449457	3.521599	5.344881	5.894934	5.465879	8.364526	11.12837	6.479671	8.18988	9.181781	7.2317	6.947478	7.394014	5.441882	2.122428	2.882697	3.893739	4.712907	4.615311	3.300424	3.699812	3.929387	4.522506	5.054661	7.062411	6.744977	11.097796	8.318831	7.116127	11.843148	13.390987	10.366057	9.737799	10.192917	11.03329	7.846157	9.123037	8.049521
Niben261Chr01g0083001.1	transcription activator GLK1-like	24.712831	19.330742	16.755552	11.159424	16.781123	9.591832	5.672173	5.853899	6.67678	5.759438	3.687368	5.332842	10.127512	6.903766	12.072137	15.853689	21.578689	16.716361	19.943631	30.160734	21.830987	10.207926	8.118163	5.911871	30.18329	25.559844	24.048684	22.412342	29.557887	18.62248	7.608155	8.102861	7.74362	21.728856	10.576189	10.595123	23.831859	39.111283	17.828983	54.969467	64.15459	55.255947	30.688233	41.968023	42.737055	9.72754	13.259202	9.833786
Niben261Chr01g0131009.1	Non-specific serine/threonine protein kinase	5.064467	4.714847	3.696195	3.543243	3.195009	2.301059	2.380611	2.166706	2.806204	3.445201	3.811283	4.274394	6.606784	5.085486	5.457489	5.785332	6.953564	6.000131	5.420658	7.379073	5.640694	5.36375	5.667652	5.307645	5.444937	4.128143	4.825877	4.288912	4.264973	3.294886	3.36491	3.032612	3.085616	5.949076	4.324301	4.169514	7.609387	7.872224	5.26983	7.219917	6.508294	6.734781	4.756461	5.758003	5.780387	3.352832	4.673553	4.544646
Niben261Chr01g0143013.1	cytochrome P450 CYP72A219-like	16.520561	16.04218	23.229069	20.92074	27.052578	22.30858	20.022725	22.406053	20.254516	19.42754	18.23277	27.113702	28.746299	24.869818	25.784058	36.765455	40.397648	35.61893	26.079015	22.787863	21.939445	28.306565	27.76735	25.503216	17.143847	17.130573	21.169957	24.948407	25.428382	23.6412	16.108852	20.933968	17.618275	25.383164	20.434156	32.249742	40.875252	35.678274	30.497774	47.99565	51.462953	46.43126	35.97084	36.890084	42.381869	37.868335	36.287054	36.549185
Niben261Chr01g0233006.1	Heme-binding protein 2	120.184487	112.699407	99.845028	82.63018	107.46686	106.507067	70.517296	72.813708	102.531429	80.722056	72.201897	87.744385	83.225425	82.161791	81.046122	140.000926	141.387422	174.209124	109.183311	133.97649	139.156371	155.271565	130.265907	153.520425	136.210335	134.813756	119.258907	133.432232	146.075557	143.560825	114.421391	112.838369	129.30472	158.987125	89.320103	121.316659	98.157218	202.047969	87.666712	184.553278	212.164626	207.691744	177.506822	201.455864	184.912003	170.038309	197.468896	188.083912
Niben261Chr01g0245005.1	Ribokinase	10.522196	9.567222	9.970717	9.550183	12.884492	8.851413	7.166363	6.441508	9.071447	10.519161	9.563788	10.980661	11.94766	11.395058	9.915154	11.498146	14.716656	12.393104	11.889961	14.620523	14.072076	14.91537	11.549485	11.724829	9.084225	10.853831	11.847054	14.692362	13.203685	12.377133	12.027936	9.74428	11.639556	11.878081	10.091246	12.899232	12.147599	11.809967	10.167087	13.921139	16.283654	16.523069	15.014458	17.451308	17.823895	14.298013	11.312722	15.877263
Niben261Chr01g0270009.1	Chr3:5013442-5015277 REVERSE LENGTH=611	2.955579	3.06657	2.320361	2.443581	3.310772	2.250194	2.345674	2.174016	2.452202	3.971337	2.513449	3.037967	4.446583	2.797001	2.899993	3.665378	4.74907	4.856894	3.938726	5.234331	5.299948	7.272362	6.2331	7.967049	3.798582	4.591865	4.092284	5.673323	4.856942	4.683178	2.680341	2.404697	3.045745	2.820588	3.237892	3.424864	4.790294	4.221384	2.901498	4.468588	6.982759	5.162324	6.647732	7.680567	5.353114	6.528675	7.036866	7.513517
Niben261Chr01g0349012.1	Sorting nexin like	16.006738	20.98336	21.644389	12.531199	15.732186	14.390889	13.724243	11.348695	18.436712	12.436231	16.709335	23.774203	19.792374	24.475596	25.424386	28.946086	26.792496	39.307492	32.357452	30.632598	32.132077	29.065644	35.226731	46.064064	19.095995	15.509588	9.364095	15.422916	17.976334	18.656879	16.212169	19.345648	16.959732	23.381645	15.334611	19.789616	25.97761	26.131459	22.818909	25.027703	47.577083	32.838384	20.710827	25.304386	26.059633	25.247252	25.965689	12.839749
Niben261Chr01g0380006.1	Serine-rich adhesin for platelets like	16.435143	16.397332	20.805689	28.890278	33.750774	29.235981	28.525769	28.712894	28.221396	26.790002	27.919063	28.295514	27.464498	29.842505	27.806216	30.745358	32.905692	33.782878	45.105794	47.199161	39.800355	45.042032	46.056569	38.298688	17.476296	15.708192	20.235225	23.058683	35.960754	27.922787	27.56649	36.143607	27.99836	24.550547	27.114155	28.602098	30.300068	33.814976	26.918583	31.773672	37.716278	36.168144	50.862003	52.137147	57.361675	53.119495	48.242977	52.344167
