Annotated	Significant	Expected	Term	pval	Enrichment
GO:0009694	35	1	0.03	jasmonic acid metabolic process	0.0291219003148021	1.68831168831169
GO:0009696	37	1	0.03	salicylic acid metabolic process	0.030761037526	1.5970515970516
GO:0009269	12	1	0.01	response to desiccation	0.0100783997065166	4.92424242424242
GO:0009097	35	1	0.03	isoleucine biosynthetic process	0.0291219003148021	1.68831168831169
GO:0031408	27	1	0.02	oxylipin biosynthetic process	0.0225385463241542	2.18855218855219
GO:0046506	5	1	0	sulfolipid biosynthetic process	0.00421131521253371	11.8181818181818
GO:0015976	12	1	0.01	carbon utilization	0.0100783997065166	4.92424242424242
GO:0006081	42	1	0.04	cellular aldehyde metabolic process	0.0348471993433412	1.40692640692641
GO:0006538	9	1	0.01	glutamate catabolic process	0.00756803335853573	6.56565656565657
GO:0019509	10	2	0.01	L-methionine salvage from methylthioadenosine	3.07947129721429e-05	11.8181818181818
GO:0006629	1330	4	1.12	lipid metabolic process	0.0306973938637896	0.177717019822283
GO:0007264	50	1	0.04	small GTPase mediated signal transduction	0.0413504845799524	1.18181818181818
GO:0050832	80	2	0.07	defense response to fungus	0.00208476234468732	1.47727272727273
GO:0010951	71	6	0.06	negative regulation of endopeptidase activity	2.86137155258279e-11	4.99359795134443
GO:0009611	80	3	0.07	response to wounding	4.24544912610828e-05	2.21590909090909
GO:0009862	3	1	0	systemic acquired resistance, salicylic acid mediated signaling pathway	0.00252884803023534	19.6969696969697
GO:0006857	56	1	0.05	oligopeptide transport	0.046200162421454	1.05519480519481
GO:0031640	5	2	0	killing of cells of other organism	6.86121177138332e-06	23.6363636363636
GO:0034440	39	1	0.03	lipid oxidation	0.0323975026462568	1.51515151515152
GO:0015996	12	1	0.01	chlorophyll catabolic process	0.0100783997065166	4.92424242424242
