Annotated	Significant	Expected	Term	pval
GO:1903830	20	2	0.26	magnesium ion transmembrane transport	0.0279209483637602
GO:0010289	2	1	0.03	homogalacturonan biosynthetic process	0.0260682422761388
GO:0035019	2	1	0.03	somatic stem cell population maintenance	0.0260682422761388
GO:0090677	2	1	0.03	reversible differentiation	0.0260682422761388
GO:0070574	3	1	0.04	cadmium ion transmembrane transport	0.0388469704271138
GO:2000327	3	1	0.04	positive regulation of nuclear receptor transcription coactivator activity	0.0388469704271138
GO:0010236	5	2	0.07	plastoquinone biosynthetic process	0.00167314238487399
GO:0045761	2	1	0.03	regulation of adenylate cyclase activity	0.0260682422761388
GO:0051156	39	3	0.51	glucose 6-phosphate metabolic process	0.014455018446525
GO:0015706	27	2	0.35	nitrate transport	0.0485857076064918
GO:0051572	2	1	0.03	negative regulation of histone H3-K4 methylation	0.0260682422761388
GO:0005986	18	2	0.24	sucrose biosynthetic process	0.0228732394849453
GO:0031047	140	5	1.84	gene silencing by RNA	0.045445913097923
GO:0005977	30	3	0.39	glycogen metabolic process	0.0121345917688435
GO:0051513	10	2	0.13	regulation of monopolar cell growth	0.00720867861360766
GO:0071249	23	2	0.3	cellular response to nitrate	0.0362359234458457
GO:0042753	3	1	0.04	positive regulation of circadian rhythm	0.0388469704271138
GO:0090351	61	4	0.8	seedling development	0.000119386637159065
GO:0061817	9	3	0.12	endoplasmic reticulum-plasma membrane tethering	0.000177691927149656
GO:0045893	415	14	5.44	positive regulation of transcription, DNA-templated	0.00374799244077182
GO:0006694	66	3	0.87	steroid biosynthetic process	0.0361720312392524
GO:0009640	39	3	0.51	photomorphogenesis	0.014455018446525
GO:0009641	7	2	0.09	shade avoidance	0.00345289900889796
GO:0000160	314	8	4.12	phosphorelay signal transduction system	0.0198322034263574
GO:0045454	62	4	0.81	cell redox homeostasis	0.00896109958406606
GO:0009649	22	4	0.29	entrainment of circadian clock	0.00215293933477165
GO:0030001	546	11	7.16	metal ion transport	0.0442504091769427
GO:0006662	21	4	0.28	glycerol ether metabolic process	0.000146597551884605
GO:0046854	61	6	0.8	phosphatidylinositol phosphorylation	0.000148862241691347
GO:0000186	2	1	0.03	activation of MAPKK activity	0.0260682422761388
GO:0034969	6	2	0.08	histone arginine methylation	0.0387653065688484
GO:0006657	3	1	0.04	CDP-choline pathway	0.0388469704271138
GO:0033147	3	1	0.04	negative regulation of intracellular estrogen receptor signaling pathway	0.0388469704271138
GO:0000919	11	2	0.14	cell plate assembly	0.00873454604466106
GO:0019919	3	1	0.04	peptidyl-arginine methylation, to asymmetrical-dimethyl arginine	0.0388469704271138
GO:0010050	2	1	0.03	vegetative phase change	0.0260682422761388
