GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr01g0006004.1	15.314507	25.025501	15.105004	19.90443	16.451314	16.370558	18.524374	14.265234	13.706642	26.640387	28.190433	23.797185	28.040634	26.144526	28.660974	21.613486	22.630276	22.949945	17.372135	15.299434	15.871155	18.907434	18.265858	18.061012	13.527321	17.645394	11.574058	13.230349	14.758453	12.700157	11.526927	9.915208	11.531331	23.439464	28.698496	21.288438	31.42437	20.689181	35.596926	21.832692	26.953902	22.8801	21.497799	16.612441	17.023206	25.278173	22.316119	25.047141
Niben261Chr01g0007001.1	0.553533	0.467984	0.646665	0.317211	0.4685	0.590802	0.242065	0.215001	0.929798	0.412794	0.351845	0.307791	0.186971	0.13998	0.283249	0.395171	0.548017	0.390007	0.295349	0.361927	0.36338	0.550631	0.441212	0.595069	0.833267	0.786868	0.494846	1.395235	1.246896	0.939142	0.822477	0.734055	0.779612	0.286554	0.28364	0.221545	0.356186	0.354541	0.229098	0.352287	0.474634	0.377921	0.523875	0.295037	0.293964	0.227195	0.34391	0.297251
Niben261Chr01g0008006.1	3.639777	5.55279	3.261942	4.512338	5.292901	5.97006	5.62324	6.344338	4.065884	11.002855	10.955194	11.314088	9.462827	9.39264	11.218459	9.13373	7.323459	7.850939	13.836825	15.640711	13.535385	9.809065	8.989535	9.201126	4.404207	5.107123	3.973492	3.903607	4.080272	3.208745	3.52631	2.769482	3.547153	7.772233	11.770242	9.477005	13.840985	7.274282	12.762023	8.843563	8.529328	8.306991	10.449227	11.202369	12.789056	14.119094	16.571711	17.774957
Niben261Chr01g0014001.1	51.822849	78.616413	58.864955	94.475078	78.392292	78.228852	98.31505	94.706366	55.676847	127.565959	149.69838	135.724241	163.996843	162.894987	147.773569	138.871462	126.379139	118.521543	106.147679	91.723678	88.121127	67.408173	71.772249	61.252537	31.36279	40.116824	32.745356	59.341952	50.150113	39.559095	45.707543	65.344311	45.156221	112.689033	137.142141	174.404524	207.330601	142.154032	180.902175	134.939026	160.606841	163.675737	137.242096	131.807274	131.287419	167.759655	131.738994	156.939083
Niben261Chr01g0015010.1	65.856365	93.722079	51.701063	73.147619	62.298751	53.039855	69.337168	70.664154	38.221677	158.179322	194.419764	157.401825	166.626767	168.67268	188.379422	117.432656	90.652267	83.32833	75.789139	71.710558	89.472079	37.581969	30.044455	20.969896	21.720521	25.519456	16.731699	38.716306	37.117536	27.482822	37.249163	52.62695	31.267958	124.701611	177.660635	171.65552	182.200573	121.020549	185.372068	175.680479	162.816598	144.553319	83.517818	111.41754	117.545558	108.520194	69.163325	105.931147
Niben261Chr01g0018001.1	5.270258	6.610959	3.706904	5.534823	4.236291	2.816394	4.93866	4.362445	4.160227	10.690688	10.641732	10.221574	15.724945	11.156091	12.72362	12.502087	13.419275	13.65651	7.754649	7.537117	7.75967	11.071049	9.76462	9.034164	4.707	4.73235	3.649091	6.437803	6.098398	5.026177	8.480238	6.723962	8.783581	16.731563	17.980542	15.701999	29.967477	23.271191	23.902635	16.924279	19.539778	20.585445	13.59734	12.06808	13.893159	17.090531	16.512975	17.238653
Niben261Chr01g0036001.1	7.384575	10.52394	4.079122	12.838344	10.0174	8.790916	17.911326	14.05886	7.181047	56.488016	64.494338	54.362089	73.589159	75.741796	74.7915	63.796508	57.075586	59.932479	26.096694	24.178753	22.398813	17.271361	18.419704	14.957391	3.831778	3.685164	2.036884	5.701457	3.790813	2.846686	10.113997	4.677163	7.828715	31.715891	45.196939	41.345036	88.671546	51.481349	86.570734	31.791477	36.233133	42.55692	14.699239	12.827809	13.255577	23.025585	19.262447	23.665687
Niben261Chr01g0042007.1	1.487122	1.908292	0.931718	2.097754	1.39896	1.368329	2.055319	1.59346	1.75421	2.372371	3.151011	1.937478	1.711306	1.630122	1.927449	1.367804	1.679718	1.519717	1.209207	1.304833	1.144268	2.403926	2.483372	2.805827	1.28687	1.281667	0.617589	1.873606	0.958764	0.934231	0.711118	0.971916	0.984942	2.297562	3.615477	1.900569	3.775333	2.068838	2.893142	2.398537	2.242673	2.117199	3.746651	2.105071	1.755599	4.424897	3.547801	4.669891
Niben261Chr01g0056001.1	16.888998	23.289601	18.9175	38.727491	28.276432	32.304953	34.060508	35.32599	26.969471	49.396902	53.049018	46.585033	57.441988	51.24544	50.826011	41.633678	31.452212	40.725424	34.947195	33.889103	36.868296	30.383118	32.996633	28.084255	11.941682	13.292005	13.503729	29.035429	21.144116	18.465882	22.245139	27.159423	20.327886	51.652394	73.942719	64.820311	82.731489	55.177005	75.117378	45.757156	45.213094	56.862092	59.292465	48.745547	57.029071	74.323577	57.73082	68.803789
Niben261Chr01g0059002.1	20.879039	16.447687	22.708058	10.302677	13.691982	11.582307	12.401525	17.994808	11.108991	29.307383	35.576743	26.347214	36.347151	30.278799	32.759266	26.8603	30.104268	19.858682	31.196931	29.806506	25.563591	20.53679	23.222846	17.944563	9.838273	11.63944	22.833929	10.771102	10.871528	11.060102	10.412142	20.192219	6.409505	28.814431	51.485537	57.908492	72.432899	33.822992	55.12853	41.970144	40.244372	31.720539	36.990302	29.876177	37.940185	44.287511	46.26526	41.891429
Niben261Chr01g0065004.1	0.515612	0.250341	0.301532	0.349655	0	0.632129	1.224282	0.938522	1.535858	0.250374	0	0.339376	0	0	0	0	0	0.196985	0.255919	1.534932	0	1.518271	0.992242	0.401033	0.265799	1.451582	0.691803	1.793453	2.500473	0.948833	0.575301	1.068284	0.273155	0.579364	0	0	0.269934	1.075198	0	0.237117	0.22121	0.955565	0.793685	0.596421	0.508751	0.692863	0	0
Niben261Chr01g0076002.1	1.339495	2.207262	2.943463	4.26654	2.904322	2.189588	5.011741	4.820906	2.740581	10.801234	10.639437	14.827864	13.516461	11.049655	9.702595	10.223305	5.972135	4.683207	4.976271	4.384587	5.082459	7.928388	8.201831	5.051314	1.422874	1.208034	2.468901	2.057292	2.445032	1.515248	1.539847	1.681979	1.46225	11.85847	18.563971	18.594309	27.667639	9.547758	17.203208	9.855993	8.533055	11.795335	9.372242	9.265254	9.972602	28.690424	24.83301	28.996846
Niben261Chr01g0092007.1	15.091065	17.800402	15.352512	14.130055	13.982729	13.921058	13.230059	11.733464	7.95078	20.150004	21.905496	18.090513	23.199515	25.731845	26.334839	29.231573	36.289109	32.058278	26.637044	22.986929	22.361485	15.173366	16.695762	15.609912	13.283024	16.071884	11.639582	13.919643	14.380266	11.690617	8.460704	10.32092	11.046774	16.26206	19.243605	22.959087	28.048009	21.951281	24.914214	31.276532	41.883587	34.08959	24.103407	24.432995	25.197433	24.333864	22.029913	26.389677
Niben261Chr01g0095015.1	4.954448	6.817965	4.767759	8.278996	6.714825	5.814896	7.026344	6.301051	5.41643	10.434734	12.482531	10.310912	12.346925	10.617638	10.480275	9.097511	11.087743	11.648107	8.595017	8.840174	7.93989	9.266816	8.175166	8.131319	4.274872	5.992695	4.379494	6.743449	5.57777	5.02733	5.394075	5.244611	5.292603	10.122856	11.210462	10.560932	16.756032	9.879024	13.661389	12.266706	14.736986	15.172189	12.598636	10.506136	13.821265	16.300601	15.195085	16.49291
Niben261Chr01g0100004.1	0.524111	0.763402	0.613004	0.533128	0.824195	1.285098	0.99557	0.834743	0.780587	2.290508	1.807597	1.379882	1.38147	1.508639	1.527814	1.824943	1.066075	0.800927	0.650345	2.006014	0.994321	1.286081	2.185295	0.611466	0	0.632361	0.234402	0.520862	0.535093	0.413345	0.389856	1.266875	1.110629	2.355656	2.183057	4.092466	3.292599	1.967258	1.615486	0.482051	1.124281	1.359843	1.344613	1.212504	2.585685	3.286658	3.947347	4.18335
Niben261Chr01g0144008.1	0.747001	1.080125	1.877844	2.155029	1.97665	2.027925	3.154064	2.636059	2.775718	3.316872	3.420936	3.282802	2.9098	2.710075	2.550702	1.230931	1.114742	1.499233	2.001621	1.423256	1.572486	2.817345	3.135789	3.626224	0.520989	0.557492	0.967432	1.493292	1.167665	1.703263	1.561509	3.015816	1.670128	2.620686	3.785879	2.910224	3.425882	1.993938	2.495178	1.138611	1.104692	1.200349	3.112539	2.211877	2.196881	4.26959	4.215714	3.768097
