GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr01g0010005.1	2.317481	2.423599	1.901063	4.442116	5.47164	3.69172	6.870769	6.958584	9.261786	7.42771	6.177296	10.191533	8.663187	11.146879	9.162566	15.626838	16.510952	16.23141	5.968178	6.06042	6.503965	23.306088	24.65249	23.016352	2.774645	3.268853	2.630207	7.307869	7.715573	6.064518	6.625934	10.364559	6.796468	7.911404	4.495605	6.666925	8.85552	11.473939	6.111035	14.059344	16.165642	13.048211	4.247655	4.206158	4.580346	19.124453	22.266199	18.036514
Niben261Chr01g1131013.1	10.935865	14.52578	12.498982	13.157793	17.831337	16.457683	16.033567	18.45751	23.580361	19.234174	22.553757	18.054115	21.759176	19.158827	15.906674	23.202856	21.746342	19.532427	15.109437	19.011011	14.755122	25.030506	31.872121	26.365765	12.602309	14.996088	16.24571	21.14647	19.614697	20.000501	21.368974	21.273005	21.121296	20.804739	13.944776	17.002607	24.355477	14.532912	12.969122	19.906493	23.788787	20.166014	18.488465	16.790907	16.032845	19.656227	25.123408	22.960465
Niben261Chr01g1184002.1	3.211691	3.964419	3.645944	3.890433	7.186174	4.916555	3.573567	4.328181	6.366621	3.721082	2.559165	3.804428	5.292502	4.14336	5.041828	7.726933	8.27526	7.878143	4.945935	5.306617	5.365097	12.018858	14.050981	10.203884	4.274534	5.014545	5.15416	8.450854	10.223945	7.628898	6.273487	6.878486	6.911839	6.81006	4.511195	5.354819	7.626717	7.669783	4.15993	10.052932	10.984206	8.964867	7.079514	6.402894	6.282139	6.077377	7.108029	7.981122
Niben261Chr01g1343002.1	8.403008	6.762308	4.087574	5.541548	5.718073	3.276446	3.978257	3.496385	7.067624	6.139285	5.175804	7.864995	8.398981	6.509256	7.234068	10.140757	11.394822	13.390927	6.861977	9.24539	10.969135	13.569817	15.280581	16.029451	10.041223	9.508131	8.596591	6.639863	8.893896	6.890575	8.314892	6.40673	7.514699	10.250465	5.672889	6.655035	8.233271	9.302548	5.44552	13.448339	12.656401	13.639458	4.641235	8.679598	6.516316	10.037056	10.689313	9.973492
Niben261Chr02g0110003.1	17.371544	12.911565	15.779084	6.87696	9.485373	8.57333	12.790055	13.383604	20.081509	20.374955	18.535174	29.842792	24.3451	25.064832	22.497138	27.961832	34.507238	31.52427	11.039715	15.431783	11.864111	45.456442	50.156353	56.131738	19.295337	18.50244	22.035711	11.386586	16.216035	16.222741	22.17398	25.096545	26.567135	33.723722	22.060376	28.09739	27.443046	32.074822	19.997492	31.845332	39.766333	33.171059	12.929163	18.90536	15.100341	47.582568	48.228456	39.206023
Niben261Chr03g0540002.1	4.299021	4.388642	3.395136	2.616333	3.293604	3.514102	3.280804	2.491586	3.867237	3.532817	2.53449	3.797057	3.712645	3.107336	2.442825	5.629467	6.029022	5.194346	3.68399	3.558678	3.938597	6.455742	6.568462	6.478439	4.735444	6.320761	6.014601	4.710592	5.158179	4.424221	2.541872	3.019779	3.153402	4.995776	2.99973	3.197096	5.617022	4.413415	3.3411	7.262196	6.274115	6.125301	3.500086	4.023607	4.024331	4.081737	5.663173	4.802524
Niben261Chr03g1552005.1	6.17647	5.058198	3.854909	4.048354	5.23947	3.813633	4.084356	5.134267	6.410133	5.107095	4.436345	6.338543	5.168552	5.498722	4.434541	7.689247	9.056441	7.553582	5.235078	7.088731	7.675895	13.0282	13.153518	10.449688	6.343908	5.622137	6.57259	5.253611	7.33557	5.903575	6.168618	7.482907	5.989525	6.748394	4.07541	4.943853	6.634572	7.980443	4.438368	9.190884	8.561831	9.812663	4.890848	6.569581	7.49981	7.622003	9.460485	8.679288
Niben261Chr04g0929005.1	0.927145	1.720359	0.414811	1.107707	0.762357	0.476707	0.69129	0.16402	1.051556	0.509842	0.466407	1.199925	0.791715	1.204469	2.347116	1.452156	2.03732	2.140397	1.910031	1.736863	1.408481	2.864635	2.989925	3.731042	1.278105	2.215016	0.641538	0.731417	1.703972	1.865437	0.685835	0.867965	0.816319	1.608638	0.612896	1.154173	0.764803	1.707501	0.99265	2.171827	1.475336	1.915689	0.770675	0.726376	1.615049	1.002897	1.801162	2.105961
Niben261Chr04g1094002.1	3.205512	2.263776	1.539354	2.63494	1.756714	1.111483	1.014832	1.016652	2.314735	1.603718	2.010077	1.598387	1.652995	2.077067	1.698954	3.495461	3.161313	3.636795	1.928517	1.404528	1.934976	4.385772	4.237069	4.230861	2.103116	2.890916	4.170695	1.641158	2.280955	1.940731	1.878612	2.482147	1.852557	2.837821	1.294717	2.022617	2.034124	3.078876	0.973075	3.751523	3.167221	3.744088	0.897139	1.797766	2.587791	1.740389	3.151446	1.162988
Niben261Chr04g1757008.1	1.11152	1.030982	0.408455	0.550914	1.060032	0.471262	0.884493	0.774393	1.165161	0.627013	1.119431	1.080104	1.281035	1.151514	1.352838	2.301623	3.005	2.45331	1.030219	1.206554	1.177005	2.936456	2.363968	2.013057	1.886362	1.358035	1.320024	1.266345	1.548	1.259318	0.783292	1.409666	1.246922	1.526184	1.071457	1.219526	1.401542	1.52472	1.07845	2.422055	2.709127	2.772046	0.952429	1.045062	0.869924	1.719548	1.492229	1.773271
Niben261Chr04g1782004.1	2.895083	3.278605	2.529499	1.86002	2.44967	2.130646	2.290578	2.203674	4.198283	1.720895	1.376809	1.948551	1.969028	1.929084	1.913736	3.633414	3.657236	3.944457	1.790109	1.971358	1.614012	3.826422	4.606636	5.426785	3.240349	4.132194	3.823008	2.297453	3.214581	3.259278	1.625825	2.62911	2.302314	3.176586	1.619783	2.116242	2.348168	3.395026	2.215426	5.22793	5.004897	4.983938	2.694655	3.042087	2.805203	2.854659	5.103312	3.239347
