Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
Niben261Chr01g0193012.1	Xyloglucan endotransglucosylase/hydrolase"	NA	NA	NA	NA	NA	NA	-1.04531990578708	NA	NA	NA	NA	NA	NA	2.61012078402782	2.09561725485139	-1.50352279591414
Niben261Chr01g1806004.1	Ethylene-responsive transcription factor erf109"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.53129117323708	3.71101408295927	-3.22028847323597
Niben261Chr02g0529004.1	Calcium-binding protein pbp1"	NA	NA	NA	NA	NA	NA	-1.55360209376404	NA	NA	NA	NA	NA	NA	1.63356688999805	NA	-1.97515134527132
Niben261Chr02g0830006.1	Protein kinase 2b. chloroplastic"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.661687140734526	1.51633257568813	1.28523757553641	NA
Niben261Chr02g1456007.1	Cellulose synthase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00025082849099	NA	NA
Niben261Chr03g0010005.1	Avr9/Cf-9 rapidly elicited protein 194"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.18657714731943	1.16161143390371	-0.626907417745402
Niben261Chr03g1054003.1	dehydration-responsive element-binding protein 1A-like"	NA	NA	NA	NA	NA	NA	-2.29143671944907	NA	NA	NA	NA	NA	NA	4.46093033858381	3.51010387118675	NA
Niben261Chr04g1368003.1	WRKY transcription factor"	NA	NA	NA	NA	NA	NA	-0.963730327745655	NA	-0.737357979620894	NA	NA	NA	NA	2.1809824271755	1.79263976935817	-0.808909984253698
Niben261Chr04g1651012.1	Calcium uniporter protein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.81115753334739	1.55454994465812	-1.18327377380615
Niben261Chr05g0208022.1	Ethylene-responsive transcription factor"	NA	1.75659887415899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.14231881965472	2.36680816829066	-2.14019407113415
Niben261Chr05g0628008.1	Chr5:3107000-3107658 FORWARD LENGTH=110"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.35122225993306	1.16413565179917	-1.23098380757229
