Description	pcrtB22h_vs_GFP22h_filtered	pcrtB25h_vs_GFP25h_filtered	pcrtBAA_vs_GFPAA_filtered	pcrtBBB_vs_GFPBB_filtered	pcrtBYY_vs_GFPYY_filtered	pcrtB28h_vs_GFP28h_filtered	pcrtB34h_vs_GFP34h_filtered	pcrtB37h_vs_GFP37h_filtered	pcrtBZZ_vs_GFPZZ_filtered	pcrtBCC_vs_GFPCC_filtered	pcrtB40h_vs_GFP40h_filtered	pcrtBDD_vs_GFPDD_filtered	pcrtB46h_vs_GFP46h_filtered	pcrtB56h_vs_GFP56h_filtered	pcrtBEE_vs_GFPEE_filtered	pcrtB96h_vs_GFP96h_filtered
Niben261Chr02g0044006.1	Cytochrome P450 monooxygenase"	-2.63012104309761	-2.37029595894381	-2.36426543670057	NA	-1.34371674403911	-1.23712795100376	NA	NA	0.773153572421847	1.17107953718685	1.40634278196369	NA	1.27629565184447	1.54908175594919	NA	NA
Niben261Chr04g0027004.1	Cytochrome p450 71d7"	-6.72766816661672	-2.82871083894907	-3.70612545449765	NA	NA	NA	NA	NA	NA	NA	2.60552815226047	NA	1.96670830783869	3.23481164291145	2.87851545812443	-1.86306421846666
Niben261Chr05g0190002.1	Peroxidase"	-1.49281410262379	-0.778921309096968	-1.04190834472466	NA	NA	NA	1.67365217112531	1.8448661546296	1.96643192568658	2.49006730032497	3.02001645766035	2.90188194320958	2.17429631172145	1.62438806581218	1.76067224357441	NA
Niben261Chr06g0030015.1	cysteine proteinase inhibitor 1-like"	NA	NA	NA	NA	NA	NA	NA	NA	0.663576940318824	1.01439475101918	1.43378087282327	1.1291941277341	0.979793777559414	0.898801082938928	0.996645144791036	NA
Niben261Chr06g0470008.1	Beta-galactosidase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.07801917951442	NA	NA	1.49316851135032	1.24724817553846	NA
Niben261Chr07g1055007.1	vetispiradiene synthase 3-like"	NA	NA	NA	NA	NA	NA	NA	NA	1.48070733072833	2.44268936391825	5.50029560111757	4.8952308154167	3.16346945115374	3.25800312671356	3.34715266361493	NA
Niben261Chr08g0015001.1	Pectinesterase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.871999385110281	NA	NA	0.729424969562996	NA	NA
Niben261Chr10g0062001.1	extensin-2-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.58996072715274	1.88360733511743	0.752366769504275	1.45571771918855	1.27786688610444	-1.83943029579732
Niben261Chr10g0158009.1	Cobra-like protein 7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr10g0215001.1	Myb family transcription factor phl5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr13g0977005.1	zinc finger protein ZAT3-like"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Niben261Chr16g0338003.1	Peroxidase"	-1.45220825384246	-1.28592496572059	-1.11333644174768	NA	NA	NA	NA	NA	NA	NA	1.21925343778359	NA	NA	1.00410828333961	NA	-0.631920335709815
Niben261Chr17g1504003.1	premnaspirodiene oxygenase-like"	-2.82974556185056	-1.85044933955649	-1.9143642805185	NA	-1.23996405375666	-1.26596910861184	NA	NA	NA	0.971003155552508	1.6518283025342	NA	NA	1.96833434923796	1.59850866488083	NA
Niben261Chr19g0108008.1	Sucrose synthase"	NA	NA	NA	NA	NA	NA	NA	NA	0.794307615541734	0.911720276972344	1.12193583537846	1.17387397658954	0.937555920341448	1.04157745706954	0.907731800534211	NA
Niben261Chr19g1376012.1	GDSL esterase/lipase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.66981088302018	NA	NA	NA	NA	NA
