GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr01g1317004.1	33.510317	43.728681	46.157728	59.848581	69.849624	58.117712	57.905695	70.413898	56.743618	59.721931	60.600689	68.418472	71.48982	73.129658	76.763049	89.526464	134.40806	105.071319	102.26029	86.734232	91.891657	62.584953	66.341899	52.321718	27.130565	28.944335	39.243724	71.243421	67.634198	71.39212	221.193144	108.870369	221.737463	65.331732	147.292821	75.487716	77.965033	104.413506	69.586455	138.037322	229.028812	142.949518	124.178649	160.81443	166.608153	111.148933	90.810495	103.127279
Niben261Chr01g1754010.1	1.173494	1.424392	1.249979	2.785123	3.624863	2.397796	1.691725	2.239864	2.371595	1.200716	1.474346	1.186174	2.901551	1.878358	1.93729	2.049111	3.708852	3.457393	7.449005	6.859909	6.181957	4.956236	5.712402	6.860228	1.361111	1.011333	0.937196	3.685697	4.407077	3.701948	5.912816	3.545408	6.523281	2.872454	6.352096	1.745352	3.337791	3.233534	2.986326	2.657925	5.951211	5.157006	10.594051	7.158713	7.223541	9.251635	5.63312	8.530725
Niben261Chr01g1772004.1	31.559314	25.62	21.482531	71.705395	53.777828	29.692145	36.142365	50.51792	47.254873	38.829254	70.136287	34.93231	68.47389	30.545119	49.611698	7.184581	10.733331	15.739917	41.452136	46.00364	44.37526	28.685626	25.321525	56.116942	25.841901	27.752131	15.158326	80.980678	64.026677	50.071639	107.18545	90.12604	124.183697	204.558611	245.65984	153.984117	173.400869	158.621437	156.705586	77.279948	107.795118	132.246162	235.139134	112.920285	130.765243	207.814666	164.024851	206.339286
Niben261Chr02g0084019.1	1.154206	1.253758	0.915232	2.069535	1.1844	0.687529	2.712703	6.017819	1.651037	0.835949	1.02554	0.708194	1.032508	0.949242	1.156827	0.681172	0.451729	1.345281	2.048772	0.782036	1.187638	0.825666	0.868173	0.821641	1.189991	1.715174	0.841313	11.549567	4.124361	15.092697	187.42023	22.688205	178.559486	45.439356	168.36009	100.654824	47.302401	212.718204	17.12828	47.614216	123.380774	157.946469	157.00635	100.888438	74.88722	70.927985	38.404716	68.304442
Niben261Chr02g0093002.1	158.84991	93.700919	80.466876	74.709427	126.915974	101.939668	100.641732	131.755078	98.475611	43.02439	55.602887	46.365968	118.354166	41.512991	92.069068	82.2018	102.830674	116.93456	232.047476	270.368523	237.943862	284.372093	316.040429	273.021566	234.350896	212.04734	155.474494	539.035363	336.345647	518.404716	1840.061348	419.256697	1703.995486	524.72295	1081.713536	648.986908	725.235959	1552.712404	318.323097	437.381468	1432.679404	1315.70132	1796.368029	745.293035	620.228483	845.987865	695.951445	762.369463
Niben261Chr02g0405024.1	4.402275	4.175237	2.009598	3.58678	4.748872	3.145938	2.907829	3.26185	3.165096	6.541674	6.574345	7.263439	9.809718	10.128748	9.862563	6.635175	9.889507	8.668163	10.58805	13.260704	11.355886	6.872059	8.235831	6.806562	3.093016	2.881871	1.174812	4.1339	4.011323	3.435128	16.860831	3.525656	15.06107	9.180124	10.310675	5.372571	9.33894	15.493239	8.457811	11.536312	17.390453	14.852876	7.899325	6.437534	6.607958	9.009481	7.386411	9.466222
Niben261Chr03g0099007.1	1.973497	1.612708	1.751667	6.009861	3.248365	3.426422	3.42212	3.329069	2.246799	5.90895	5.603415	7.326124	8.691944	6.135701	8.712175	4.966839	3.151394	7.069931	14.222807	15.449847	14.871019	6.549856	8.572899	8.052572	2.638019	1.134966	1.507071	4.002302	3.607139	4.133613	15.160673	5.670071	13.770244	9.808835	18.563236	14.159319	20.371406	13.84803	15.189398	8.520317	9.012257	13.729163	19.617879	17.322175	23.704615	18.517669	18.404298	18.468037
Niben261Chr03g0555003.1	0.50278	0.424553	1.141727	0.679619	1.57086	0.409817	0	1.139346	1.735727	0.727609	1.377991	1.643834	1.68627	0.821533	1.040013	0	0.169314	1.14492	0.619763	1.911541	0.911861	4.893883	5.115979	13.811222	0.772415	1.406091	2.680557	1.240903	0.382654	0.787788	11.323822	1.034811	14.283479	6.714399	18.110442	8.449981	4.183875	14.99213	2.116754	3.206315	11.998696	22.02561	78.640491	29.069132	11.824159	47.195117	44.079331	56.296092
Niben261Chr03g1904002.1	127.94701	30.505107	23.572914	167.145926	90.29266	86.968212	130.5464	277.698269	203.314668	23.843258	41.881547	14.595693	231.557675	9.697597	202.207037	76.498334	18.853655	44.712259	111.199812	61.447854	88.897216	35.498683	54.358205	66.457224	127.649809	43.105559	30.932135	242.763784	236.908798	559.026304	1689.072787	825.231281	1921.396604	1459.518756	1500.712153	1536.495771	1159.624589	2396.554737	627.026926	1312.68079	1483.753218	1871.64553	2498.578583	1757.942085	1581.086997	1830.619822	1433.469467	1805.531337
Niben261Chr04g0011008.1	1.200999	1.861598	0.911525	2.387749	1.656884	1.5652	1.667175	2.398899	1.850326	2.52636	3.054402	3.20215	3.754437	2.978635	4.140935	2.348317	2.679518	2.758875	4.14082	4.977825	4.317682	2.375455	3.269099	4.070401	1.566698	0.96097	1.47505	3.343138	3.094737	2.533879	7.996675	3.318599	7.501286	4.032746	8.677017	4.705827	7.706568	5.727356	4.699431	4.163004	5.494445	5.711886	8.372626	7.36513	7.326413	7.185417	5.502886	6.818689
Niben261Chr06g0556002.1	13.647647	14.29191	12.949101	17.307141	17.780637	21.13846	19.326368	17.822741	15.806985	16.272065	13.69299	17.903243	20.363828	20.940818	19.230689	28.653973	26.186013	23.846172	11.49977	11.40737	13.677904	24.057351	21.273459	18.908011	11.934996	11.592248	13.928422	24.053899	15.62911	18.782872	23.140724	19.494141	28.760091	25.32351	22.713067	20.44928	25.285684	29.203077	22.701575	31.453417	29.626357	31.882648	31.058452	31.578076	34.75388	43.742986	39.791425	39.559296
Niben261Chr06g1467002.1	17.172588	9.15995	0	52.044916	2.899473	5.176581	6.137231	38.92738	4.640215	1.816637	7.398659	1.61023	1.073914	0	15.060183	2.433813	2.369596	15.795934	28.444552	6.722262	15.057067	6.742412	3.756627	8.097214	7.600878	2.640633	2.500859	33.962554	9.465996	203.353131	1727.254157	87.349398	1814.545192	540.926014	2972.986546	1895.779208	584.88561	2620.510776	116.309212	509.175247	2336.669806	2901.059777	5500.916365	3889.290209	1869.083131	6401.136288	4517.586648	6235.340866
Niben261Chr06g1467010.1	1.699732	11.880829	0	38.489114	5.893945	7.962977	4.484606	27.549219	2.299923	7.686899	1.279786	1.61023	6.909736	0	19.287099	0	0	14.646237	24.635688	8.140495	22.735745	4.920718	6.107469	9.29956	1.046872	1.294957	0	36.890799	8.374497	155.32888	1571.678762	50.711191	1527.730748	336.36336	2661.750631	1604.533211	367.990566	2122.97499	49.046616	357.428862	2108.10362	2548.362336	5819.369258	3662.295155	1327.553373	5992.079693	5151.774119	5916.57907
Niben261Chr07g0989006.1	3.844825	7.111413	0.535349	22.782969	3.814867	3.142447	7.564229	48.405465	2.545024	1.511374	4.167534	0.361524	3.69983	0.451723	5.489574	1.275008	0.993093	2.86781	16.993343	3.036615	5.383836	2.246322	1.350605	2.705628	3.869648	1.988114	1.146365	26.473965	19.720371	88.561175	710.422704	146.359343	635.210585	403.733814	914.208856	723.742031	462.379478	1038.769171	130.008645	286.774983	732.544467	972.660868	1248.305063	846.418118	518.557393	871.99886	521.019451	846.1287
Niben261Chr08g0313002.1	59.92258	31.693175	13.414453	132.882293	54.139881	50.906815	93.450242	531.682431	76.660643	17.401331	41.214438	12.813645	39.827567	10.440287	62.405112	30.700858	19.272342	54.297369	115.509503	45.273587	87.965507	68.416961	58.648849	53.28171	49.500046	27.121267	20.379937	738.923554	405.34203	945.968443	5411.702142	1823.230515	5587.337793	3257.815796	5126.905626	5424.169544	3146.676707	8665.311256	889.407008	2553.431311	6475.471885	7643.408072	9991.749643	5978.998965	3777.550998	8692.38451	5487.96079	8018.070284
Niben261Chr08g0313003.1	8.472846	5.357285	1.065485	27.732288	8.414744	6.155185	9.772352	92.858962	6.060574	2.111848	7.502983	1.079128	6.00001	1.660921	15.604424	5.575385	2.056712	10.988394	29.54779	4.355106	13.779936	4.293133	4.036571	5.992303	5.74094	2.997958	1.495253	71.387468	51.08115	125.05587	1198.204774	279.671622	1207.662315	767.881528	1363.192761	1370.775719	731.680237	2438.776818	221.451055	557.646593	1692.482516	2008.831605	2494.651071	1530.473845	947.117214	2199.242286	1302.550455	2013.67605
Niben261Chr08g0644002.1	0.601819	0.146098	0.527918	2.142604	1.301292	1.106725	0.714486	1.232365	0.597547	0.876703	0.41512	0.792235	0.264382	0.742422	0.250619	0.174627	0.102011	1.149595	0.896122	1.023749	2.140769	0.886057	0.289534	0.234042	0	0	0	3.289479	0.768035	0.711967	1.119144	1.766432	1.434709	0.507172	0.376009	0.587404	0.945194	0.376489	0.927503	1.383806	0.645486	1.226861	5.558301	2.784553	5.938103	2.426113	2.789292	3.152359
Niben261Chr09g0916004.1	16.723104	14.54842	18.602853	21.303585	22.297529	19.250184	15.606041	21.54388	23.356541	15.218779	13.593962	16.706598	21.244916	13.151067	19.277875	18.903	21.802632	23.449111	44.628502	54.109042	38.93654	32.843162	37.068517	30.090862	21.135554	14.540888	18.734372	20.998701	31.252608	27.492868	52.559741	33.736302	51.475083	36.715452	49.548356	42.001427	34.165532	55.129082	27.995473	34.205859	57.19171	48.31669	67.780931	65.347813	70.803085	65.14551	51.306745	64.271498
Niben261Chr10g0129002.1	7.913982	4.17207	2.66094	29.57469	8.234698	12.327675	19.208682	81.481255	16.299955	6.089961	7.966831	9.334674	10.000702	5.007032	13.749633	7.976894	3.959298	9.771361	25.855086	14.780588	27.413387	26.248524	28.799804	55.869031	8.539235	6.328328	5.593134	61.805169	60.585365	194.733436	1274.107999	262.085513	1175.655775	875.914086	1414.786217	1381.407081	666.930033	1906.9354	260.604376	447.920085	1161.679459	1468.72226	2630.090738	1913.198666	1140.644507	3125.195711	1933.950019	2951.776951
Niben261Chr10g0129001.1	81.659575	40.063269	7.290822	152.654304	79.572533	87.320004	203.4152	354.469269	177.752566	31.566218	80.175781	31.321815	80.557401	30.646265	125.444225	71.955345	36.575714	65.413315	201.162538	180.584041	204.43078	212.44179	237.166059	326.600783	51.408651	28.716393	10.463604	221.212582	254.528165	588.407387	1902.950563	960.822114	1855.170411	1767.807362	2031.097012	2573.414456	1267.086899	3336.540824	805.05956	1378.905521	2038.537904	2560.413508	3739.248691	3365.553589	2367.249552	4936.557851	3639.713038	4774.661841
Niben261Chr10g0135007.1	6.922311	2.561542	0	23.130313	3.595777	4.941893	10.231772	42.394697	6.427091	1.103772	7.25205	2.457313	5.310098	0.820586	10.843464	4.701706	5.068405	8.412837	24.223906	9.147078	22.683501	21.007951	15.099206	31.336038	4.029433	1.063458	1.36707	14.36608	24.148695	80.587906	512.166769	137.601319	501.760061	407.758737	651.709855	768.40925	408.034402	1303.811038	159.885476	345.06808	715.22251	841.316149	1646.783115	1163.370799	750.261108	2099.331667	1871.403973	2142.503346
Niben261Chr11g1148017.1	1.40884	1.426891	1.513787	1.601947	1.517677	1.383629	0.785462	0.928997	0.756463	1.068017	1.142744	0.909963	1.139065	0.650874	0.983216	0.996982	0.823017	0.836937	0.901014	1.076522	0.913464	0.775113	0.687847	1.012664	1.665601	1.593089	1.297851	0.889699	1.351905	0.998687	1.203842	1.329348	1.444001	1.326099	2.419666	1.576269	1.296383	2.718864	1.191569	1.492983	1.892486	2.794409	2.166147	1.477844	1.625475	1.939955	1.693769	2.023002
Niben261Chr12g0049014.1	12.19932	10.095729	9.404934	20.966003	20.494274	16.42881	23.436191	26.874986	19.6855	34.240785	32.758627	33.846383	42.909005	28.829661	43.871472	39.897687	53.188618	49.465699	60.407887	57.304117	54.568443	58.647839	59.61239	47.227756	11.722286	9.368026	9.54924	28.937233	26.670284	26.686187	66.116148	37.056817	52.725594	45.956718	74.723595	66.763276	80.705817	74.545733	54.375071	62.865796	116.767697	93.993256	106.700987	88.091459	87.542215	106.807823	96.223986	107.812869
Niben261Chr12g0194004.1	3.337848	1.942818	1.951984	7.208801	7.842381	3.512237	7.495902	13.21397	9.241052	8.894692	9.5137	4.632862	7.517178	5.549807	8.459238	2.023142	3.671298	5.041445	8.48525	12.047086	10.72812	15.065845	14.393039	15.917923	2.676594	1.937756	1.258022	11.610029	10.491665	10.049009	109.544551	29.306356	103.912907	43.118315	88.281297	44.141066	42.091019	74.733385	24.58353	29.568299	65.940336	82.332873	116.415114	76.106715	58.572086	95.614418	59.447442	94.500067
Niben261Chr12g0428010.1	13.232036	15.218785	14.391932	32.083901	28.668906	24.273194	30.189645	40.917833	23.239877	40.864809	48.759194	48.520766	59.394983	49.453959	53.682601	54.435132	71.134722	69.356957	74.140891	83.533074	70.428489	67.622487	79.993653	63.144832	11.247304	10.714271	11.388583	38.397968	35.694504	40.706454	84.470831	65.126133	89.664473	61.702572	81.349416	76.610528	80.356059	88.222577	72.213074	84.190408	118.028169	112.825037	107.211949	89.068496	105.20199	109.029094	83.74605	111.541599
Niben261Chr12g1109004.1	0.855629	0.566438	0.878766	1.317264	0.978011	1.54091	1.514003	2.335446	1.428964	1.358945	1.931161	1.970449	2.391743	2.463049	2.267438	1.896476	2.716823	2.258566	1.678995	2.084235	2.287778	1.717261	1.844826	2.117222	0.921408	0.437912	0.799798	0.73336	1.448928	1.246181	3.874168	1.8524	3.664505	2.377612	3.429542	3.087893	4.316645	3.309577	3.776288	4.150474	4.105427	5.823821	2.393136	2.998782	3.913938	4.215254	4.417142	4.695482
Niben261Chr13g0193007.1	196.829543	189.890585	191.732225	180.562363	194.284943	192.385251	160.035112	170.992967	182.525455	221.741679	206.386758	216.77786	171.527824	214.737105	141.567351	211.53303	231.141157	254.992572	154.132964	179.505782	178.015056	174.407828	166.892204	142.533056	174.687168	207.042118	195.194274	147.508398	193.517379	178.217549	148.552634	129.914528	159.917407	126.554756	102.480493	140.871115	102.856001	141.660579	100.472902	123.617279	144.166744	146.260933	111.741655	115.965587	105.273797	97.748833	98.757008	98.936212
Niben261Chr13g0293003.1	35.090006	42.624892	40.543708	41.571206	48.030719	37.031977	42.277579	46.792264	45.407175	65.763162	76.077556	70.445868	78.366829	69.225483	81.943651	63.366343	72.69145	63.86904	78.060905	86.181443	78.127836	88.208308	88.364203	98.655569	32.872566	32.769419	33.013972	42.241661	52.537511	50.814482	166.016695	59.214345	154.071946	109.608078	204.82831	140.645338	141.759636	178.193675	104.903487	114.843553	173.377432	167.529348	188.503999	128.205875	139.33919	182.52867	135.181711	185.176448
