GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr01g1082013.1	2.885354	1.554666	0.855573	0.369351	0.755473	0.373792	0.173724	0.2914	0.317823	0.17781	0	0.0901	0.200927	0.075255	0.457722	0.372195	1.013392	0.80344	0.522726	1.478666	1.172247	0.224477	0.352251	0.67557	2.686969	1.767616	1.296839	0.675891	1.725266	0.793915	0.170071	0.252732	0.048461	1.744298	0.304842	0.417188	0.174579	2.05614	0.636547	2.085384	3.335489	2.195626	0.798919	1.932914	0.948525	0.122979	0.584082	0.045689
Niben261Chr01g1093019.1	211.003984	176.982111	153.155231	121.575494	195.875024	151.052567	105.763746	99.990254	133.821934	68.858396	44.353901	75.958212	90.543855	69.343501	100.903934	155.937577	193.881228	170.497302	225.628937	218.948073	261.350956	167.399515	155.702269	169.745433	242.132367	199.180571	212.924885	206.733218	260.748955	191.878389	167.406499	165.134918	124.078098	160.055751	74.496811	85.067876	105.003037	171.206072	92.701134	237.741505	297.063179	284.583536	247.341643	260.903177	272.27263	102.047786	131.249275	100.269669
Niben261Chr01g1145010.1	91.588844	98.020665	76.288826	25.432944	35.413285	39.159759	20.596013	13.555276	34.312521	5.779545	2.588877	7.663248	10.07836	7.232056	7.698928	42.251374	79.008303	68.475108	46.809417	60.205299	73.230773	29.739441	27.129833	29.246318	109.520579	98.969038	71.73218	21.05378	58.432995	41.797601	15.933942	16.532346	15.224914	28.928713	3.943007	9.607082	12.702572	48.69934	8.799347	100.263708	98.48307	84.434537	30.603728	74.137144	77.155027	5.090581	12.14251	6.61487
Niben261Chr01g1207009.1	2.445464	1.592071	0.673427	0.133587	0.108409	0.108995	0.288107	0.036469	0.340043	0.344835	0.099342	0.412874	0.300578	0.828425	0.293036	3.510026	5.586818	3.366785	0.547174	0.587333	0.928246	1.072474	1.625388	1.263902	4.209751	1.258064	2.518051	0.067499	0.246479	0.147796	0.100649	0.464031	0.208564	2.057945	0.124835	0.596795	0.5579	1.537641	0.317466	3.825431	2.851934	2.891547	0.136749	0.25603	0.350318	0.352626	0.622945	0.20951
Niben261Chr01g1324001.1	17.728147	12.424956	8.840811	3.490092	5.808179	3.994886	2.448106	2.05205	2.714253	1.8572	1.0358	1.934112	6.569817	3.87758	6.372874	13.919739	21.872996	13.575822	10.826461	14.984669	15.493769	6.017275	5.299546	6.958522	20.053887	16.718837	9.732737	3.939625	10.12438	9.449172	3.173219	2.831008	3.438985	8.292192	2.788208	3.602744	3.46273	12.957569	4.053838	23.714419	16.692334	14.404628	6.691922	11.330048	12.59071	1.896374	2.798687	1.838735
Niben261Chr02g0343012.1	17.329356	15.888191	10.482976	5.170288	7.262107	5.12593	3.52376	4.108656	7.436012	3.240049	1.973248	3.107889	2.98778	3.075026	3.244939	12.987454	18.887558	15.033052	3.478357	5.438833	5.017172	7.682741	7.978507	9.106237	22.911085	20.848983	17.040391	7.418884	10.609241	6.011592	2.276398	5.278246	3.057606	15.560305	3.64823	4.309766	3.984717	15.036436	3.799526	23.547914	22.586259	21.44674	3.470376	4.042241	3.859195	3.828036	10.042162	4.773294
Niben261Chr02g0547007.1	2.206921	1.182138	0.647199	1.050695	0.522094	0.804033	0.630652	0.951048	0.329665	0.644863	0.282043	1.381597	1.452537	0.910169	1.198263	2.864425	2.771588	1.933512	1.204356	1.593988	1.67962	1.086194	0.780902	1.291159	3.189485	2.397044	1.767554	1.199823	0.726959	0.524435	0.577994	0.909816	0.938058	0.62178	1.198527	1.299832	0.927027	1.101012	0.767554	3.251666	3.323633	3.032953	0.454268	1.194768	0.861696	0.880267	1.795279	0.22082
Niben261Chr02g0728005.1	3.567211	3.548324	3.571391	1.478654	1.203297	1.444826	0.580317	0.614367	1.531698	0.155952	0.190272	0.444293	0.451547	0.44925	0.562241	1.765157	2.315648	1.518726	0.957079	2.0326	1.273053	1.00925	0.824108	1.489115	5.042271	4.427038	7.440163	1.469266	2.893902	2.399585	1.058742	1.078066	1.035977	0.902816	0.267779	0.542919	0.807679	1.581459	0.643818	3.065413	3.143685	3.065368	0.923193	1.904393	1.014565	0.316723	0.931048	0.22446
Niben261Chr02g0733001.1	10.539558	2.979017	1.718128	0.434471	0.630364	0.307652	0.285972	0.355402	0.448644	0.584469	0.207497	0.148555	0.363361	0.124217	0.861677	1.922723	2.531777	2.188999	0.436297	0.635912	0.928486	0.845282	0.602614	1.451021	13.064804	3.445103	2.715039	0.289817	0.797192	0.276893	0.195368	0.245524	0.172231	3.011263	0.42158	0.52539	0.191456	2.841988	0.522131	2.617809	1.906102	2.535412	0.308787	0.203302	0.148453	0.101088	0.043583	0.075056
Niben261Chr03g0069012.1	339.987786	329.067046	315.107552	202.505835	276.936459	241.579266	137.17031	149.300582	229.328082	95.358706	63.789351	110.327054	169.115038	125.624062	144.4622	257.206385	405.822229	350.988103	341.914703	396.371272	340.497912	206.256087	179.563433	179.971774	408.914988	386.481092	514.874825	337.407561	455.003242	320.204458	203.00479	278.850074	214.896116	186.117358	89.105157	131.884431	160.500527	320.416327	128.033438	326.933627	473.939746	364.226177	233.75294	320.645596	313.884673	107.992168	129.399553	109.877389
Niben261Chr03g0105002.1	4.984086	2.05582	2.782701	1.188499	1.161918	1.240246	0.81578	0.594158	1.060717	0.699919	0.711145	0.753823	0.965929	0.800154	1.267916	1.684431	1.983807	2.50777	1.253657	2.182207	1.18468	1.745868	1.591185	1.741705	5.822844	4.876686	4.787748	1.87818	1.595909	1.037409	0.562363	0.901664	0.509868	1.504726	1.037678	0.589776	0.928705	1.611946	0.794389	3.05562	3.330229	2.495573	0.61379	1.166668	1.278957	0.964346	1.057479	0.901206
Niben261Chr03g0167016.1	59.502897	25.253442	21.037655	12.272234	13.034121	9.386064	5.657156	6.060475	7.96075	7.574631	8.067451	7.413738	11.040813	9.889648	8.654978	18.918542	30.599066	22.100875	23.450932	36.316355	30.019235	8.929814	8.886669	11.117627	71.749118	31.944753	35.181158	8.282215	22.988369	14.267708	35.878147	14.9639	31.402406	20.024345	15.520849	10.851802	14.287933	26.258439	9.341319	34.383623	48.168921	41.692623	14.781804	21.641681	20.468408	4.543936	11.289713	6.042478
Niben261Chr03g0809017.1	9.287302	6.21388	9.72964	5.195838	5.25123	4.817834	7.23793	6.672203	10.298251	6.162932	1.707002	4.028722	2.899284	3.306982	3.305377	8.602472	6.95727	10.295781	1.569326	5.108783	5.136158	6.199994	9.255171	11.35073	11.957918	10.046265	12.516105	6.576795	9.205319	6.865349	6.893454	8.672663	6.27524	22.53008	4.642965	6.769362	2.877879	19.783268	5.364552	13.449	12.679561	18.231973	3.1657	3.432539	2.392244	2.960481	7.632447	5.948961
Niben261Chr03g1515001.1	12.202527	5.581839	3.893116	1.242588	1.423064	1.227929	0.999396	1.026396	2.347855	2.004073	0.994467	2.602065	3.426963	2.598942	3.996966	7.391786	10.973465	10.279335	5.84477	8.097529	8.963886	6.352933	4.992632	6.887778	12.851926	9.777191	7.845531	3.510105	2.133701	1.514149	3.424447	2.561116	5.172274	5.173628	2.160561	2.958553	3.977154	7.48982	2.73874	11.509749	9.905573	9.878922	3.1104	5.633144	5.422704	4.000515	4.125912	3.751111
Niben261Chr03g1720005.1	52.141525	37.129023	46.658028	26.683308	33.935434	28.46052	16.288962	16.406139	21.288671	18.533767	15.392758	19.713184	25.477641	23.606888	25.910082	47.503041	65.417392	62.610434	45.344571	53.146713	49.118876	36.622297	37.538326	35.715828	52.924916	46.774662	51.619499	25.947786	38.41524	30.119209	16.555	17.763357	16.950987	28.802076	15.049873	18.382939	21.008363	38.610433	20.903694	58.670842	68.357031	58.16459	26.200293	31.583979	34.779996	21.044824	30.384622	24.231697
Niben261Chr04g0230001.1	1.953942	1.263557	1.266661	0.434851	0.929752	0.423997	0.579952	0.29561	0.545858	0.241351	0.126392	0.381717	0.189398	0.333564	0.513556	1.722401	1.985529	1.643027	0.593358	0.912869	0.984257	0.868826	1.021297	0.960902	2.305275	1.868409	1.392543	0.697951	1.323702	0.728367	0.37116	0.377522	0.464328	1.770135	0.496706	0.654377	0.680899	2.060657	0.564532	3.495734	2.982703	2.665356	0.417502	0.573823	0.813262	0.387166	0.821579	0.517897
Niben261Chr04g0712005.1	2.903683	2.623446	1.290735	0.729245	0.723715	0.870298	0.320283	0.161032	0.380196	0.174168	0.217389	0.541737	1.001953	0.518387	0.632882	1.012323	1.593909	1.062907	1.721468	2.111834	2.592219	0.871943	0.951905	1.451173	3.971603	2.43818	3.225985	0.835534	1.922763	1.249847	0.511474	0.89175	0.278541	0.803862	0.656052	0.409383	1.701482	1.294152	0.456455	2.446984	2.607915	2.154352	1.143485	1.479664	2.092326	0.667309	0.265106	0.478842
Niben261Chr04g0839006.1	9.423712	8.06025	6.533665	4.735099	6.687922	5.525877	2.383907	2.794318	4.472325	2.700307	2.457528	3.425928	4.766943	3.572031	4.130236	8.574592	9.395666	9.718496	8.011181	10.18872	10.427922	7.119734	7.355477	7.360512	12.860547	9.836196	8.753775	4.39599	8.447887	4.982812	3.702791	4.939247	3.763087	7.841899	3.477983	3.893439	2.945627	9.10164	3.186211	13.208387	13.631281	13.696387	5.252966	6.520837	7.432843	4.241216	5.478622	4.961961
Niben261Chr04g1631019.1	13.642742	15.83261	12.194504	10.041412	12.907273	10.878505	4.582516	4.416371	6.883086	3.985602	4.590455	5.767427	7.552572	4.469781	6.605131	8.818436	12.521419	12.119141	15.579837	19.150955	16.728866	7.13087	9.10709	12.508977	19.326073	17.397283	15.427465	15.046238	16.419877	15.453992	7.714158	5.477026	8.226404	6.730053	4.573758	4.3304	8.477804	8.41905	5.085494	15.353323	17.749523	15.457934	16.902729	16.165787	15.157526	6.458665	7.004245	6.971845
Niben261Chr04g1687005.1	17.380039	11.481643	10.496506	7.68783	9.134519	8.723824	6.341132	5.793118	5.810642	5.134436	3.075569	3.800405	4.337833	4.522639	5.619453	8.080883	7.785743	9.247016	8.492955	12.363095	11.208781	7.377082	7.004295	5.353872	16.711421	14.873791	12.057342	7.877796	12.249912	8.740471	3.983626	7.542221	4.642366	9.533032	5.565043	6.167778	4.733499	9.698885	5.040388	12.864671	12.173422	13.506728	5.995439	8.368051	7.770768	2.616658	5.397324	3.125599
Niben261Chr04g1748008.1	11.36397	10.172387	7.320773	6.379736	9.583927	6.467571	3.282532	3.562726	5.728586	2.156638	1.437205	2.174803	4.673666	2.511555	4.073444	7.270398	12.622225	9.029166	11.354696	17.069272	13.033026	5.328955	5.232997	5.970474	16.36727	14.687823	10.398641	9.605494	11.59186	8.840623	4.505564	4.597706	5.093199	5.830418	2.349342	2.243613	3.263901	6.676402	3.505962	12.646673	20.651965	13.203517	6.810273	8.254786	8.363322	3.195984	5.169244	3.747649
Niben261Chr04g1771011.1	11.317058	7.746025	2.282513	0.568536	0.872661	0.337166	0.708299	0.614144	0.674623	1.45535	0.735953	1.39729	5.168004	2.427428	7.393995	13.357561	8.354494	12.214733	4.57175	6.816416	6.259689	4.2311	3.576629	5.51043	12.111943	8.162477	2.199349	0.821786	1.109411	0.946934	1.58081	1.394416	2.16431	10.832243	3.064467	3.114364	3.871264	20.559756	6.245407	20.641322	21.359007	28.64979	1.579721	1.477425	1.53298	0.693246	1.580773	1.013086
Niben261Chr05g0249010.1	17.274737	17.73033	8.534841	15.656676	14.28698	11.15088	5.107577	6.870918	7.187201	4.920411	6.578258	4.549489	13.305055	5.907645	10.754901	14.118208	8.09816	7.264747	24.147378	23.588091	17.692074	6.082278	7.542055	6.323127	16.417335	18.305284	9.16678	9.326791	17.516449	11.48211	5.751931	9.704471	6.484141	7.96424	7.541714	6.160815	4.92842	11.445652	8.174445	26.886556	23.700094	24.252456	5.973457	8.370782	8.387012	4.237816	2.990207	3.71362
