baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mRNA:Solyc01g080410.3.1	3572,78181179965	5,86861445309992	0,109328274562405	53,6788353844373	0	0
mRNA:Solyc01g088400.4.1	6656,70498029948	9,02470994794517	0,187624656172282	48,0998080532574	0	0
mRNA:Solyc01g097880.4.1	2366,77660909838	3,49050746481962	0,0902620349743654	38,6708261763756	0	0
mRNA:Solyc01g104650.3.1	2120,91510330915	4,44000386503325	0,113322300106615	39,1803189739004	0	0
mRNA:Solyc01g107825.1.1	1228,64739763365	4,90387027412674	0,124888320249867	39,2660439688473	0	0
mRNA:Solyc02g088100.3.1	1265,29562657376	-5,36434926258964	0,138882007841574	-38,6252283212156	0	0
mRNA:Solyc03g005020.3.1	5169,25678768436	6,46992976785288	0,166337237927841	38,8964602782426	0	0
mRNA:Solyc03g031860.3.1	37162,6252246254	7,07443631451015	0,119001636472471	59,4482271354873	0	0
mRNA:Solyc03g083910.5.1	54124,3426994354	4,26394598002953	0,112903500948699	37,7662866447956	0	0
mRNA:Solyc03g095900.4.1	17135,5755629102	9,25612585882417	0,149741449632177	61,8140526992412	0	0
mRNA:Solyc03g111690.4.1	11630,3702956233	9,18984828114824	0,155149308528958	59,2322864231971	0	0
mRNA:Solyc03g111720.3.1	32745,1098270323	8,20006933303363	0,12680611077007	64,6662001005795	0	0
mRNA:Solyc03g111970.4.1	2176,26806481072	5,27651903202704	0,114235357561336	46,1898937830516	0	0
mRNA:Solyc03g123630.4.1	4685,24767404765	-6,37735103815362	0,133214049527872	-47,8729613036748	0	0
mRNA:Solyc04g054480.3.1	3088,90220112299	-4,57251638779225	0,119415379764183	-38,2908499459775	0	0
mRNA:Solyc04g071650.4.1	2933,28268851563	-6,30753339692276	0,136818612955296	-46,1014277274076	0	0
mRNA:Solyc05g005080.3.1	6130,16139049443	-7,24705153785697	0,127073969967005	-57,0301812380513	0	0
mRNA:Solyc05g005490.4.1	2383,17267396327	3,66104951806878	0,0953749295164636	38,3858686620241	0	0
mRNA:Solyc05g005560.4.1	14177,5402759156	-6,83394495475026	0,124617872672917	-54,8392041058766	0	0
mRNA:Solyc05g012020.4.1	4468,49118213617	9,62645982755442	0,220668123807291	43,6241522403172	0	0
mRNA:Solyc05g014390.4.1	3232,06347131377	5,07500906082115	0,114338310698173	44,3859020640775	0	0
mRNA:Solyc06g035720.3.1	1363,34977849502	-5,86070235106863	0,149147433603237	-39,2946912292122	0	0
mRNA:Solyc06g061170.3.1	913,221375755261	4,66899874652543	0,120412481669767	38,7750396120081	0	0
mRNA:Solyc06g069430.3.1	4258,15241400594	4,30855224263625	0,107089981203784	40,2330096074758	0	0
mRNA:Solyc06g074260.4.1	7097,97064578359	-6,41895737681385	0,15348924201619	-41,8202428554359	0	0
mRNA:Solyc07g052960.3.1	1953,99553388942	8,40584313081615	0,217985732292244	38,5614372207938	0	0
mRNA:Solyc08g005800.4.1	3417,86611689726	-5,45632757228844	0,109331935391064	-49,9060732143082	0	0
mRNA:Solyc08g066690.4.1	5814,11508806259	6,97568253108324	0,101634873880095	68,6347339724439	0	0
mRNA:Solyc08g066700.3.1	2306,05695390014	5,41793360955342	0,111030943877231	48,7966094888298	0	0
mRNA:Solyc08g081010.3.1	3445,75649537292	3,5631713442169	0,0911543501852922	39,0894272952846	0	0
mRNA:Solyc09g066150.2.1	4116,67933509869	5,50304141005331	0,116111039276621	47,3946443364695	0	0
mRNA:Solyc09g091470.3.1	6459,38925930997	3,59340152349447	0,0886042363102001	40,5556401492374	0	0
mRNA:Solyc09g098540.3.1	9257,97921583501	-3,96576654419713	0,101797217899243	-38,9575140267817	0	0
mRNA:Solyc10g006880.3.1	3532,23467097732	6,39389847600794	0,155211136287884	41,194843546204	0	0
mRNA:Solyc10g024420.3.1	4894,786279462	7,50834827779506	0,148952028048871	50,407828454216	0	0
mRNA:Solyc10g080840.1.1	2527,58671891872	6,39746268884799	0,164379525272213	38,9188536604772	0	0
mRNA:Solyc10g080900.3.1	5193,83470296253	9,08158905084815	0,182314113702098	49,8128689350266	0	0
mRNA:Solyc10g085230.2.1	14353,3738598882	6,37381937307664	0,112277540646706	56,7684270279179	0	0
mRNA:Solyc10g085880.1.1	31782,577214614	8,64237086221724	0,160347387822686	53,8977964004881	0	0
