baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mRNA:Solyc01g006540.4.1	4756,77799600622	10,1998721254668	0,252000807908353	40,4755532735286	0	0
mRNA:Solyc01g066740.3.1	1388,91419898874	-6,64662723612918	0,172092364052678	-38,6224413425724	0	0
mRNA:Solyc01g080410.3.1	3723,07035504701	5,83494123298044	0,0927657972771571	62,8997044627056	0	0
mRNA:Solyc01g088400.4.1	7130,12582447879	9,04708224392964	0,15236337673201	59,3783259335504	0	0
mRNA:Solyc01g091530.4.1	2106,70974633943	-7,08067769481019	0,169890638967649	-41,677856636695	0	0
mRNA:Solyc01g104650.3.1	1893,00556741872	4,17324523003636	0,0954939887518451	43,7016537332118	0	0
mRNA:Solyc01g107825.1.1	1441,50507497323	5,04381411497335	0,106818701567604	47,2184555789718	0	0
mRNA:Solyc01g111040.4.1	1876,81129005789	4,08544030858593	0,105938250845306	38,5643549519389	0	0
mRNA:Solyc02g038740.4.1	1986,89535580122	5,90787812343292	0,12619598887596	46,8151022552696	0	0
mRNA:Solyc02g068310.4.1	917,850511148103	4,86285956827969	0,114968771974379	42,2972211042089	0	0
mRNA:Solyc02g080530.3.1	930,215717090561	-4,49854811381672	0,119040140771294	-37,7901780413681	0	0
mRNA:Solyc02g083380.3.1	1268,58236344139	6,6510553343324	0,162410902545155	40,9520249570882	0	0
mRNA:Solyc02g088100.3.1	1331,23613489459	-6,55744852170936	0,169240444762489	-38,7463441786156	0	0
mRNA:Solyc03g025970.3.1	960,852443417433	3,5793511629055	0,0912304371801117	39,2341774690717	0	0
mRNA:Solyc03g031860.3.1	38283,0787037469	7,02792388402477	0,0953299387695041	73,722106347067	0	0
mRNA:Solyc03g043850.3.1	1468,75090895308	4,52460444610057	0,118800276360193	38,0858074132953	0	0
mRNA:Solyc03g044150.4.1	1227,93534878987	-5,79376926864523	0,144782422060102	-40,0170765636185	0	0
mRNA:Solyc03g065340.3.1	3063,90892168842	-3,95550446158779	0,0991385485868161	-39,89875298733	0	0
mRNA:Solyc03g083910.5.1	62369,8151868392	4,38223302277081	0,102581421178784	42,7195584971791	0	0
mRNA:Solyc03g095900.4.1	8072,87862196579	8,06603291357268	0,127126361182559	63,4489403971022	0	0
mRNA:Solyc03g096730.3.1	1285,08758769346	-3,47959420184152	0,0891471937183672	-39,0320105065137	0	0
mRNA:Solyc03g111690.4.1	11670,6118598603	9,110152600541	0,177753837555117	51,2515100987126	0	0
mRNA:Solyc03g111720.3.1	14451,4524269904	6,92064087852239	0,118894312434918	58,2083426598785	0	0
mRNA:Solyc03g111970.4.1	2171,39686650907	5,17786451158054	0,102028732956299	50,74908176894	0	0
mRNA:Solyc03g120980.3.1	1692,08485869757	5,39265774457265	0,108372984589601	49,7601663827401	0	0
mRNA:Solyc04g006970.4.1	4107,13362072203	-5,22015981175916	0,127542173655781	-40,9288916923092	0	0
mRNA:Solyc04g054480.3.1	3267,09702691603	-4,86741420632297	0,116481166818082	-41,7871346869731	0	0
mRNA:Solyc04g063230.3.1	2602,55315904851	-4,50452796399353	0,108774522035861	-41,4116088922779	0	0
mRNA:Solyc04g071650.4.1	3118,57677446832	-6,60423930155453	0,12773445606632	-51,7028803733706	0	0
mRNA:Solyc04g077020.3.1	13544,973766076	-5,23728622362872	0,130738149277868	-40,0593572156012	0	0
mRNA:Solyc04g081300.4.1	2063,3966936893	-6,34875117887333	0,142256003915589	-44,629056096926	0	0
mRNA:Solyc04g081490.3.1	3103,77690131821	-5,58303160127482	0,143442317190672	-38,9217889854186	0	0
mRNA:Solyc05g005080.3.1	6514,09895974529	-8,04783722778146	0,139808961076389	-57,5631001462365	0	0
mRNA:Solyc05g005490.4.1	2432,46205915823	3,59092915440234	0,0720992078652977	49,8053898332869	0	0
mRNA:Solyc05g012020.4.1	5585,35173982465	9,85670526963442	0,208018307146817	47,3838356096114	0	0
mRNA:Solyc06g035720.3.1	1449,53214276087	-6,07428578913969	0,14480809077182	-41,9471436766001	0	0
mRNA:Solyc06g051800.3.1	3031,72867625435	9,00694283467555	0,225188088516018	39,9974212403107	0	0
mRNA:Solyc06g053620.4.1	1256,73682075033	7,22881277957177	0,18861265638547	38,3262338705318	0	0
mRNA:Solyc06g063240.3.1	1848,2628240562	-3,64797940370145	0,0785614640089727	-46,4347177044053	0	0
mRNA:Solyc06g068900.4.1	949,172174544984	5,45483554335317	0,137632666548859	39,6332911374403	0	0
mRNA:Solyc06g069430.3.1	6263,52482823239	4,79823121181396	0,080124853289844	59,8844305456238	0	0
mRNA:Solyc06g074260.4.1	7545,37357504157	-6,80746417828549	0,127872920438881	-53,236167242612	0	0
mRNA:Solyc07g006220.2.1	2543,07396445436	-4,65657213925539	0,116080936771963	-40,1148738866836	0	0
mRNA:Solyc07g045440.1.1	3311,32465690412	-7,7307520420992	0,173411917109007	-44,5802812804361	0	0
mRNA:Solyc07g052960.3.1	1690,51156938041	8,10374167517342	0,211914676568039	38,240587232624	0	0
mRNA:Solyc07g056420.4.1	7497,61385477287	4,70996178996959	0,12355656773853	38,119882060311	0	0
mRNA:Solyc08g005800.4.1	3599,64558129679	-6,55774991263289	0,120869673065657	-54,254717054382	0	0
mRNA:Solyc08g006890.3.1	15213,6349261867	-4,0722920526182	0,0998805225409629	-40,7716334378214	0	0
mRNA:Solyc08g065610.3.1	16107,5062466229	5,06602116770896	0,134132568920843	37,7687627133915	0	0
mRNA:Solyc08g066690.4.1	5328,2868118723	6,75582720431959	0,099834260241239	67,6704288487223	0	0
mRNA:Solyc08g066700.3.1	2139,17825653103	5,2127663727986	0,111080964584835	46,9276297003839	0	0
mRNA:Solyc08g078820.3.1	1393,24953146876	3,00332130563426	0,0777904922859884	38,6078197653368	0	0
mRNA:Solyc08g080090.3.1	4279,71350008303	6,92166580444522	0,160014593628668	43,2564658477823	0	0
mRNA:Solyc08g081010.3.1	3380,32053545059	3,43373803804819	0,0903396787216226	38,0091902765018	0	0
mRNA:Solyc09g010210.3.1	2457,68725815704	8,01269911333742	0,183068171947647	43,768936064041	0	0
mRNA:Solyc09g066150.2.1	6759,97952338682	6,1406284132534	0,0954181590372554	64,3549244212083	0	0
mRNA:Solyc09g091470.3.1	4939,59062860945	3,06655253048215	0,078979650073797	38,8271222728491	0	0
mRNA:Solyc09g098540.3.1	9762,74416238045	-4,23741424740796	0,0946813489951718	-44,7544769099566	0	0
mRNA:Solyc10g006880.3.1	2414,8034988232	5,73290636486993	0,125627133886349	45,6343003897258	0	0
mRNA:Solyc10g024420.3.1	4251,38553438744	7,2107218123776	0,14202557093616	50,770588457052	0	0
mRNA:Solyc10g080900.3.1	2814,42387446628	8,10638561820782	0,192570379317483	42,0957036432022	0	0
mRNA:Solyc10g083720.3.1	2283,91060955314	4,16688412296629	0,103817864578959	40,136484600848	0	0
mRNA:Solyc10g085830.2.1	1816,07033571148	3,56791897133804	0,093263766497422	38,2562178789623	0	0
mRNA:Solyc10g085880.1.1	26395,1412091838	8,278457804959	0,146575650000457	56,4790796079239	0	0
mRNA:Solyc11g005150.3.1	1063,06988581602	-4,11056062247013	0,108679902043273	-37,8226382724694	0	0
mRNA:Solyc12g010320.2.1	10179,9908188878	3,20027239158774	0,0820031572517663	39,0262094636461	0	0
mRNA:Solyc12g013690.2.1	7759,34752927665	5,88336889441367	0,103127605372645	57,0494085764376	0	0
mRNA:Solyc12g013700.2.1	7240,40285008738	6,9865472970971	0,156084430947731	44,7613336876421	0	0
mRNA:Solyc12g056220.2.1	912,040133196965	-4,47778771390385	0,113521151392221	-39,4445234124949	0	0
mRNA:Solyc12g098710.2.1	9565,19416355898	5,04719247750135	0,0935862740754201	53,9309052247756	0	0
mRNA:Solyc01g091270.3.1	3895,25324837901	3,89107370296684	0,10414827279196	37,360904781776	1,68660728210294e-305	4,7500562271733e-303
mRNA:Solyc03g118340.3.1	1514,23402671063	2,83765966258619	0,0759799359332349	37,3474869086452	2,78512161442686e-305	7,73490163917771e-303
mRNA:Solyc12g008840.2.1	843,697548834646	4,17843859022377	0,112701076247813	37,0754098304795	6,99807054145728e-301	1,91689614447917e-298
mRNA:Solyc02g065765.1.1	1775,12158308575	-5,99243305236099	0,161634499127996	-37,0739729741463	7,38125869390521e-301	1,99453579518012e-298
mRNA:Solyc01g081060.4.1	4061,58584639981	5,96271733831684	0,160909550136257	37,0563296788018	1,42018311118933e-300	3,78639753217892e-298
mRNA:Solyc07g056140.3.1	1255,60873156452	-4,18881872759454	0,113418807547263	-36,9323114761985	1,40064417134055e-298	3,68516853291126e-296
mRNA:Solyc06g061170.3.1	1118,85908766565	4,87967807621916	0,132188499860913	36,9145431058941	2,70062141697746e-298	7,01319816284171e-296
mRNA:Solyc01g086920.3.1	5052,56994373758	-10,1365125150443	0,27484457060463	-36,8808905074783	9,35673741744555e-298	2,39868360768258e-295
