Annotated	Significant	Expected	DEG	Term
GO:0033500	18	7	2,95	7	carbohydrate homeostasis
GO:0015995	28	10	4,59	10	chlorophyll biosynthetic process
GO:0019264	7	4	1,15	4	glycine biosynthetic process from serine
GO:0015977	22	9	3,61	9	carbon fixation
GO:0019277	2	2	0,33	2	UDP-N-acetylgalactosamine biosynthetic process
GO:0006857	47	14	7,7	14	oligopeptide transport
GO:0034220	621	98	101,78	98	ion transmembrane transport
GO:0006820	564	124	92,44	124	anion transport
GO:0006817	282	65	46,22	65	phosphate ion transport
GO:0035066	7	4	1,15	4	positive regulation of histone acetylation
GO:0048443	11	5	1,8	5	stamen development
GO:0005992	12	5	1,97	5	trehalose biosynthetic process
GO:0010411	43	15	7,05	15	xyloglucan metabolic process
GO:0005980	4	3	0,66	3	glycogen catabolic process
GO:0005986	13	5	2,13	5	sucrose biosynthetic process
GO:0006564	5	3	0,82	3	L-serine biosynthetic process
GO:0006565	7	4	1,15	4	L-serine catabolic process
GO:0009263	9	5	1,48	5	deoxyribonucleotide biosynthetic process
GO:0005975	1113	265	182,42	265	carbohydrate metabolic process
GO:0051513	4	3	0,66	3	regulation of monopolar cell growth
GO:0005978	11	5	1,8	5	glycogen biosynthetic process
GO:0009234	4	4	0,66	4	menaquinone biosynthetic process
GO:0035999	14	7	2,29	7	tetrahydrofolate interconversion
GO:0120142	2	2	0,33	2	positive regulation of ecdysone receptor-mediated signaling pathway
GO:0042550	2	2	0,33	2	photosystem I stabilization
GO:0006694	54	20	8,85	20	steroid biosynthetic process
GO:0000463	18	8	2,95	8	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000467	5	3	0,82	3	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0019853	11	6	1,8	6	L-ascorbic acid biosynthetic process
GO:0000469	23	9	3,77	9	cleavage involved in rRNA processing
GO:0042546	136	34	22,29	34	cell wall biogenesis
